name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Branko Brnovic,https://www.transfermarkt.co.uk/branko-brnovic/profil/spieler/102964,29, ,35,-,-,12,1,-,2751,183
Slobodan Komljenovic,https://www.transfermarkt.co.uk/slobodan-komljenovic/profil/spieler/13,26, ,28,1,-,1,-,-,2166,188
Zeljko Petrovic,https://www.transfermarkt.co.uk/zeljko-petrovic/profil/spieler/4505,31, ,29,5,6,4,-,1,1814,175
Slavisa Jokanovic,https://www.transfermarkt.co.uk/slavisa-jokanovic/profil/spieler/79065,28, ,38,11,-,10,1,-,3317,191
Goran Djorovic,https://www.transfermarkt.co.uk/goran-djorovic/profil/spieler/7488,25, ,4,-,-,-,-,-,390,185
Zoran Mirkovic,https://www.transfermarkt.co.uk/zoran-mirkovic/profil/spieler/7076,25, ,22,-,-,5,-,-,1892,182
Vladimir Jugovic,https://www.transfermarkt.co.uk/vladimir-jugovic/profil/spieler/5297,27, ,42,6,3,4,-,-,3349,N/A
Dragan Stojkovic,https://www.transfermarkt.co.uk/dragan-stojkovic/profil/spieler/102704,32, ,24,3,-,6,2,-,2048,175
Darko Kovacevic,https://www.transfermarkt.co.uk/darko-kovacevic/profil/spieler/7479,23, ,36,9,-,6,-,-,2675,188
Pedro Sarabia,https://www.transfermarkt.co.uk/pedro-sarabia/profil/spieler/73645,21, ,-,-,-,-,-,-,-,-
Carlos Paredes,https://www.transfermarkt.co.uk/carlos-paredes/profil/spieler/6068,20, ,-,-,-,-,-,-,-,-
Francisco Arce,https://www.transfermarkt.co.uk/francisco-arce/profil/spieler/130283,26, ,-,-,-,-,-,-,-,-
Carlos Morales,https://www.transfermarkt.co.uk/carlos-morales/profil/spieler/134012,29, ,-,-,-,-,-,-,-,-
Roberto Acuña,https://www.transfermarkt.co.uk/roberto-acuna/profil/spieler/7495,25, ,-,-,-,-,-,-,-,-
Sol Campbell,https://www.transfermarkt.co.uk/sol-campbell/profil/spieler/3198,22, ,39,-,-,1,-,-,3493,188
Gareth Southgate,https://www.transfermarkt.co.uk/gareth-southgate/profil/spieler/3744,26, ,30,1,-,1,-,-,2655,183
Graeme Le Saux,https://www.transfermarkt.co.uk/graeme-le-saux/profil/spieler/3157,28, ,26,1,-,6,-,-,2333,178
Gary Neville,https://www.transfermarkt.co.uk/gary-neville/profil/spieler/3403,22, ,45,1,1,4,-,-,3925,180
David Batty,https://www.transfermarkt.co.uk/david-batty/profil/spieler/3295,28, ,40,1,-,12,1,-,3465,170
Paul Scholes,https://www.transfermarkt.co.uk/paul-scholes/profil/spieler/3397,22, ,31,5,-,6,-,-,1705,168
David Beckham,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139,22, ,49,12,2,7,-,-,4146,183
Tony Adams,https://www.transfermarkt.co.uk/tony-adams/profil/spieler/28238,30, ,29,3,-,5,1,1,2331,191
Paul Ince,https://www.transfermarkt.co.uk/paul-ince/profil/spieler/3248,29, ,38,10,1,6,1,2,3386,178
Darren Anderton,https://www.transfermarkt.co.uk/darren-anderton/profil/spieler/3277,25, ,15,3,-,4,-,-,1202,185
Alan Shearer,https://www.transfermarkt.co.uk/alan-shearer/profil/spieler/3110,26, ,36,26,2,5,-,-,3232,N/A
Michael Owen,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397,17, ,2,1,-,-,-,-,123,173
Javier Margas,https://www.transfermarkt.co.uk/javier-margas/profil/spieler/133852,28, ,-,-,-,-,-,-,-,-
Francisco Rojas,https://www.transfermarkt.co.uk/francisco-rojas/profil/spieler/3065,22, ,9,1,-,-,-,-,651,165
Nelson Parraguez,https://www.transfermarkt.co.uk/nelson-parraguez/profil/spieler/133854,26, ,-,-,-,-,-,-,-,-
Ronald Fuentes,https://www.transfermarkt.co.uk/ronald-fuentes/profil/spieler/133850,28, ,-,-,-,-,-,-,-,-
Pedro Reyes,https://www.transfermarkt.co.uk/pedro-reyes/profil/spieler/133857,24, ,-,-,-,-,-,-,-,-
Mauricio Aros,https://www.transfermarkt.co.uk/mauricio-aros/profil/spieler/90629,21, ,-,-,-,-,-,-,-,-
Fernando Cornejo,https://www.transfermarkt.co.uk/fernando-cornejo/profil/spieler/133847,28, ,-,-,-,-,-,-,-,-
Marcelo Salas,https://www.transfermarkt.co.uk/marcelo-salas/profil/spieler/3415,22, ,1,-,-,-,-,-,7,173
Celestine Babayaro,https://www.transfermarkt.co.uk/celestine-babayaro/profil/spieler/3153,18, ,8,-,-,-,-,-,720,175
Sunday Oliseh,https://www.transfermarkt.co.uk/sunday-oliseh/profil/spieler/127,22, ,31,4,4,9,1,-,2719,183
Garba Lawal,https://www.transfermarkt.co.uk/garba-lawal/profil/spieler/16820,23, ,12,3,3,1,-,-,924,183
Wilson Oruma,https://www.transfermarkt.co.uk/wilson-oruma/profil/spieler/3915,20, ,22,-,-,2,-,-,1529,174
Uche Okechukwu,https://www.transfermarkt.co.uk/uche-okechukwu/profil/spieler/102313,29, ,6,-,-,-,-,-,540,187
Taribo West,https://www.transfermarkt.co.uk/taribo-west/profil/spieler/1403,23, ,35,1,-,4,-,-,3053,N/A
Mobi Oparaku,https://www.transfermarkt.co.uk/mobi-oparaku/profil/spieler/134256,20, ,-,-,-,-,-,-,-,-
Mutiu Adepoju,https://www.transfermarkt.co.uk/mutiu-adepoju/profil/spieler/102321,26, ,37,6,-,5,-,-,2098,180
Tijani Babangida,https://www.transfermarkt.co.uk/tijani-babangida/profil/spieler/4831,23, ,36,7,5,2,-,-,2713,166
Nwankwo Kanu,https://www.transfermarkt.co.uk/nwankwo-kanu/profil/spieler/3133,20, ,-,-,-,-,-,-,-,-
Daniel Amokachi,https://www.transfermarkt.co.uk/daniel-amokachi/profil/spieler/92287,24, ,6,2,-,-,-,-,519,182
Igor Stimac,https://www.transfermarkt.co.uk/igor-stimac/profil/spieler/103812,29, ,21,1,-,11,-,-,1854,188
Dario Simic,https://www.transfermarkt.co.uk/dario-simic/profil/spieler/2540,21, ,2,-,-,-,-,-,180,180
Robert Jarni,https://www.transfermarkt.co.uk/robert-jarni/profil/spieler/29556,28, ,37,5,-,7,-,-,2961,182
Zvonimir Soldo,https://www.transfermarkt.co.uk/zvonimir-soldo/profil/spieler/610,29, ,32,3,2,10,-,1,2842,189
Robert Prosinecki,https://www.transfermarkt.co.uk/robert-prosinecki/profil/spieler/8013,28, ,23,4,-,4,1,-,1878,183
Silvio Maric,https://www.transfermarkt.co.uk/silvio-maric/profil/spieler/9842,22, ,2,-,-,-,-,-,80,180
Slaven Bilic,https://www.transfermarkt.co.uk/slaven-bilic/profil/spieler/41137,28, ,35,2,1,12,-,-,3113,188
Krunoslav Jurcic,https://www.transfermarkt.co.uk/krunoslav-jurcic/profil/spieler/133839,27, ,-,-,-,-,-,-,-,-
Aljosa Asanovic,https://www.transfermarkt.co.uk/aljosa-asanovic/profil/spieler/103806,31, ,34,6,1,5,-,-,2936,186
Zvonimir Boban,https://www.transfermarkt.co.uk/zvonimir-boban/profil/spieler/89545,28, ,36,2,-,7,1,1,2905,183
Mario Stanic,https://www.transfermarkt.co.uk/mario-stanic/profil/spieler/3164,25, ,17,4,-,5,-,-,1436,187
Davor Suker,https://www.transfermarkt.co.uk/davor-suker/profil/spieler/1407,29, ,43,29,-,10,-,-,3350,183
Paolo Maldini,https://www.transfermarkt.co.uk/paolo-maldini/profil/spieler/5803,29, ,36,1,-,3,-,1,3118,186
Alessandro Costacurta,https://www.transfermarkt.co.uk/alessandro-costacurta/profil/spieler/10055,31, ,39,-,-,4,-,2,3465,182
Gianluca Pessotto,https://www.transfermarkt.co.uk/gianluca-pessotto/profil/spieler/5751,26, ,29,-,1,1,-,-,2050,173
Dino Baggio,https://www.transfermarkt.co.uk/dino-baggio/profil/spieler/5843,25, ,34,2,1,3,1,-,3027,185
Angelo Di Livio,https://www.transfermarkt.co.uk/angelo-di-livio/profil/spieler/21148,30, ,51,1,-,5,-,-,3589,175
Roberto Baggio,https://www.transfermarkt.co.uk/roberto-baggio/profil/spieler/4153,30, ,33,9,1,2,-,-,2158,174
Christian Vieri,https://www.transfermarkt.co.uk/christian-vieri/profil/spieler/5797,23, ,36,14,3,3,-,-,2111,185
Fabio Cannavaro,https://www.transfermarkt.co.uk/fabio-cannavaro/profil/spieler/5775,23, ,30,-,-,7,-,1,2420,175
Alessandro Nesta,https://www.transfermarkt.co.uk/alessandro-nesta/profil/spieler/4171,21, ,32,-,-,7,-,-,2768,187
Giuseppe Bergomi,https://www.transfermarkt.co.uk/giuseppe-bergomi/profil/spieler/107860,33, ,36,-,-,3,-,-,2754,184
Demetrio Albertini,https://www.transfermarkt.co.uk/demetrio-albertini/profil/spieler/3390,25, ,37,9,-,3,-,-,3131,180
Luigi Di Biagio,https://www.transfermarkt.co.uk/luigi-di-biagio/profil/spieler/7927,26, ,32,3,1,9,-,-,2487,175
Alessandro Del Piero,https://www.transfermarkt.co.uk/alessandro-del-piero/profil/spieler/4289,22, ,35,15,2,1,-,-,2503,173
Ariel Ortega,https://www.transfermarkt.co.uk/ariel-ortega/profil/spieler/4147,23, ,13,7,-,2,-,-,1155,171
Roberto Ayala,https://www.transfermarkt.co.uk/roberto-ayala/profil/spieler/7565,24, ,36,1,1,6,1,1,3129,177
Pablo Paz,https://www.transfermarkt.co.uk/pablo-paz/profil/spieler/16323,24, ,30,4,-,5,-,-,1926,181
Javier Zanetti,https://www.transfermarkt.co.uk/javier-zanetti/profil/spieler/1161,23, ,50,4,1,4,-,-,4396,178
Juan Sebastián Verón,https://www.transfermarkt.co.uk/juan-sebastian-veron/profil/spieler/3143,22, ,34,5,-,4,-,-,2800,182
Marcelo Gallardo,https://www.transfermarkt.co.uk/marcelo-gallardo/profil/spieler/5298,21, ,-,-,-,-,-,-,-,165
Gabriel Batistuta,https://www.transfermarkt.co.uk/gabriel-batistuta/profil/spieler/5959,28, ,41,18,-,4,-,-,3670,185
Augustine Simo,https://www.transfermarkt.co.uk/augustine-simo/profil/spieler/2911,18, ,27,-,-,3,-,1,2085,178
Didier Angibeaud,https://www.transfermarkt.co.uk/didier-angibeaud/profil/spieler/97510,22, ,2,-,-,-,-,-,210,183
Samuel Ipoua,https://www.transfermarkt.co.uk/samuel-ipoua/profil/spieler/1074,24, ,16,-,-,-,-,2,747,N/A
Pierre Njanka,https://www.transfermarkt.co.uk/pierre-njanka/profil/spieler/5617,22, ,-,-,-,-,-,-,-,-
Mark Fish,https://www.transfermarkt.co.uk/mark-fish/profil/spieler/3087,23, ,17,1,-,-,-,-,1208,187
Pierre Issa,https://www.transfermarkt.co.uk/pierre-issa/profil/spieler/28950,21, ,9,-,-,1,1,-,536,195
John Moshoeu,https://www.transfermarkt.co.uk/john-moshoeu/profil/spieler/6116,31, ,3,1,-,-,-,-,270,176
Brendan Augustine,https://www.transfermarkt.co.uk/brendan-augustine/profil/spieler/103457,25, ,33,2,-,1,-,-,2000,174
Helman Mkhalele,https://www.transfermarkt.co.uk/helman-mkhalele/profil/spieler/10131,27, ,-,-,-,-,-,-,-,-
Willem Jackson,https://www.transfermarkt.co.uk/willem-jackson/profil/spieler/103461,25, ,-,-,-,-,-,-,-,-
David Nyathi,https://www.transfermarkt.co.uk/david-nyathi/profil/spieler/103468,28, ,17,1,-,3,1,-,1286,174
Quinton Fortune,https://www.transfermarkt.co.uk/quinton-fortune/profil/spieler/3541,20, ,2,-,-,1,-,-,72,182
