name,link,age,value
Zlatko Krmpotic,https://www.transfermarkt.co.uk/zlatko-krmpotic/profil/spieler/132392,22, 
Ivan Gudelj,https://www.transfermarkt.co.uk/ivan-gudelj/profil/spieler/132389,20, 
Edhem Sljivo,https://www.transfermarkt.co.uk/edhem-sljivo/profil/spieler/97444,31, 
Nenad Stojkovic,https://www.transfermarkt.co.uk/nenad-stojkovic/profil/spieler/132391,25, 
Vladimir Petrovic,https://www.transfermarkt.co.uk/vladimir-petrovic/profil/spieler/132393,26, 
Velimir Zajec,https://www.transfermarkt.co.uk/velimir-zajec/profil/spieler/132390,25, 
Safet Susic,https://www.transfermarkt.co.uk/safet-susic/profil/spieler/102705,26, 
Lizardo Garrido,https://www.transfermarkt.co.uk/lizardo-garrido/profil/spieler/132552,23, 
Mario Galindo,https://www.transfermarkt.co.uk/mario-galindo/profil/spieler/132884,29, 
Eduardo Bonvallet,https://www.transfermarkt.co.uk/eduardo-bonvallet/profil/spieler/132598,26, 
Miguel Neira,https://www.transfermarkt.co.uk/miguel-neira/profil/spieler/132886,28, 
Mario Soto,https://www.transfermarkt.co.uk/mario-soto/profil/spieler/132876,30, 
Gustavo Moscoso,https://www.transfermarkt.co.uk/gustavo-moscoso/profil/spieler/132877,25, 
Carlos Caszely,https://www.transfermarkt.co.uk/carlos-caszely/profil/spieler/132879,30, 
Steve Foster,https://www.transfermarkt.co.uk/steve-foster/profil/spieler/130318,23, 
Mick Mills,https://www.transfermarkt.co.uk/mick-mills/profil/spieler/130315,32, 
Bryan Robson,https://www.transfermarkt.co.uk/bryan-robson/profil/spieler/101382,24, 
Trevor Francis,https://www.transfermarkt.co.uk/trevor-francis/profil/spieler/130319,27, 
Terry Butcher,https://www.transfermarkt.co.uk/terry-butcher/profil/spieler/101380,22, 
Phil Thompson,https://www.transfermarkt.co.uk/phil-thompson/profil/spieler/130310,27, 
Kenny Sansom,https://www.transfermarkt.co.uk/kenny-sansom/profil/spieler/117195,22, 
Phil Neal,https://www.transfermarkt.co.uk/phil-neal/profil/spieler/130308,30, 
Ray Wilkins,https://www.transfermarkt.co.uk/ray-wilkins/profil/spieler/117197,24, 
Graham Rix,https://www.transfermarkt.co.uk/graham-rix/profil/spieler/130306,23, 
Glenn Hoddle,https://www.transfermarkt.co.uk/glenn-hoddle/profil/spieler/117193,23, 
Paul Mariner,https://www.transfermarkt.co.uk/paul-mariner/profil/spieler/130304,28, 
Tony Woodcock,https://www.transfermarkt.co.uk/tony-woodcock/profil/spieler/106988,25, 
Stanislav Seman,https://www.transfermarkt.co.uk/stanislav-seman/profil/spieler/132964,28, 
Libor Radimec,https://www.transfermarkt.co.uk/libor-radimec/profil/spieler/132989,31, 
Ladislav Jurkemik,https://www.transfermarkt.co.uk/ladislav-jurkemik/profil/spieler/132969,27, 
Jan Berger,https://www.transfermarkt.co.uk/jan-berger/profil/spieler/132988,25, 
Premysl Bicovsky,https://www.transfermarkt.co.uk/premysl-bicovsky/profil/spieler/132987,30, 
Tomas Kriz,https://www.transfermarkt.co.uk/tomas-kriz/profil/spieler/132986,22, 
Petr Janecka,https://www.transfermarkt.co.uk/petr-janecka/profil/spieler/133001,23, 
Jozef Kukucka,https://www.transfermarkt.co.uk/jozef-kukucka/profil/spieler/132990,24, 
