name,link,age,value
Celso Ayala,https://www.transfermarkt.co.uk/celso-ayala/profil/spieler/22938,30, 
Francisco Arce,https://www.transfermarkt.co.uk/francisco-arce/profil/spieler/130283,30, 
Carlos Paredes,https://www.transfermarkt.co.uk/carlos-paredes/profil/spieler/6068,24, 
Guido Alvarenga,https://www.transfermarkt.co.uk/guido-alvarenga/profil/spieler/130282,30, 
José Cardozo,https://www.transfermarkt.co.uk/jose-cardozo/profil/spieler/38788,30, 
Julio Cáceres,https://www.transfermarkt.co.uk/julio-caceres/profil/spieler/18733,21, 
Carlos Bonet,https://www.transfermarkt.co.uk/carlos-bonet/profil/spieler/38783,23, 
Estanislao Struway,https://www.transfermarkt.co.uk/estanislao-struway/profil/spieler/84472,33, 
Roberto Acuña,https://www.transfermarkt.co.uk/roberto-acuna/profil/spieler/7495,29, 
Sol Campbell,https://www.transfermarkt.co.uk/sol-campbell/profil/spieler/3198,26, 
Ashley Cole,https://www.transfermarkt.co.uk/ashley-cole/profil/spieler/3182,20, 
Danny Mills,https://www.transfermarkt.co.uk/danny-mills/profil/spieler/3743,24, 
Paul Scholes,https://www.transfermarkt.co.uk/paul-scholes/profil/spieler/3397,26, 
Michael Owen,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397,21, 
Rio Ferdinand,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235,22, 
Nicky Butt,https://www.transfermarkt.co.uk/nicky-butt/profil/spieler/3543,26, 
David Beckham,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139,26, 
Trevor Sinclair,https://www.transfermarkt.co.uk/trevor-sinclair/profil/spieler/3253,28, 
Emile Heskey,https://www.transfermarkt.co.uk/emile-heskey/profil/spieler/3142,23, 
Joseph Yobo,https://www.transfermarkt.co.uk/joseph-yobo/profil/spieler/3270,20, 
Celestine Babayaro,https://www.transfermarkt.co.uk/celestine-babayaro/profil/spieler/3153,22, 
Ifeanyi Udeze,https://www.transfermarkt.co.uk/ifeanyi-udeze/profil/spieler/3654,20, 
Garba Lawal,https://www.transfermarkt.co.uk/garba-lawal/profil/spieler/16820,27, 
John Utaka,https://www.transfermarkt.co.uk/john-utaka/profil/spieler/5495,19, 
Benedict Akwuegbu,https://www.transfermarkt.co.uk/benedict-akwuegbu/profil/spieler/5007,26, 
Isaac Okoronkwo,https://www.transfermarkt.co.uk/isaac-okoronkwo/profil/spieler/6176,23, 
Efe Sodje,https://www.transfermarkt.co.uk/efe-sodje/profil/spieler/41545,28, 
