appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height,link
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/alfredo-quesada/profil/spieler/142842
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/guillermo-la-rosa/profil/spieler/133764
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jaime-duarte/profil/spieler/133635
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/hector-chumpitaz/profil/spieler/142834
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jose-navarro/profil/spieler/142840
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/cesar-cueto/profil/spieler/133724
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/hossein-kazerani/profil/spieler/142868
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/hassan-nazari/profil/spieler/142860
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ali-parvin/profil/spieler/142854
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/khaled-gasmi/profil/spieler/142178
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/amor-jebali/profil/spieler/142237
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ali-kaabi/profil/spieler/142175
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/khemais-labidi/profil/spieler/142203
36,2,-,-,-,-,3232,178,https://www.transfermarkt.co.uk/gaetano-scirea/profil/spieler/116740
8,1,-,-,-,-,491,N/A,https://www.transfermarkt.co.uk/antonio-cabrini/profil/spieler/116689
35,2,-,-,-,1,3119,N/A,https://www.transfermarkt.co.uk/antonello-cuccureddu/profil/spieler/135785
30,1,-,-,-,-,2670,175,https://www.transfermarkt.co.uk/patrizio-sala/profil/spieler/135792
36,6,-,-,-,-,3176,175,https://www.transfermarkt.co.uk/romeo-benetti/profil/spieler/135783
34,5,-,-,-,-,3050,N/A,https://www.transfermarkt.co.uk/marco-tardelli/profil/spieler/116744
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/paolo-rossi/profil/spieler/116757
2,-,-,-,-,-,125,183,https://www.transfermarkt.co.uk/mauro-bellugi/profil/spieler/135782
30,3,-,-,-,-,2651,180,https://www.transfermarkt.co.uk/aldo-maldera/profil/spieler/135787
35,1,-,-,-,-,3144,182,https://www.transfermarkt.co.uk/claudio-gentile/profil/spieler/128893
34,5,-,-,-,1,2987,N/A,https://www.transfermarkt.co.uk/renato-zaccarelli/profil/spieler/135793
27,4,-,-,-,-,2409,177,https://www.transfermarkt.co.uk/giancarlo-antognoni/profil/spieler/128892
36,18,-,-,-,-,3154,184,https://www.transfermarkt.co.uk/roberto-bettega/profil/spieler/135784
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/daniel-passarella/profil/spieler/116735
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/alberto-tarantini/profil/spieler/135844
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/osvaldo-ardiles/profil/spieler/135800
3,-,-,-,-,-,270,182,https://www.transfermarkt.co.uk/mario-kempes/profil/spieler/37264
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jorge-olguin/profil/spieler/135812
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/americo-gallego/profil/spieler/135810
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/rene-houseman/profil/spieler/141789
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/leopoldo-luque/profil/spieler/141861
