name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Avraam Papadopoulos,https://www.transfermarkt.co.uk/avraam-papadopoulos/profil/spieler/12979,24,£2.93m  ,37,-,2,12,1,-,3330,184
Loukas Vyntra,https://www.transfermarkt.co.uk/loukas-vyntra/profil/spieler/16458,28,£2.25m  ,45,2,-,9,-,-,4019,184
Vangelis Moras,https://www.transfermarkt.co.uk/vangelis-moras/profil/spieler/9850,27,£1.08m  ,32,2,-,4,-,-,2794,193
Alexandros Tziolis,https://www.transfermarkt.co.uk/alexandros-tziolis/profil/spieler/12883,24,£2.70m  ,43,2,3,5,-,-,2544,190
Theofanis Gekas,https://www.transfermarkt.co.uk/theofanis-gekas/profil/spieler/16402,29,£2.97m  ,19,3,2,-,-,-,255,179
Georgios Karagounis,https://www.transfermarkt.co.uk/georgios-karagounis/profil/spieler/6106,32,£5.85m  ,35,10,10,6,-,-,2465,176
Denis Caniza,https://www.transfermarkt.co.uk/denis-caniza/profil/spieler/38786,34,£788k  ,-,-,-,-,-,-,-,-
Cristian Riveros,https://www.transfermarkt.co.uk/cristian-riveros/profil/spieler/37713,26,£1.80m  ,45,7,-,17,-,1,3844,179
Édgar Barreto,https://www.transfermarkt.co.uk/edgar-barreto/profil/spieler/16120,24,£2.25m  ,33,2,3,5,-,-,2951,180
Jonathan Santana,https://www.transfermarkt.co.uk/jonathan-santana/profil/spieler/20000,27,£1.44m  ,19,2,-,4,1,-,880,181
Edgar Benítez,https://www.transfermarkt.co.uk/edgar-benitez/profil/spieler/90147,21,£1.80m  ,25,8,5,2,-,-,1364,176
Óscar Cardozo,https://www.transfermarkt.co.uk/oscar-cardozo/profil/spieler/45865,26,£7.20m  ,35,17,3,1,-,-,2412,193
Lucas Barrios,https://www.transfermarkt.co.uk/lucas-barrios/profil/spieler/58516,24,£2.16m  ,19,15,3,4,-,-,1617,189
