name,link,age,value
Daniele De Rossi,https://www.transfermarkt.co.uk/daniele-de-rossi/profil/spieler/5947,25,£31.50m  
Riccardo Montolivo,https://www.transfermarkt.co.uk/riccardo-montolivo/profil/spieler/19446,24,£13.05m  
Alberto Gilardino,https://www.transfermarkt.co.uk/alberto-gilardino/profil/spieler/5878,26,£13.95m  
Domenico Criscito,https://www.transfermarkt.co.uk/domenico-criscito/profil/spieler/44136,22,£4.05m  
Gianluca Zambrotta,https://www.transfermarkt.co.uk/gianluca-zambrotta/profil/spieler/5757,32,£10.80m  
Gennaro Gattuso,https://www.transfermarkt.co.uk/gennaro-gattuso/profil/spieler/5813,31,£17.10m  
Claudio Marchisio,https://www.transfermarkt.co.uk/claudio-marchisio/profil/spieler/44716,23,£5.40m  
Simone Pepe,https://www.transfermarkt.co.uk/simone-pepe/profil/spieler/17249,25,£4.95m  
Antonio Di Natale,https://www.transfermarkt.co.uk/antonio-di-natale/profil/spieler/6031,31,£13.50m  
Vincenzo Iaquinta,https://www.transfermarkt.co.uk/vincenzo-iaquinta/profil/spieler/5904,29,£10.80m  
Nicolas N'Koulou,https://www.transfermarkt.co.uk/nicolas-nkoulou/profil/spieler/60577,19,£1.98m  
Aurélien Chedjou,https://www.transfermarkt.co.uk/aurelien-chedjou/profil/spieler/45624,24,£1.44m  
Benoît Assou-Ekotto,https://www.transfermarkt.co.uk/benoit-assou-ekotto/profil/spieler/18310,25,£4.32m  
Alex Song,https://www.transfermarkt.co.uk/alex-song/profil/spieler/27394,21,£6.75m  
Eyong Enoh,https://www.transfermarkt.co.uk/eyong-enoh/profil/spieler/47344,23,£1.80m  
Samuel Eto'o,https://www.transfermarkt.co.uk/samuel-etoo/profil/spieler/4257,28,£37.80m  
Pierre Webó,https://www.transfermarkt.co.uk/pierre-webo/profil/spieler/16589,27,£3.06m  
Gaëtan Bong,https://www.transfermarkt.co.uk/gaetan-bong/profil/spieler/36291,21,£900k  
Landry N'Guemo,https://www.transfermarkt.co.uk/landry-nguemo/profil/spieler/34372,23,£3.15m  
Martín Demichelis,https://www.transfermarkt.co.uk/martin-demichelis/profil/spieler/2963,28,£12.60m  
Javier Mascherano,https://www.transfermarkt.co.uk/javier-mascherano/profil/spieler/19981,25,£23.40m  
Mario Bolatti,https://www.transfermarkt.co.uk/mario-bolatti/profil/spieler/52343,24,£2.25m  
Juan Sebastián Verón,https://www.transfermarkt.co.uk/juan-sebastian-veron/profil/spieler/3143,34,£3.15m  
Lionel Messi,https://www.transfermarkt.co.uk/lionel-messi/profil/spieler/28003,22,£54.00m  
Gonzalo Higuaín,https://www.transfermarkt.co.uk/gonzalo-higuain/profil/spieler/39153,21,£18.00m  
Gabriel Heinze,https://www.transfermarkt.co.uk/gabriel-heinze/profil/spieler/5555,31,£5.40m  
Nicolás Burdisso,https://www.transfermarkt.co.uk/nicolas-burdisso/profil/spieler/3417,28,£4.50m  
Nicolás Otamendi,https://www.transfermarkt.co.uk/nicolas-otamendi/profil/spieler/54781,21,£1.53m  
Clemente Rodríguez,https://www.transfermarkt.co.uk/clemente-rodriguez/profil/spieler/20681,27,£2.16m  
Jonás Gutiérrez,https://www.transfermarkt.co.uk/jonas-gutierrez/profil/spieler/26443,25,£7.20m  
