name,link,age,value
José Holebas,https://www.transfermarkt.co.uk/jose-holebas/profil/spieler/41112,29,£2.25m  
Panagiotis Kone,https://www.transfermarkt.co.uk/panagiotis-kone/profil/spieler/19636,25,£3.15m  
Georgios Karagounis,https://www.transfermarkt.co.uk/georgios-karagounis/profil/spieler/6106,36,£900k  
Lazaros Christodoulopoulos,https://www.transfermarkt.co.uk/lazaros-christodoulopoulos/profil/spieler/34283,26,£1.80m  
Giannis Maniatis,https://www.transfermarkt.co.uk/giannis-maniatis/profil/spieler/25721,26,£3.60m  
Andreas Samaris,https://www.transfermarkt.co.uk/andreas-samaris/profil/spieler/140032,24,£720k  
Eugenio Mena,https://www.transfermarkt.co.uk/eugenio-mena/profil/spieler/113999,24,£630k  
Mauricio Isla,https://www.transfermarkt.co.uk/mauricio-isla/profil/spieler/43722,25,£9.90m  
Gary Medel,https://www.transfermarkt.co.uk/gary-medel/profil/spieler/60889,25,£9.00m  
Francisco Silva,https://www.transfermarkt.co.uk/francisco-silva/profil/spieler/84870,27,£1.08m  
Arturo Vidal,https://www.transfermarkt.co.uk/arturo-vidal/profil/spieler/37666,26,£31.50m  
Charles Aránguiz,https://www.transfermarkt.co.uk/charles-aranguiz/profil/spieler/89701,24,£1.98m  
Jorge Valdivia,https://www.transfermarkt.co.uk/jorge-valdivia/profil/spieler/20758,29,£1.35m  
Gonzalo Jara,https://www.transfermarkt.co.uk/gonzalo-jara/profil/spieler/40429,27,£1.58m  
Marcelo Díaz,https://www.transfermarkt.co.uk/marcelo-diaz/profil/spieler/83895,26,£2.03m  
Felipe Gutiérrez,https://www.transfermarkt.co.uk/felipe-gutierrez/profil/spieler/133089,22,£2.93m  
Eduardo Vargas,https://www.transfermarkt.co.uk/eduardo-vargas/profil/spieler/89718,23,£6.30m  
Gary Cahill,https://www.transfermarkt.co.uk/gary-cahill/profil/spieler/27511,27,£17.10m  
Chris Smalling,https://www.transfermarkt.co.uk/chris-smalling/profil/spieler/103427,23,£12.60m  
Leighton Baines,https://www.transfermarkt.co.uk/leighton-baines/profil/spieler/13507,28,£19.80m  
Jack Wilshere,https://www.transfermarkt.co.uk/jack-wilshere/profil/spieler/74223,21,£25.20m  
Steven Gerrard,https://www.transfermarkt.co.uk/steven-gerrard/profil/spieler/3109,33,£10.35m  
Frank Lampard,https://www.transfermarkt.co.uk/frank-lampard/profil/spieler/3163,35,£3.60m  
Ross Barkley,https://www.transfermarkt.co.uk/ross-barkley/profil/spieler/131978,19,£4.05m  
Danny Welbeck,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063,22,£15.30m  
Phil Jones,https://www.transfermarkt.co.uk/phil-jones/profil/spieler/117996,21,£15.30m  
Phil Jagielka,https://www.transfermarkt.co.uk/phil-jagielka/profil/spieler/13520,30,£9.90m  
Luke Shaw,https://www.transfermarkt.co.uk/luke-shaw/profil/spieler/183288,17,£4.05m  
Glen Johnson,https://www.transfermarkt.co.uk/glen-johnson/profil/spieler/3881,28,£10.80m  
Jordan Henderson,https://www.transfermarkt.co.uk/jordan-henderson/profil/spieler/61651,23,£9.45m  
Adam Lallana,https://www.transfermarkt.co.uk/adam-lallana/profil/spieler/43530,25,£4.95m  
