name,link,age,value
Francisco Uría,https://www.transfermarkt.co.uk/francisco-uria/profil/spieler/135086,27, 
Isidoro San José,https://www.transfermarkt.co.uk/isidoro-san-jose/profil/spieler/135105,21, 
Eugenio Leal,https://www.transfermarkt.co.uk/eugenio-leal/profil/spieler/135097,23, 
Antonio Olmo,https://www.transfermarkt.co.uk/antonio-olmo/profil/spieler/135099,23, 
Julio Cardeñosa,https://www.transfermarkt.co.uk/julio-cardenosa/profil/spieler/135093,27, 
Tibor Nyilasi,https://www.transfermarkt.co.uk/tibor-nyilasi/profil/spieler/127029,22, 
Roland Andersson,https://www.transfermarkt.co.uk/roland-andersson/profil/spieler/134939,27, 
Bo Larsson,https://www.transfermarkt.co.uk/bo-larsson/profil/spieler/97074,33, 
Hasse Borg,https://www.transfermarkt.co.uk/hasse-borg/profil/spieler/107466,23, 
Ingemar Erlandsson,https://www.transfermarkt.co.uk/ingemar-erlandsson/profil/spieler/134942,19, 
Anders Linderoth,https://www.transfermarkt.co.uk/anders-linderoth/profil/spieler/134945,27, 
Lennart Larsson,https://www.transfermarkt.co.uk/lennart-larsson/profil/spieler/95122,23, 
Christian Lopez,https://www.transfermarkt.co.uk/christian-lopez/profil/spieler/128987,24, 
Maxime Bossis,https://www.transfermarkt.co.uk/maxime-bossis/profil/spieler/117490,22, 
Dominique Bathenay,https://www.transfermarkt.co.uk/dominique-bathenay/profil/spieler/141758,23, 
Claude Papi,https://www.transfermarkt.co.uk/claude-papi/profil/spieler/141779,28, 
Didier Six,https://www.transfermarkt.co.uk/didier-six/profil/spieler/97184,22, 
Marc Berdoll,https://www.transfermarkt.co.uk/marc-berdoll/profil/spieler/134731,24, 
Dominique Rocheteau,https://www.transfermarkt.co.uk/dominique-rocheteau/profil/spieler/117496,22, 
Patrice Rio,https://www.transfermarkt.co.uk/patrice-rio/profil/spieler/141757,28, 
Patrick Battiston,https://www.transfermarkt.co.uk/patrick-battiston/profil/spieler/117486,20, 
Henri Michel,https://www.transfermarkt.co.uk/henri-michel/profil/spieler/141771,29, 
Michel Platini,https://www.transfermarkt.co.uk/michel-platini/profil/spieler/88994,22, 
Zico,https://www.transfermarkt.co.uk/zico/profil/spieler/117619,24, 
Jerzy Gorgon,https://www.transfermarkt.co.uk/jerzy-gorgon/profil/spieler/142148,27, 
Antoni Szymanowski,https://www.transfermarkt.co.uk/antoni-szymanowski/profil/spieler/142145,26, 
Bohdan Masztaler,https://www.transfermarkt.co.uk/bohdan-masztaler/profil/spieler/89839,27, 
Wojciech Rudy,https://www.transfermarkt.co.uk/wojciech-rudy/profil/spieler/142152,24, 
Grzegorz Lato,https://www.transfermarkt.co.uk/grzegorz-lato/profil/spieler/132457,27, 
Andrzej Szarmach,https://www.transfermarkt.co.uk/andrzej-szarmach/profil/spieler/132458,26, 
Wladyslaw Zmuda,https://www.transfermarkt.co.uk/wladyslaw-zmuda/profil/spieler/117228,23, 
Adam Nawalka,https://www.transfermarkt.co.uk/adam-nawalka/profil/spieler/142146,19, 
Henryk Kasperczak,https://www.transfermarkt.co.uk/henryk-kasperczak/profil/spieler/142149,30, 
Kazimierz Deyna,https://www.transfermarkt.co.uk/kazimierz-deyna/profil/spieler/142153,29, 
Jan Poortvliet,https://www.transfermarkt.co.uk/jan-poortvliet/profil/spieler/135625,21, 
Ruud Krol,https://www.transfermarkt.co.uk/ruud-krol/profil/spieler/135621,28, 
Johan Neeskens,https://www.transfermarkt.co.uk/johan-neeskens/profil/spieler/135643,25, 
Martin Buchan,https://www.transfermarkt.co.uk/martin-buchan/profil/spieler/131334,28, 
Asa Hartford,https://www.transfermarkt.co.uk/asa-hartford/profil/spieler/135280,26, 
Joe Jordan,https://www.transfermarkt.co.uk/joe-jordan/profil/spieler/135278,25, 
Kenny Dalglish,https://www.transfermarkt.co.uk/kenny-dalglish/profil/spieler/135269,26, 
Eduardo Ramos,https://www.transfermarkt.co.uk/eduardo-ramos/profil/spieler/142490,27, 
Guillermo Mendizábal,https://www.transfermarkt.co.uk/guillermo-mendizabal/profil/spieler/142492,22, 
