name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Eduardo Salvio,https://www.transfermarkt.co.uk/eduardo-salvio/nationalmannschaft/spieler/84535,27,£19.80m  ,11,-,-,-,-,-,653,173
Nicolás Otamendi,https://www.transfermarkt.co.uk/nicolas-otamendi/nationalmannschaft/spieler/54781,30,£31.50m  ,56,4,1,13,-,-,4887,183
Lucas Biglia,https://www.transfermarkt.co.uk/lucas-biglia/nationalmannschaft/spieler/26721,32,£13.50m  ,58,1,2,9,-,-,3764,178
Ángel Di María,https://www.transfermarkt.co.uk/angel-di-maria/nationalmannschaft/spieler/45320,30,£36.00m  ,95,19,27,8,-,1,7054,180
Sergio Agüero,https://www.transfermarkt.co.uk/sergio-aguero/nationalmannschaft/spieler/26399,30,£72.00m  ,86,37,12,9,-,-,4750,173
Harry Maguire,https://www.transfermarkt.co.uk/harry-maguire/nationalmannschaft/spieler/177907,25,£22.50m  ,7,-,1,-,-,-,619,194
Kyle Walker,https://www.transfermarkt.co.uk/kyle-walker/nationalmannschaft/spieler/95424,28,£45.00m  ,37,-,6,5,-,-,3082,181
Kieran Trippier,https://www.transfermarkt.co.uk/kieran-trippier/nationalmannschaft/spieler/95810,27,£18.00m  ,9,-,2,-,-,-,663,174
Jordan Henderson,https://www.transfermarkt.co.uk/jordan-henderson/nationalmannschaft/spieler/61651,28,£22.50m  ,41,-,6,2,-,-,2756,187
Ruben Loftus-Cheek,https://www.transfermarkt.co.uk/ruben-loftus-cheek/nationalmannschaft/spieler/202886,22,£13.50m  ,6,-,2,1,-,-,327,191
Raheem Sterling,https://www.transfermarkt.co.uk/raheem-sterling/nationalmannschaft/spieler/134425,23,£81.00m  ,40,2,11,5,-,1,2610,170
Ashley Young,https://www.transfermarkt.co.uk/ashley-young/nationalmannschaft/spieler/14086,32,£6.30m  ,35,7,9,3,-,-,1990,176
Jesse Lingard,https://www.transfermarkt.co.uk/jesse-lingard/nationalmannschaft/spieler/141660,25,£31.50m  ,14,2,2,1,-,-,752,174
Majid Hosseini,https://www.transfermarkt.co.uk/majid-hosseini/nationalmannschaft/spieler/294767,22,£810k  ,3,-,-,1,-,-,189,183
Omid Ebrahimi,https://www.transfermarkt.co.uk/omid-ebrahimi/nationalmannschaft/spieler/180218,30,£1.08m  ,26,-,2,3,-,-,1548,179
Saeid Ezatolahi,https://www.transfermarkt.co.uk/saeid-ezatolahi/nationalmannschaft/spieler/249271,21,£1.08m  ,25,1,2,1,-,1,1826,190
Karim Ansarifard,https://www.transfermarkt.co.uk/karim-ansarifard/nationalmannschaft/spieler/133838,28,£3.60m  ,56,15,3,8,-,-,3001,183
William Troost-Ekong,https://www.transfermarkt.co.uk/william-troost-ekong/nationalmannschaft/spieler/192875,24,£1.44m  ,23,1,-,1,-,-,2050,191
Bryan Idowu,https://www.transfermarkt.co.uk/bryan-idowu/nationalmannschaft/spieler/178957,26,£1.35m  ,7,1,-,1,-,-,513,179
Wilfred Ndidi,https://www.transfermarkt.co.uk/wilfred-ndidi/nationalmannschaft/spieler/274839,21,£22.50m  ,19,-,-,-,-,-,1318,183
Kelechi Iheanacho,https://www.transfermarkt.co.uk/kelechi-iheanacho/nationalmannschaft/spieler/295330,21,£13.50m  ,20,8,4,1,-,-,1145,184
Kenneth Omeruo,https://www.transfermarkt.co.uk/kenneth-omeruo/nationalmannschaft/spieler/131708,24,£1.58m  ,36,-,1,7,-,-,2757,185
Oghenekaro Etebo,https://www.transfermarkt.co.uk/oghenekaro-etebo/nationalmannschaft/spieler/409106,22,£1.35m  ,13,1,1,2,-,-,889,174
Victor Moses,https://www.transfermarkt.co.uk/victor-moses/nationalmannschaft/spieler/59866,27,£18.00m  ,36,11,7,2,-,-,2529,177
Branislav Ivanovic,https://www.transfermarkt.co.uk/branislav-ivanovic/nationalmannschaft/spieler/36827,34,£2.70m  ,104,13,5,12,-,-,8682,185
Luka Milivojevic,https://www.transfermarkt.co.uk/luka-milivojevic/nationalmannschaft/spieler/74300,27,£13.50m  ,31,1,1,5,-,-,2158,186
Filip Kostic,https://www.transfermarkt.co.uk/filip-kostic/nationalmannschaft/spieler/161011,25,£5.40m  ,25,2,7,-,-,-,1542,184
Nikola Milenkovic,https://www.transfermarkt.co.uk/nikola-milenkovic/nationalmannschaft/spieler/413507,20,£8.10m  ,4,-,-,1,-,-,360,195
Dusko Tosic,https://www.transfermarkt.co.uk/dusko-tosic/nationalmannschaft/spieler/17184,33,£1.80m  ,26,1,2,2,-,-,1909,185
Nemanja Matic,https://www.transfermarkt.co.uk/nemanja-matic/nationalmannschaft/spieler/74683,29,£36.00m  ,42,2,-,7,1,1,3197,194
Sergej Milinkovic-Savic,https://www.transfermarkt.co.uk/sergej-milinkovic-savic/nationalmannschaft/spieler/266302,23,£81.00m  ,6,-,1,1,-,-,451,191
Rodrigo Bentancur,https://www.transfermarkt.co.uk/rodrigo-bentancur/nationalmannschaft/spieler/354362,20,£13.50m  ,9,-,-,-,-,-,725,187
Carlos Sánchez,https://www.transfermarkt.co.uk/carlos-sanchez/nationalmannschaft/spieler/74373,33,£1.35m  ,37,1,16,1,-,-,2357,170
Cristian Rodríguez,https://www.transfermarkt.co.uk/cristian-rodriguez/nationalmannschaft/spieler/33448,32,£450k  ,104,11,8,8,-,-,6862,177
Martín Cáceres,https://www.transfermarkt.co.uk/martin-caceres/nationalmannschaft/spieler/54935,31,£2.25m  ,74,4,5,17,1,-,6296,180
Matías Vecino,https://www.transfermarkt.co.uk/matias-vecino/nationalmannschaft/spieler/143812,26,£18.90m  ,24,1,-,2,1,-,1850,187
Luis Suárez,https://www.transfermarkt.co.uk/luis-suarez/nationalmannschaft/spieler/44352,31,£63.00m  ,97,51,26,13,-,1,8061,182
Jens Stryger Larsen,https://www.transfermarkt.co.uk/jens-stryger-larsen/nationalmannschaft/spieler/69646,27,£1.80m  ,15,1,1,-,-,-,1171,180
Lasse Schöne,https://www.transfermarkt.co.uk/lasse-schone/nationalmannschaft/spieler/34784,32,£2.70m  ,38,3,2,-,-,-,1533,177
Thomas Delaney,https://www.transfermarkt.co.uk/thomas-delaney/nationalmannschaft/spieler/91849,26,£10.80m  ,29,4,1,3,-,-,2001,182
Pione Sisto,https://www.transfermarkt.co.uk/pione-sisto/nationalmannschaft/spieler/252641,23,£13.50m  ,16,1,2,1,-,-,1004,171
Andreas Christensen,https://www.transfermarkt.co.uk/andreas-christensen/nationalmannschaft/spieler/196948,22,£36.00m  ,18,1,-,-,-,-,1426,188
Henrik Dalsgaard,https://www.transfermarkt.co.uk/henrik-dalsgaard/nationalmannschaft/spieler/93315,28,£1.35m  ,14,-,3,2,-,-,1132,192
Christian Eriksen,https://www.transfermarkt.co.uk/christian-eriksen/nationalmannschaft/spieler/69633,26,£72.00m  ,80,23,19,3,-,-,5988,177
