name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Cristian Riveros,https://www.transfermarkt.co.uk/cristian-riveros/profil/spieler/37713,22, ,-,-,-,-,-,-,-,-
Roberto Acuña,https://www.transfermarkt.co.uk/roberto-acuna/profil/spieler/7495,33,£1.13m  ,2,-,-,-,-,-,43,175
Roque Santa Cruz,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215,23,£3.60m  ,12,6,3,-,-,-,908,193
Cyd Gray,https://www.transfermarkt.co.uk/cyd-gray/profil/spieler/35842,28, ,-,-,-,-,-,-,-,-
Stern John,https://www.transfermarkt.co.uk/stern-john/profil/spieler/3793,28,£1.13m  ,33,11,-,1,-,-,2269,185
Brent Sancho,https://www.transfermarkt.co.uk/brent-sancho/profil/spieler/12849,28,£405k  ,-,-,-,-,-,-,-,-
Dennis Lawrence,https://www.transfermarkt.co.uk/dennis-lawrence/profil/spieler/35844,30, ,44,4,1,2,-,-,3811,201
Avery John,https://www.transfermarkt.co.uk/avery-john/profil/spieler/35843,30, ,14,-,1,2,-,-,1167,182
Carlos Edwards,https://www.transfermarkt.co.uk/carlos-edwards/profil/spieler/33489,26, ,18,1,4,-,-,-,1584,180
Aurtis Whitley,https://www.transfermarkt.co.uk/aurtis-whitley/profil/spieler/35848,28, ,-,-,-,-,-,-,-,-
Densill Theobald,https://www.transfermarkt.co.uk/densill-theobald/profil/spieler/37126,23, ,-,-,-,-,-,-,-,-
Chris Birchall,https://www.transfermarkt.co.uk/chris-birchall/profil/spieler/35840,21, ,34,6,3,3,-,-,2701,175
Dwight Yorke,https://www.transfermarkt.co.uk/dwight-yorke/profil/spieler/3223,33,£2.48m  ,18,2,-,1,-,-,721,178
John Terry,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160,24,£21.60m  ,53,8,1,7,-,-,4800,187
Michael Carrick,https://www.transfermarkt.co.uk/michael-carrick/profil/spieler/3878,23,£5.85m  ,38,-,2,2,-,-,3075,189
Steven Gerrard,https://www.transfermarkt.co.uk/steven-gerrard/profil/spieler/3109,25,£27.00m  ,43,13,4,6,-,-,3663,183
David Beckham,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139,30,£25.20m  ,38,4,9,11,-,-,3111,183
Joe Cole,https://www.transfermarkt.co.uk/joe-cole/profil/spieler/3876,23,£8.10m  ,46,9,6,7,-,-,2821,176
Rio Ferdinand,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235,26,£26.55m  ,42,-,2,4,-,-,3810,189
Jamie Carragher,https://www.transfermarkt.co.uk/jamie-carragher/profil/spieler/3597,27,£6.75m  ,56,-,-,7,-,-,5050,185
Ashley Cole,https://www.transfermarkt.co.uk/ashley-cole/profil/spieler/3182,24,£17.55m  ,47,2,2,10,-,-,4193,176
Gary Neville,https://www.transfermarkt.co.uk/gary-neville/profil/spieler/3403,30,£6.53m  ,35,1,5,3,-,1,2969,180
Owen Hargreaves,https://www.transfermarkt.co.uk/owen-hargreaves/profil/spieler/201,24,£6.75m  ,38,3,4,5,-,-,2313,N/A
Frank Lampard,https://www.transfermarkt.co.uk/frank-lampard/profil/spieler/3163,27,£28.80m  ,58,19,20,8,-,-,4900,184
Michael Owen,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397,25,£19.80m  ,45,17,-,1,-,-,2416,173
Peter Crouch,https://www.transfermarkt.co.uk/peter-crouch/profil/spieler/4072,24,£2.57m  ,30,15,-,1,-,1,2121,201
Josip Simunic,https://www.transfermarkt.co.uk/josip-simunic/profil/spieler/354,27,£4.05m  ,32,-,-,9,-,-,2799,N/A
Igor Tudor,https://www.transfermarkt.co.uk/igor-tudor/profil/spieler/5752,27,£3.60m  ,19,1,-,4,-,1,1545,193
Dario Simic,https://www.transfermarkt.co.uk/dario-simic/profil/spieler/2540,29,£1.80m  ,3,-,-,-,-,-,234,180
Darijo Srna,https://www.transfermarkt.co.uk/darijo-srna/profil/spieler/14942,23,£2.07m  ,22,-,1,3,1,-,1630,182
Marko Babic,https://www.transfermarkt.co.uk/marko-babic/profil/spieler/62,24,£2.25m  ,39,3,3,4,-,-,1997,N/A
Dado Prso,https://www.transfermarkt.co.uk/dado-prso/profil/spieler/4178,30,£6.75m  ,10,1,-,1,-,-,890,188
Robert Kovac,https://www.transfermarkt.co.uk/robert-kovac/profil/spieler/75,31,£4.05m  ,34,-,1,7,-,-,2791,182
Stjepan Tomas,https://www.transfermarkt.co.uk/stjepan-tomas/profil/spieler/13937,29,£3.60m  ,34,-,-,3,-,-,2917,187
Niko Kranjcar,https://www.transfermarkt.co.uk/niko-kranjcar/profil/spieler/16746,20,£4.50m  ,3,1,-,-,-,-,194,186
Luis Marín,https://www.transfermarkt.co.uk/luis-marin/profil/spieler/35375,30, ,-,-,-,-,-,-,-,-
Paulo Wanchope,https://www.transfermarkt.co.uk/paulo-wanchope/profil/spieler/3230,28,£4.05m  ,24,6,-,4,-,-,1440,193
Alessandro Nesta,https://www.transfermarkt.co.uk/alessandro-nesta/profil/spieler/4171,29,£29.70m  ,45,-,-,7,1,1,3953,187
Andrea Barzagli,https://www.transfermarkt.co.uk/andrea-barzagli/profil/spieler/7109,24,£6.30m  ,40,-,-,4,-,-,3547,187
Fabio Grosso,https://www.transfermarkt.co.uk/fabio-grosso/profil/spieler/6091,27,£4.50m  ,38,1,-,9,-,-,3345,190
Gianluca Zambrotta,https://www.transfermarkt.co.uk/gianluca-zambrotta/profil/spieler/5757,28,£25.20m  ,48,-,1,4,-,-,4277,181
Andrea Pirlo,https://www.transfermarkt.co.uk/andrea-pirlo/profil/spieler/5817,26,£18.00m  ,43,5,4,4,-,-,3357,177
Gennaro Gattuso,https://www.transfermarkt.co.uk/gennaro-gattuso/profil/spieler/5813,27,£22.50m  ,45,-,-,8,-,-,3492,177
Simone Perrotta,https://www.transfermarkt.co.uk/simone-perrotta/profil/spieler/5922,27,£9.00m  ,39,3,1,16,-,-,3161,178
Francesco Totti,https://www.transfermarkt.co.uk/francesco-totti/profil/spieler/5958,28,£31.50m  ,40,15,3,13,-,2,3528,180
Luca Toni,https://www.transfermarkt.co.uk/luca-toni/profil/spieler/5980,28,£13.50m  ,36,21,1,9,-,-,3219,193
Fabio Cannavaro,https://www.transfermarkt.co.uk/fabio-cannavaro/profil/spieler/5775,31,£12.60m  ,47,3,-,5,-,-,4088,175
Cristian Zaccardo,https://www.transfermarkt.co.uk/cristian-zaccardo/profil/spieler/5993,23,£7.20m  ,37,2,-,5,1,-,3137,184
Marco Materazzi,https://www.transfermarkt.co.uk/marco-materazzi/profil/spieler/5778,31,£4.50m  ,40,-,-,8,-,1,3442,193
Daniele De Rossi,https://www.transfermarkt.co.uk/daniele-de-rossi/profil/spieler/5947,21,£12.60m  ,38,4,-,12,-,2,3233,185
Alessandro Del Piero,https://www.transfermarkt.co.uk/alessandro-del-piero/profil/spieler/4289,30,£16.20m  ,41,17,1,3,-,-,2724,173
Gabriel Heinze,https://www.transfermarkt.co.uk/gabriel-heinze/profil/spieler/5555,27,£13.05m  ,39,1,2,8,-,-,3408,179
Gabriel Milito,https://www.transfermarkt.co.uk/gabriel-milito/profil/spieler/7968,24,£7.65m  ,47,3,-,14,-,-,4168,179
Esteban Cambiasso,https://www.transfermarkt.co.uk/esteban-cambiasso/profil/spieler/7520,24,£9.00m  ,44,2,-,8,-,-,3657,177
Hernán Crespo,https://www.transfermarkt.co.uk/hernan-crespo/profil/spieler/3410,29,£13.50m  ,40,17,-,1,-,-,2710,184
Roberto Ayala,https://www.transfermarkt.co.uk/roberto-ayala/profil/spieler/7565,32,£8.10m  ,17,-,-,2,-,-,1433,177
Fabricio Coloccini,https://www.transfermarkt.co.uk/fabricio-coloccini/profil/spieler/6150,23,£7.20m  ,20,1,-,3,1,-,1653,184
Nicolás Burdisso,https://www.transfermarkt.co.uk/nicolas-burdisso/profil/spieler/3417,24,£4.50m  ,15,-,-,1,-,-,1131,183
Leandro Cufré,https://www.transfermarkt.co.uk/leandro-cufre/profil/spieler/5945,27,£3.60m  ,46,-,-,8,1,-,3985,176
Lionel Scaloni,https://www.transfermarkt.co.uk/lionel-scaloni/profil/spieler/7499,27,£5.18m  ,34,2,-,7,-,1,2402,182
Javier Mascherano,https://www.transfermarkt.co.uk/javier-mascherano/profil/spieler/19981,21,£10.62m  ,-,-,-,-,-,-,-,-
Lucho González,https://www.transfermarkt.co.uk/lucho-gonzalez/profil/spieler/26244,24,£5.40m  ,-,-,-,-,-,-,-,-
Maxi Rodríguez,https://www.transfermarkt.co.uk/maxi-rodriguez/profil/spieler/7895,24,£6.30m  ,37,15,-,1,1,-,2914,173
Lionel Messi,https://www.transfermarkt.co.uk/lionel-messi/profil/spieler/28003,18,£2.70m  ,9,1,-,-,-,-,238,170
Rafael Márquez,https://www.transfermarkt.co.uk/rafael-marquez/profil/spieler/2904,26,£10.80m  ,41,3,2,8,1,-,3328,184
Carlos Salcido,https://www.transfermarkt.co.uk/carlos-salcido/profil/spieler/31434,25,£900k  ,-,-,-,-,-,-,-,-
Sinha,https://www.transfermarkt.co.uk/sinha/profil/spieler/31351,29,£1.13m  ,-,-,-,-,-,-,-,-
Rafael Márquez,https://www.transfermarkt.co.uk/rafael-marquez/profil/spieler/31436,23,£1.80m  ,-,-,-,-,-,-,-,-
Francisco Fonseca,https://www.transfermarkt.co.uk/francisco-fonseca/profil/spieler/31350,25,£2.25m  ,-,-,-,-,-,-,-,-
Guillermo Franco,https://www.transfermarkt.co.uk/guillermo-franco/profil/spieler/37558,28, ,-,-,-,-,-,-,-,-
Gerardo Torrado,https://www.transfermarkt.co.uk/gerardo-torrado/profil/spieler/7713,26,£2.25m  ,19,-,-,7,-,-,1149,176
Gonzalo Pineda,https://www.transfermarkt.co.uk/gonzalo-pineda/profil/spieler/31383,22,£900k  ,-,-,-,-,-,-,-,-
Andrés Guardado,https://www.transfermarkt.co.uk/andres-guardado/profil/spieler/20506,18,- ,-,-,-,-,-,-,-,-
Carlos Bocanegra,https://www.transfermarkt.co.uk/carlos-bocanegra/profil/spieler/15829,26,£2.03m  ,33,1,-,5,-,-,2884,183
Eddie Pope,https://www.transfermarkt.co.uk/eddie-pope/profil/spieler/24845,31,- ,20,1,-,-,-,1,1704,186
DaMarcus Beasley,https://www.transfermarkt.co.uk/damarcus-beasley/profil/spieler/20584,23,£3.15m  ,41,10,6,1,-,-,2232,173
Pablo Mastroeni,https://www.transfermarkt.co.uk/pablo-mastroeni/profil/spieler/26967,28,£540k  ,17,1,-,5,-,1,1242,176
Eddie Lewis,https://www.transfermarkt.co.uk/eddie-lewis/profil/spieler/3484,31,£1.13m  ,43,4,13,8,1,-,3585,178
Landon Donovan,https://www.transfermarkt.co.uk/landon-donovan/profil/spieler/68,23,£2.25m  ,36,16,11,3,-,-,2584,173
Oguchi Onyewu,https://www.transfermarkt.co.uk/oguchi-onyewu/profil/spieler/12517,23,£1.58m  ,38,4,3,11,-,-,3370,193
Jimmy Conrad,https://www.transfermarkt.co.uk/jimmy-conrad/profil/spieler/26828,28, ,25,2,2,4,-,-,2241,188
Claudio Reyna,https://www.transfermarkt.co.uk/claudio-reyna/profil/spieler/3475,31,£4.05m  ,17,2,-,-,-,-,1463,175
Bobby Convey,https://www.transfermarkt.co.uk/bobby-convey/profil/spieler/20585,22,£675k  ,18,-,-,-,-,-,631,172
Clint Dempsey,https://www.transfermarkt.co.uk/clint-dempsey/profil/spieler/27577,22,£900k  ,30,11,9,7,-,-,2709,185
Samuel Kuffour,https://www.transfermarkt.co.uk/samuel-kuffour/profil/spieler/208,28,£4.95m  ,14,-,1,2,-,1,1055,N/A
John Mensah,https://www.transfermarkt.co.uk/john-mensah/profil/spieler/5917,22,£450k  ,11,-,-,3,-,1,807,180
Illiasu Shilla,https://www.transfermarkt.co.uk/illiasu-shilla/profil/spieler/39953,22, ,-,-,-,-,-,-,-,-
Habib Mohamed,https://www.transfermarkt.co.uk/habib-mohamed/profil/spieler/39963,21, ,-,-,-,-,-,-,-,-
Derek Boateng,https://www.transfermarkt.co.uk/derek-boateng/profil/spieler/18091,22,£360k  ,-,-,-,-,-,-,-,-
Stephen Appiah,https://www.transfermarkt.co.uk/stephen-appiah/profil/spieler/5975,24,£5.40m  ,23,2,-,4,-,-,1476,178
Otto Addo,https://www.transfermarkt.co.uk/otto-addo/profil/spieler/102,30,£900k  ,7,-,-,1,-,-,346,189
Eric Addo,https://www.transfermarkt.co.uk/eric-addo/profil/spieler/4336,26,£675k  ,2,-,-,-,-,-,180,183
Michael Essien,https://www.transfermarkt.co.uk/michael-essien/profil/spieler/5588,22,£20.70m  ,50,9,-,10,1,-,4430,178
Emmanuel Pappoe,https://www.transfermarkt.co.uk/emmanuel-pappoe/profil/spieler/35236,24, ,-,-,-,-,-,-,-,-
Sulley Muntari,https://www.transfermarkt.co.uk/sulley-muntari/profil/spieler/17129,20,£2.70m  ,40,2,-,16,-,-,3023,179
Razak Pimpong,https://www.transfermarkt.co.uk/razak-pimpong/profil/spieler/22505,22,- ,-,-,-,-,-,-,-,-
Matthew Amoah,https://www.transfermarkt.co.uk/matthew-amoah/profil/spieler/4429,24,£1.80m  ,34,13,4,3,-,-,3025,178
Young-Chul Kim,https://www.transfermarkt.co.uk/young-chul-kim/profil/spieler/35188,29, ,-,-,-,-,-,-,-,-
Ho Lee,https://www.transfermarkt.co.uk/ho-lee/profil/spieler/35190,20, ,-,-,-,-,-,-,-,-
Jin-kyu Kim,https://www.transfermarkt.co.uk/jin-kyu-kim/profil/spieler/35187,20, ,24,1,-,5,-,-,1988,183
Ricardo Costa,https://www.transfermarkt.co.uk/ricardo-costa/profil/spieler/9819,24,£2.70m  ,32,2,-,7,-,-,2645,184
Nuno Valente,https://www.transfermarkt.co.uk/nuno-valente/profil/spieler/9831,30,£4.50m  ,12,-,-,4,-,-,1005,182
Paulo Ferreira,https://www.transfermarkt.co.uk/paulo-ferreira/profil/spieler/9832,26,£14.40m  ,41,-,-,3,-,-,3558,183
Costinha,https://www.transfermarkt.co.uk/costinha/profil/spieler/9826,30,£13.50m  ,50,3,1,13,-,-,4228,181
Maniche,https://www.transfermarkt.co.uk/maniche/profil/spieler/9822,27,£16.20m  ,42,5,2,9,-,2,3530,N/A
Deco,https://www.transfermarkt.co.uk/deco/profil/spieler/8564,27,£18.90m  ,42,8,12,13,-,-,3662,176
Ricardo Carvalho,https://www.transfermarkt.co.uk/ricardo-carvalho/profil/spieler/9828,27,£22.05m  ,39,1,-,5,-,-,3228,182
Fernando Meira,https://www.transfermarkt.co.uk/fernando-meira/profil/spieler/1432,27,£7.20m  ,22,2,-,1,1,1,1704,N/A
Miguel,https://www.transfermarkt.co.uk/miguel/profil/spieler/13225,25,£13.50m  ,29,2,-,2,-,-,2534,179
Petit,https://www.transfermarkt.co.uk/petit/profil/spieler/13917,28,£7.20m  ,38,2,-,7,-,-,3185,178
Tiago,https://www.transfermarkt.co.uk/tiago/profil/spieler/8538,24,£9.00m  ,51,4,3,7,-,-,2912,183
Simão,https://www.transfermarkt.co.uk/simao/profil/spieler/8019,25,£14.40m  ,45,19,1,5,-,-,4024,174
Antonio Valencia,https://www.transfermarkt.co.uk/antonio-valencia/profil/spieler/33544,19, ,-,-,-,-,-,-,-,-
Segundo Castillo,https://www.transfermarkt.co.uk/segundo-castillo/profil/spieler/38763,23, ,-,-,-,-,-,-,-,-
Hamad Al Montashari,https://www.transfermarkt.co.uk/hamad-al-montashari/profil/spieler/31662,23, ,-,-,-,-,-,-,-,-
Mohammed Ameen,https://www.transfermarkt.co.uk/mohammed-ameen/profil/spieler/31659,25, ,-,-,-,-,-,-,-,-
Mohammed Noor,https://www.transfermarkt.co.uk/mohammed-noor/profil/spieler/25688,27, ,-,-,-,-,-,-,-,-
Patrick Vieira,https://www.transfermarkt.co.uk/patrick-vieira/profil/spieler/3183,29,£31.50m  ,44,7,5,11,1,-,3926,193
Thierry Henry,https://www.transfermarkt.co.uk/thierry-henry/profil/spieler/3207,27,£40.50m  ,42,30,14,3,-,-,3680,188
William Gallas,https://www.transfermarkt.co.uk/william-gallas/profil/spieler/3156,27,£8.55m  ,46,2,2,3,-,-,4045,182
Lilian Thuram,https://www.transfermarkt.co.uk/lilian-thuram/profil/spieler/3521,33,£4.50m  ,49,-,-,7,-,-,4360,182
Willy Sagnol,https://www.transfermarkt.co.uk/willy-sagnol/profil/spieler/213,28,£6.75m  ,33,1,7,3,-,-,2699,182
Florent Malouda,https://www.transfermarkt.co.uk/florent-malouda/profil/spieler/5461,25,£6.30m  ,51,8,1,1,-,-,4260,177
Franck Ribéry,https://www.transfermarkt.co.uk/franck-ribery/profil/spieler/22068,22,£4.73m  ,35,2,6,2,-,-,2778,170
Sylvain Wiltord,https://www.transfermarkt.co.uk/sylvain-wiltord/profil/spieler/3188,31,£4.05m  ,35,11,2,1,-,-,2638,174
Michal Zewlakow,https://www.transfermarkt.co.uk/michal-zewlakow/profil/spieler/9613,29,£1.58m  ,24,-,3,3,-,-,1940,182
Arkadiusz Radomski,https://www.transfermarkt.co.uk/arkadiusz-radomski/profil/spieler/4404,28,£1.58m  ,33,-,-,5,-,-,2857,177
Miroslaw Szymkowiak,https://www.transfermarkt.co.uk/miroslaw-szymkowiak/profil/spieler/14918,28,£3.83m  ,33,10,13,5,-,-,2681,179
Jacek Krzynowek,https://www.transfermarkt.co.uk/jacek-krzynowek/profil/spieler/765,29,£3.15m  ,44,9,17,1,-,-,3725,N/A
Jacek Bak,https://www.transfermarkt.co.uk/jacek-bak/profil/spieler/5472,32,£1.58m  ,21,1,-,3,-,-,1275,190
Mariusz Jop,https://www.transfermarkt.co.uk/mariusz-jop/profil/spieler/14898,26,£1.35m  ,28,1,-,6,-,-,2431,188
Bartosz Bosacki,https://www.transfermarkt.co.uk/bartosz-bosacki/profil/spieler/18527,29,£675k  ,13,-,1,1,-,-,926,N/A
Marcin Baszczynski,https://www.transfermarkt.co.uk/marcin-baszczynski/profil/spieler/14892,28,£2.25m  ,30,2,4,5,-,1,2637,182
Radoslaw Sobolewski,https://www.transfermarkt.co.uk/radoslaw-sobolewski/profil/spieler/24573,28,£1.35m  ,20,1,1,4,2,-,1620,182
Maciej Zurawski,https://www.transfermarkt.co.uk/maciej-zurawski/profil/spieler/14922,28,£3.60m  ,30,27,22,3,-,-,2649,182
Ebi Smolarek,https://www.transfermarkt.co.uk/ebi-smolarek/profil/spieler/4388,24,£1.58m  ,22,3,5,4,-,-,1541,N/A
Jens Lehmann,https://www.transfermarkt.co.uk/jens-lehmann/profil/spieler/122,35,£2.84m  ,,,,,,,,
Arne Friedrich,https://www.transfermarkt.co.uk/arne-friedrich/profil/spieler/698,26,£5.85m  ,25,3,7,9,-,-,2250,N/A
Per Mertesacker,https://www.transfermarkt.co.uk/per-mertesacker/profil/spieler/6710,20,£4.50m  ,35,3,1,1,-,-,3173,198
Marcell Jansen,https://www.transfermarkt.co.uk/marcell-jansen/profil/spieler/16624,19,£900k  ,31,5,2,1,-,-,2518,191
Bastian Schweinsteiger,https://www.transfermarkt.co.uk/bastian-schweinsteiger/profil/spieler/2514,20,£6.30m  ,42,4,9,6,-,-,2842,183
Bernd Schneider,https://www.transfermarkt.co.uk/bernd-schneider/profil/spieler/90,31,£4.50m  ,45,3,9,7,-,-,4023,N/A
Miroslav Klose,https://www.transfermarkt.co.uk/miroslav-klose/profil/spieler/10,27,£10.80m  ,45,17,11,4,-,-,3244,184
Jens Nowotny,https://www.transfermarkt.co.uk/jens-nowotny/profil/spieler/82,31,£1.35m  ,22,1,-,5,-,1,1873,N/A
Christoph Metzelder,https://www.transfermarkt.co.uk/christoph-metzelder/profil/spieler/123,24,£5.85m  ,18,-,-,2,-,-,1452,194
Robert Huth,https://www.transfermarkt.co.uk/robert-huth/profil/spieler/2998,20,£3.15m  ,16,1,-,-,-,-,851,191
Torsten Frings,https://www.transfermarkt.co.uk/torsten-frings/profil/spieler/528,28,£8.10m  ,45,5,6,7,-,-,3444,182
Sebastian Kehl,https://www.transfermarkt.co.uk/sebastian-kehl/profil/spieler/410,25,£3.15m  ,37,4,2,5,-,-,3205,187
Michael Ballack,https://www.transfermarkt.co.uk/michael-ballack/profil/spieler/63,28,£27.00m  ,42,20,8,11,-,-,3746,N/A
Tim Borowski,https://www.transfermarkt.co.uk/tim-borowski/profil/spieler/692,25,£5.85m  ,44,10,6,6,-,-,3709,194
Joris Mathijsen,https://www.transfermarkt.co.uk/joris-mathijsen/profil/spieler/4563,25,£5.40m  ,35,4,-,1,-,-,2860,183
Dirk Kuyt,https://www.transfermarkt.co.uk/dirk-kuyt/profil/spieler/4010,24,£8.10m  ,41,32,16,-,-,-,3556,184
Khalid Boulahrouz,https://www.transfermarkt.co.uk/khalid-boulahrouz/profil/spieler/4489,23,£5.85m  ,27,1,1,11,1,-,2394,183
Kew Jaliens,https://www.transfermarkt.co.uk/kew-jaliens/profil/spieler/4560,26,£900k  ,31,2,-,2,-,1,1907,183
Phillip Cocu,https://www.transfermarkt.co.uk/phillip-cocu/profil/spieler/5198,34,£3.15m  ,43,10,7,4,1,-,3665,185
Wesley Sneijder,https://www.transfermarkt.co.uk/wesley-sneijder/profil/spieler/4673,21,£9.00m  ,41,9,11,8,-,-,2931,170
Arjen Robben,https://www.transfermarkt.co.uk/arjen-robben/profil/spieler/4360,21,£21.60m  ,29,9,10,4,-,-,1823,180
Ruud van Nistelrooy,https://www.transfermarkt.co.uk/ruud-van-nistelrooy/profil/spieler/3407,29,£37.35m  ,27,16,6,1,-,-,2199,189
Andriy Rusol,https://www.transfermarkt.co.uk/andriy-rusol/profil/spieler/24050,22,- ,14,2,-,4,-,-,1260,188
Oleg Shelayev,https://www.transfermarkt.co.uk/oleg-shelayev/profil/spieler/24054,28,- ,11,1,-,5,-,-,840,181
Ruslan Rotan,https://www.transfermarkt.co.uk/ruslan-rotan/profil/spieler/24049,23,- ,9,1,-,-,-,-,657,176
Andriy Shevchenko,https://www.transfermarkt.co.uk/andriy-shevchenko/profil/spieler/3522,28,£31.50m  ,40,26,2,3,-,-,3246,183
Oleg Gusev,https://www.transfermarkt.co.uk/oleg-gusev/profil/spieler/9794,22,£450k  ,15,3,1,4,-,-,1110,179
Andriy Vorobey,https://www.transfermarkt.co.uk/andriy-vorobey/profil/spieler/14945,26,£2.25m  ,25,2,-,-,-,-,1512,178
Johan Djourou,https://www.transfermarkt.co.uk/johan-djourou/profil/spieler/34561,18, ,3,-,-,-,-,-,181,192
Philipp Degen,https://www.transfermarkt.co.uk/philipp-degen/profil/spieler/2895,22,£1.80m  ,44,-,5,12,-,-,3801,185
Raphael Wicky,https://www.transfermarkt.co.uk/raphael-wicky/profil/spieler/58,28,£2.70m  ,30,2,1,7,-,-,2521,182
Ricardo Cabanas,https://www.transfermarkt.co.uk/ricardo-cabanas/profil/spieler/2870,26,£1.49m  ,31,9,10,9,1,-,2741,N/A
Hakan Yakin,https://www.transfermarkt.co.uk/hakan-yakin/profil/spieler/1054,28,£2.70m  ,5,-,-,-,-,-,82,180
Patrick Müller,https://www.transfermarkt.co.uk/patrick-muller/profil/spieler/5347,28,£3.60m  ,23,-,2,-,-,-,1906,182
Philippe Senderos,https://www.transfermarkt.co.uk/philippe-senderos/profil/spieler/4277,20,£1.35m  ,23,-,-,2,-,-,2048,190
Ludovic Magnin,https://www.transfermarkt.co.uk/ludovic-magnin/profil/spieler/1427,26,£1.58m  ,37,3,5,5,-,1,2473,185
Johann Vogel,https://www.transfermarkt.co.uk/johann-vogel/profil/spieler/4352,28,£4.50m  ,41,2,-,5,-,-,3113,177
Christoph Spycher,https://www.transfermarkt.co.uk/christoph-spycher/profil/spieler/2871,27,£2.16m  ,26,1,4,6,-,-,2219,175
Tranquillo Barnetta,https://www.transfermarkt.co.uk/tranquillo-barnetta/profil/spieler/6645,20,£900k  ,9,2,1,-,-,-,515,178
Carlos Marchena,https://www.transfermarkt.co.uk/carlos-marchena/profil/spieler/7572,25,£11.70m  ,38,2,-,16,1,1,3317,182
Sergio Ramos,https://www.transfermarkt.co.uk/sergio-ramos/profil/spieler/25557,19,£6.53m  ,37,3,-,9,-,-,3167,184
David Albelda,https://www.transfermarkt.co.uk/david-albelda/profil/spieler/7575,27,£13.50m  ,37,-,-,14,-,-,3164,182
Juanito,https://www.transfermarkt.co.uk/juanito/profil/spieler/7795,25,£270k  ,35,1,-,12,-,-,3002,187
José Antonio Reyes,https://www.transfermarkt.co.uk/jose-antonio-reyes/profil/spieler/7717,21,£22.05m  ,45,12,12,5,1,-,3184,176
Fernando Torres,https://www.transfermarkt.co.uk/fernando-torres/profil/spieler/7767,21,£22.50m  ,45,20,-,4,-,-,3891,186
Carles Puyol,https://www.transfermarkt.co.uk/carles-puyol/profil/spieler/7594,27,£20.25m  ,45,-,-,7,-,-,3974,178
Juanito,https://www.transfermarkt.co.uk/juanito/profil/spieler/7647,28,£5.40m  ,34,4,-,8,1,-,3059,183
Antonio López,https://www.transfermarkt.co.uk/antonio-lopez/profil/spieler/7723,23,£8.10m  ,36,3,-,7,-,1,2977,176
Míchel Salgado,https://www.transfermarkt.co.uk/michel-salgado/profil/spieler/7515,29,£8.55m  ,40,1,2,12,-,1,3481,174
Xabi Alonso,https://www.transfermarkt.co.uk/xabi-alonso/profil/spieler/7476,23,£13.50m  ,32,3,1,2,-,-,2468,183
Marcos Senna,https://www.transfermarkt.co.uk/marcos-senna/profil/spieler/7840,28,£360k  ,39,2,-,5,-,-,3345,176
Xavi,https://www.transfermarkt.co.uk/xavi/profil/spieler/7607,25,£18.90m  ,45,3,13,6,-,-,3985,170
Andrés Iniesta,https://www.transfermarkt.co.uk/andres-iniesta/profil/spieler/7600,21,£10.80m  ,46,2,5,2,-,-,2097,171
