name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Jean-Paul Abalo,https://www.transfermarkt.co.uk/jean-paul-abalo/profil/spieler/40008,30, ,32,-,-,3,-,-,2609,177
Ludovic Assemoassa,https://www.transfermarkt.co.uk/ludovic-assemoassa/profil/spieler/23887,24,- ,36,-,-,5,-,-,3218,184
Yao Aziawonou,https://www.transfermarkt.co.uk/yao-aziawonou/profil/spieler/4870,25,£810k  ,20,1,1,3,-,-,1346,184
Alaixys Romao,https://www.transfermarkt.co.uk/alaixys-romao/profil/spieler/40014,21, ,-,-,-,-,-,-,-,-
Moustapha Salifou,https://www.transfermarkt.co.uk/moustapha-salifou/profil/spieler/1778,22,£270k  ,16,-,1,-,1,-,914,180
Emmanuel Adebayor,https://www.transfermarkt.co.uk/emmanuel-adebayor/profil/spieler/8883,21,£8.10m  ,50,14,3,3,-,1,3501,192
Massamasso Tchangai,https://www.transfermarkt.co.uk/massamasso-tchangai/profil/spieler/40016,26, ,24,1,-,4,1,-,1929,183
Kuami Agboh,https://www.transfermarkt.co.uk/kuami-agboh/profil/spieler/5426,27,£45k  ,-,-,-,-,-,-,-,-
Thomas Dossevi,https://www.transfermarkt.co.uk/thomas-dossevi/profil/spieler/29289,26, ,37,8,-,6,-,-,2327,183
Carlos Gamarra,https://www.transfermarkt.co.uk/carlos-gamarra/profil/spieler/5779,34,£1.80m  ,6,-,-,-,-,-,209,183
Carlos Paredes,https://www.transfermarkt.co.uk/carlos-paredes/profil/spieler/6068,28,£810k  ,31,5,-,3,-,-,2305,179
Édgar Barreto,https://www.transfermarkt.co.uk/edgar-barreto/profil/spieler/16120,20,£2.03m  ,25,5,2,4,-,-,2140,180
Delio Toledo,https://www.transfermarkt.co.uk/delio-toledo/profil/spieler/7969,28,£270k  ,30,-,-,10,-,-,2486,179
Carlos Bonet,https://www.transfermarkt.co.uk/carlos-bonet/profil/spieler/38783,27, ,-,-,-,-,-,-,-,-
