name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Celso Ayala,https://www.transfermarkt.co.uk/celso-ayala/profil/spieler/22938,30, ,-,-,-,-,-,-,-,-
Francisco Arce,https://www.transfermarkt.co.uk/francisco-arce/profil/spieler/130283,30, ,-,-,-,-,-,-,-,-
Carlos Paredes,https://www.transfermarkt.co.uk/carlos-paredes/profil/spieler/6068,24, ,10,-,-,-,-,-,900,179
Guido Alvarenga,https://www.transfermarkt.co.uk/guido-alvarenga/profil/spieler/130282,30, ,-,-,-,-,-,-,-,-
José Cardozo,https://www.transfermarkt.co.uk/jose-cardozo/profil/spieler/38788,30, ,-,-,-,-,-,-,-,-
Julio Cáceres,https://www.transfermarkt.co.uk/julio-caceres/profil/spieler/18733,21, ,-,-,-,-,-,-,-,-
Carlos Bonet,https://www.transfermarkt.co.uk/carlos-bonet/profil/spieler/38783,23, ,-,-,-,-,-,-,-,-
Estanislao Struway,https://www.transfermarkt.co.uk/estanislao-struway/profil/spieler/84472,33, ,-,-,-,-,-,-,-,-
Roberto Acuña,https://www.transfermarkt.co.uk/roberto-acuna/profil/spieler/7495,29, ,31,6,1,6,-,-,2770,175
Sol Campbell,https://www.transfermarkt.co.uk/sol-campbell/profil/spieler/3198,26, ,24,2,-,2,-,-,2108,188
Ashley Cole,https://www.transfermarkt.co.uk/ashley-cole/profil/spieler/3182,20, ,32,3,2,6,-,-,2509,176
Danny Mills,https://www.transfermarkt.co.uk/danny-mills/profil/spieler/3743,24, ,39,-,-,11,-,-,3265,180
Paul Scholes,https://www.transfermarkt.co.uk/paul-scholes/profil/spieler/3397,26, ,45,12,2,8,-,-,3584,168
Michael Owen,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397,21, ,45,24,2,-,-,-,2940,173
Rio Ferdinand,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235,22, ,43,3,-,1,-,-,3769,189
Nicky Butt,https://www.transfermarkt.co.uk/nicky-butt/profil/spieler/3543,26, ,41,4,1,11,-,-,2933,178
David Beckham,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139,26, ,46,9,4,7,-,-,3899,183
Trevor Sinclair,https://www.transfermarkt.co.uk/trevor-sinclair/profil/spieler/3253,28, ,19,3,-,-,-,-,1686,178
Emile Heskey,https://www.transfermarkt.co.uk/emile-heskey/profil/spieler/3142,23, ,55,20,2,4,1,-,4023,188
Joseph Yobo,https://www.transfermarkt.co.uk/joseph-yobo/profil/spieler/3270,20, ,33,2,-,2,-,-,2613,188
