name,link,age,value
Vaios Karagiannis,https://www.transfermarkt.co.uk/vaios-karagiannis/profil/spieler/102295,25, 
Savvas Kofidis,https://www.transfermarkt.co.uk/savvas-kofidis/profil/spieler/102306,32, 
Panagiotis Tsalouchidis,https://www.transfermarkt.co.uk/panagiotis-tsalouchidis/profil/spieler/102302,30, 
Dimitrios Saravakos,https://www.transfermarkt.co.uk/dimitrios-saravakos/profil/spieler/102301,31, 
Kyriakos Karataidis,https://www.transfermarkt.co.uk/kyriakos-karataidis/profil/spieler/102296,27, 
Nikolaos Nioplias,https://www.transfermarkt.co.uk/nikolaos-nioplias/profil/spieler/16378,28, 
Minas Hantzidis,https://www.transfermarkt.co.uk/minas-hantzidis/profil/spieler/6603,26, 
Nikolaos Tsiantakis,https://www.transfermarkt.co.uk/nikolaos-tsiantakis/profil/spieler/102303,29, 
Nikolaos Machlas,https://www.transfermarkt.co.uk/nikolaos-machlas/profil/spieler/3853,20, 
Stephen Keshi,https://www.transfermarkt.co.uk/stephen-keshi/profil/spieler/102311,31, 
Chidi Nwanu,https://www.transfermarkt.co.uk/chidi-nwanu/profil/spieler/102312,26, 
Michael Emenalo,https://www.transfermarkt.co.uk/michael-emenalo/profil/spieler/102316,27, 
Samson Siasia,https://www.transfermarkt.co.uk/samson-siasia/profil/spieler/102319,25, 
Emmanuel Amunike,https://www.transfermarkt.co.uk/emmanuel-amunike/profil/spieler/8062,22, 
Daniel Amokachi,https://www.transfermarkt.co.uk/daniel-amokachi/profil/spieler/92287,20, 
Franco Baresi,https://www.transfermarkt.co.uk/franco-baresi/profil/spieler/42049,33, 
Luigi Apolloni,https://www.transfermarkt.co.uk/luigi-apolloni/profil/spieler/102472,26, 
Paolo Maldini,https://www.transfermarkt.co.uk/paolo-maldini/profil/spieler/5803,25, 
Antonio Benarrivo,https://www.transfermarkt.co.uk/antonio-benarrivo/profil/spieler/5857,24, 
Roberto Mussi,https://www.transfermarkt.co.uk/roberto-mussi/profil/spieler/102482,29, 
Demetrio Albertini,https://www.transfermarkt.co.uk/demetrio-albertini/profil/spieler/3390,21, 
Roberto Donadoni,https://www.transfermarkt.co.uk/roberto-donadoni/profil/spieler/102474,29, 
Roberto Baggio,https://www.transfermarkt.co.uk/roberto-baggio/profil/spieler/4153,26, 
Daniele Massaro,https://www.transfermarkt.co.uk/daniele-massaro/profil/spieler/102480,32, 
Luca Marchegiani,https://www.transfermarkt.co.uk/luca-marchegiani/profil/spieler/5827,27, 
Alessandro Costacurta,https://www.transfermarkt.co.uk/alessandro-costacurta/profil/spieler/10055,27, 
Dino Baggio,https://www.transfermarkt.co.uk/dino-baggio/profil/spieler/5843,21, 
Nicola Berti,https://www.transfermarkt.co.uk/nicola-berti/profil/spieler/102473,26, 
Alberigo Evani,https://www.transfermarkt.co.uk/alberigo-evani/profil/spieler/102475,30, 
Pierluigi Casiraghi,https://www.transfermarkt.co.uk/pierluigi-casiraghi/profil/spieler/102485,24, 
Giuseppe Signori,https://www.transfermarkt.co.uk/giuseppe-signori/profil/spieler/3526,25, 
José Basualdo,https://www.transfermarkt.co.uk/jose-basualdo/profil/spieler/84624,30, 
Diego Maradona,https://www.transfermarkt.co.uk/diego-maradona/profil/spieler/8024,32, 
Claudio Caniggia,https://www.transfermarkt.co.uk/claudio-caniggia/profil/spieler/10367,26, 
Abel Balbo,https://www.transfermarkt.co.uk/abel-balbo/profil/spieler/102187,27, 
Oscar Ruggeri,https://www.transfermarkt.co.uk/oscar-ruggeri/profil/spieler/102214,31, 
Fernando Redondo,https://www.transfermarkt.co.uk/fernando-redondo/profil/spieler/5811,24, 
Ariel Ortega,https://www.transfermarkt.co.uk/ariel-ortega/profil/spieler/4147,19, 
Gabriel Batistuta,https://www.transfermarkt.co.uk/gabriel-batistuta/profil/spieler/5959,24, 
Hans Agbo,https://www.transfermarkt.co.uk/hans-agbo/profil/spieler/102597,25, 
Thomas Libiih,https://www.transfermarkt.co.uk/thomas-libiih/profil/spieler/102605,25, 
Gunnar Halle,https://www.transfermarkt.co.uk/gunnar-halle/profil/spieler/102506,27, 
Henning Berg,https://www.transfermarkt.co.uk/henning-berg/profil/spieler/3823,23, 
Jostein Flo,https://www.transfermarkt.co.uk/jostein-flo/profil/spieler/102505,28, 
Rune Bratseth,https://www.transfermarkt.co.uk/rune-bratseth/profil/spieler/13804,32, 
Erland Johnsen,https://www.transfermarkt.co.uk/erland-johnsen/profil/spieler/95371,26, 
Alf-Inge Haland,https://www.transfermarkt.co.uk/alf-inge-haland/profil/spieler/107179,20, 
Erik Mykland,https://www.transfermarkt.co.uk/erik-mykland/profil/spieler/544,21, 
Sigurd Rushfeldt,https://www.transfermarkt.co.uk/sigurd-rushfeldt/profil/spieler/2959,20, 
Alexi Lalas,https://www.transfermarkt.co.uk/alexi-lalas/profil/spieler/91919,23, 
Paul Caligiuri,https://www.transfermarkt.co.uk/paul-caligiuri/profil/spieler/5202,29, 
John Harkes,https://www.transfermarkt.co.uk/john-harkes/profil/spieler/102005,26, 
Eric Wynalda,https://www.transfermarkt.co.uk/eric-wynalda/profil/spieler/17877,24, 
Juergen Sommer,https://www.transfermarkt.co.uk/juergen-sommer/profil/spieler/102009,24, 
Marcelo Balboa,https://www.transfermarkt.co.uk/marcelo-balboa/profil/spieler/102004,25, 
Thomas Dooley,https://www.transfermarkt.co.uk/thomas-dooley/profil/spieler/84552,32, 
Fernando Clavijo,https://www.transfermarkt.co.uk/fernando-clavijo/profil/spieler/102015,36, 
Mike Sorber,https://www.transfermarkt.co.uk/mike-sorber/profil/spieler/102008,22, 
Tab Ramos,https://www.transfermarkt.co.uk/tab-ramos/profil/spieler/102007,26, 
Raúl Gutiérrez,https://www.transfermarkt.co.uk/raul-gutierrez/profil/spieler/102525,26, 
Hugo Sánchez,https://www.transfermarkt.co.uk/hugo-sanchez/profil/spieler/84528,34, 
Luis Valdez,https://www.transfermarkt.co.uk/luis-valdez/profil/spieler/102529,28, 
Claudio Suárez,https://www.transfermarkt.co.uk/claudio-suarez/profil/spieler/39494,24, 
Marcelino Bernal,https://www.transfermarkt.co.uk/marcelino-bernal/profil/spieler/102512,29, 
Alberto García Aspe,https://www.transfermarkt.co.uk/alberto-garcia-aspe/profil/spieler/102515,26, 
Luis García,https://www.transfermarkt.co.uk/luis-garcia/profil/spieler/80024,24, 
Fahad Al Bishi,https://www.transfermarkt.co.uk/fahad-al-bishi/profil/spieler/101760,27, 
Talal Jebreen,https://www.transfermarkt.co.uk/talal-jebreen/profil/spieler/101775,19, 
Andrés Escobar,https://www.transfermarkt.co.uk/andres-escobar/profil/spieler/102153,26, 
Luis Herrera,https://www.transfermarkt.co.uk/luis-herrera/profil/spieler/102155,31, 
Hernán Gaviria,https://www.transfermarkt.co.uk/hernan-gaviria/profil/spieler/102169,23, 
Freddy Rincón,https://www.transfermarkt.co.uk/freddy-rincon/profil/spieler/102163,26, 
Faustino Asprilla,https://www.transfermarkt.co.uk/faustino-asprilla/profil/spieler/102150,23, 
Alexis Mendoza,https://www.transfermarkt.co.uk/alexis-mendoza/profil/spieler/102158,31, 
Wilson Pérez,https://www.transfermarkt.co.uk/wilson-perez/profil/spieler/102162,25, 
Carlos Valderrama,https://www.transfermarkt.co.uk/carlos-valderrama/profil/spieler/88998,31, 
Wim Jonk,https://www.transfermarkt.co.uk/wim-jonk/profil/spieler/101046,26, 
Marc Overmars,https://www.transfermarkt.co.uk/marc-overmars/profil/spieler/3513,20, 
Dennis Bergkamp,https://www.transfermarkt.co.uk/dennis-bergkamp/profil/spieler/3187,24, 
Stan Valckx,https://www.transfermarkt.co.uk/stan-valckx/profil/spieler/101756,29, 
Jan Wouters,https://www.transfermarkt.co.uk/jan-wouters/profil/spieler/39671,32, 
Aron Winter,https://www.transfermarkt.co.uk/aron-winter/profil/spieler/4324,26, 
Bryan Roy,https://www.transfermarkt.co.uk/bryan-roy/profil/spieler/351,23, 
Bodo Illgner,https://www.transfermarkt.co.uk/bodo-illgner/profil/spieler/24474,26, 
Thomas Helmer,https://www.transfermarkt.co.uk/thomas-helmer/profil/spieler/12405,28, 
Thomas Berthold,https://www.transfermarkt.co.uk/thomas-berthold/profil/spieler/57,28, 
Thomas Strunz,https://www.transfermarkt.co.uk/thomas-strunz/profil/spieler/221,25, 
Matthias Sammer,https://www.transfermarkt.co.uk/matthias-sammer/profil/spieler/77010,25, 
Stefan Effenberg,https://www.transfermarkt.co.uk/stefan-effenberg/profil/spieler/197,24, 
Jürgen Klinsmann,https://www.transfermarkt.co.uk/jurgen-klinsmann/profil/spieler/16980,28, 
Guido Buchwald,https://www.transfermarkt.co.uk/guido-buchwald/profil/spieler/79561,32, 
Andreas Brehme,https://www.transfermarkt.co.uk/andreas-brehme/profil/spieler/16056,32, 
Lothar Matthäus,https://www.transfermarkt.co.uk/lothar-matthaus/profil/spieler/1527,32, 
Martin Wagner,https://www.transfermarkt.co.uk/martin-wagner/profil/spieler/678,25, 
Andreas Möller,https://www.transfermarkt.co.uk/andreas-moller/profil/spieler/124,25, 
Rudi Völler,https://www.transfermarkt.co.uk/rudi-voller/profil/spieler/13775,33, 
Trifon Ivanov,https://www.transfermarkt.co.uk/trifon-ivanov/profil/spieler/91918,27, 
Nasko Sirakov,https://www.transfermarkt.co.uk/nasko-sirakov/profil/spieler/102338,31, 
Emil Kostadinov,https://www.transfermarkt.co.uk/emil-kostadinov/profil/spieler/17167,25, 
Emil Kremenliev,https://www.transfermarkt.co.uk/emil-kremenliev/profil/spieler/1340,23, 
Paul McGrath,https://www.transfermarkt.co.uk/paul-mcgrath/profil/spieler/102492,33, 
Steve Staunton,https://www.transfermarkt.co.uk/steve-staunton/profil/spieler/3839,24, 
Gary Kelly,https://www.transfermarkt.co.uk/gary-kelly/profil/spieler/3631,18, 
Ray Houghton,https://www.transfermarkt.co.uk/ray-houghton/profil/spieler/102488,31, 
John Aldridge,https://www.transfermarkt.co.uk/john-aldridge/profil/spieler/102486,33, 
Phil Babb,https://www.transfermarkt.co.uk/phil-babb/profil/spieler/3283,22, 
Terry Phelan,https://www.transfermarkt.co.uk/terry-phelan/profil/spieler/102495,26, 
Roy Keane,https://www.transfermarkt.co.uk/roy-keane/profil/spieler/3396,21, 
Andy Townsend,https://www.transfermarkt.co.uk/andy-townsend/profil/spieler/102498,29, 
John Sheridan,https://www.transfermarkt.co.uk/john-sheridan/profil/spieler/102496,28, 
Tommy Coyne,https://www.transfermarkt.co.uk/tommy-coyne/profil/spieler/102487,30, 
Daniel Prodan,https://www.transfermarkt.co.uk/daniel-prodan/profil/spieler/102025,21, 
Gheorghe Mihali,https://www.transfermarkt.co.uk/gheorghe-mihali/profil/spieler/102021,27, 
Tibor Selymes,https://www.transfermarkt.co.uk/tibor-selymes/profil/spieler/15548,23, 
Ioan Lupescu,https://www.transfermarkt.co.uk/ioan-lupescu/profil/spieler/1537,24, 
Ilie Dumitrescu,https://www.transfermarkt.co.uk/ilie-dumitrescu/profil/spieler/102020,24, 
Gheorghe Popescu,https://www.transfermarkt.co.uk/gheorghe-popescu/profil/spieler/3129,25, 
Dan Petrescu,https://www.transfermarkt.co.uk/dan-petrescu/profil/spieler/102023,25, 
Dorinel Munteanu,https://www.transfermarkt.co.uk/dorinel-munteanu/profil/spieler/666,25, 
Gheorghe Hagi,https://www.transfermarkt.co.uk/gheorghe-hagi/profil/spieler/7939,28, 
Matthias Sammer,https://www.transfermarkt.co.uk/matthias-sammer/profil/spieler/77010,"Sep 5, 1967 (25)", 
Nacer Abdellah,https://www.transfermarkt.co.uk/nacer-abdellah/profil/spieler/101881,27, 
Rachid Neqrouz,https://www.transfermarkt.co.uk/rachid-neqrouz/profil/spieler/22120,21, 
