name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
José Holebas,https://www.transfermarkt.co.uk/jose-holebas/profil/spieler/41112,29,£2.25m  ,39,4,10,8,-,-,3431,184
Panagiotis Kone,https://www.transfermarkt.co.uk/panagiotis-kone/profil/spieler/19636,25,£3.15m  ,35,7,1,13,-,-,2472,182
Georgios Karagounis,https://www.transfermarkt.co.uk/georgios-karagounis/profil/spieler/6106,36,£900k  ,29,2,1,3,-,-,1868,176
Lazaros Christodoulopoulos,https://www.transfermarkt.co.uk/lazaros-christodoulopoulos/profil/spieler/34283,26,£1.80m  ,33,7,3,4,-,-,2215,183
Giannis Maniatis,https://www.transfermarkt.co.uk/giannis-maniatis/profil/spieler/25721,26,£3.60m  ,40,4,3,3,-,-,3382,176
Andreas Samaris,https://www.transfermarkt.co.uk/andreas-samaris/profil/spieler/140032,24,£720k  ,22,5,2,8,-,-,1617,189
Eugenio Mena,https://www.transfermarkt.co.uk/eugenio-mena/profil/spieler/113999,24,£630k  ,34,-,2,5,-,-,2794,175
Mauricio Isla,https://www.transfermarkt.co.uk/mauricio-isla/profil/spieler/43722,25,£9.90m  ,21,-,3,2,-,-,1302,176
Gary Medel,https://www.transfermarkt.co.uk/gary-medel/profil/spieler/60889,25,£9.00m  ,39,7,3,9,2,2,3226,171
Francisco Silva,https://www.transfermarkt.co.uk/francisco-silva/profil/spieler/84870,27,£1.08m  ,16,1,1,3,-,-,1302,178
Arturo Vidal,https://www.transfermarkt.co.uk/arturo-vidal/profil/spieler/37666,26,£31.50m  ,45,15,12,16,-,-,3752,180
Charles Aránguiz,https://www.transfermarkt.co.uk/charles-aranguiz/profil/spieler/89701,24,£1.98m  ,22,10,8,11,-,-,1844,171
Jorge Valdivia,https://www.transfermarkt.co.uk/jorge-valdivia/profil/spieler/20758,29,£1.35m  ,19,3,9,8,-,-,1335,173
Gonzalo Jara,https://www.transfermarkt.co.uk/gonzalo-jara/profil/spieler/40429,27,£1.58m  ,19,-,2,2,-,-,1489,178
Marcelo Díaz,https://www.transfermarkt.co.uk/marcelo-diaz/profil/spieler/83895,26,£2.03m  ,48,7,5,5,1,-,3325,166
Felipe Gutiérrez,https://www.transfermarkt.co.uk/felipe-gutierrez/profil/spieler/133089,22,£2.93m  ,43,6,2,2,-,-,2635,170
Eduardo Vargas,https://www.transfermarkt.co.uk/eduardo-vargas/profil/spieler/89718,23,£6.30m  ,43,10,2,8,1,1,2531,174
Gary Cahill,https://www.transfermarkt.co.uk/gary-cahill/profil/spieler/27511,27,£17.10m  ,45,6,2,3,-,1,3958,193
