name,link,age,value
Faruk Hadzibegic,https://www.transfermarkt.co.uk/faruk-hadzibegic/profil/spieler/102688,31, 
Davor Jozic,https://www.transfermarkt.co.uk/davor-jozic/profil/spieler/102690,28, 
Dragan Stojkovic,https://www.transfermarkt.co.uk/dragan-stojkovic/profil/spieler/102704,24, 
Darko Pancev,https://www.transfermarkt.co.uk/darko-pancev/profil/spieler/100098,23, 
Dragoljub Brnovic,https://www.transfermarkt.co.uk/dragoljub-brnovic/profil/spieler/102686,25, 
Refik Sabanadzovic,https://www.transfermarkt.co.uk/refik-sabanadzovic/profil/spieler/102701,23, 
Safet Susic,https://www.transfermarkt.co.uk/safet-susic/profil/spieler/102705,34, 
Zlatko Vujovic,https://www.transfermarkt.co.uk/zlatko-vujovic/profil/spieler/102706,30, 
Des Walker,https://www.transfermarkt.co.uk/des-walker/profil/spieler/10000,23, 
Mark Wright,https://www.transfermarkt.co.uk/mark-wright/profil/spieler/101386,25, 
Tony Dorigo,https://www.transfermarkt.co.uk/tony-dorigo/profil/spieler/101324,23, 
Steve McMahon,https://www.transfermarkt.co.uk/steve-mcmahon/profil/spieler/101387,27, 
Trevor Steven,https://www.transfermarkt.co.uk/trevor-steven/profil/spieler/101328,25, 
Chris Waddle,https://www.transfermarkt.co.uk/chris-waddle/profil/spieler/101385,28, 
Gary Lineker,https://www.transfermarkt.co.uk/gary-lineker/profil/spieler/22256,28, 
Terry Butcher,https://www.transfermarkt.co.uk/terry-butcher/profil/spieler/101380,30, 
Stuart Pearce,https://www.transfermarkt.co.uk/stuart-pearce/profil/spieler/101317,27, 
Gary Stevens,https://www.transfermarkt.co.uk/gary-stevens/profil/spieler/101384,26, 
Paul Parker,https://www.transfermarkt.co.uk/paul-parker/profil/spieler/101381,25, 
Bryan Robson,https://www.transfermarkt.co.uk/bryan-robson/profil/spieler/101382,32, 
John Barnes,https://www.transfermarkt.co.uk/john-barnes/profil/spieler/87436,25, 
Paul Gascoigne,https://www.transfermarkt.co.uk/paul-gascoigne/profil/spieler/3830,22, 
Peter Beardsley,https://www.transfermarkt.co.uk/peter-beardsley/profil/spieler/102030,28, 
Steve Bull,https://www.transfermarkt.co.uk/steve-bull/profil/spieler/101389,24, 
Héctor Marchena,https://www.transfermarkt.co.uk/hector-marchena/profil/spieler/258725,24, 
Juan Cayasso,https://www.transfermarkt.co.uk/juan-cayasso/profil/spieler/109199,28, 
Hermidio Barrantes,https://www.transfermarkt.co.uk/hermidio-barrantes/profil/spieler/258727,24, 
Mauricio Montero,https://www.transfermarkt.co.uk/mauricio-montero/profil/spieler/258726,25, 
José Chaves,https://www.transfermarkt.co.uk/jose-chaves/profil/spieler/258145,30, 
Claudio Jara,https://www.transfermarkt.co.uk/claudio-jara/profil/spieler/258156,30, 
Miroslav Kadlec,https://www.transfermarkt.co.uk/miroslav-kadlec/profil/spieler/8193,25, 
Ivan Hasek,https://www.transfermarkt.co.uk/ivan-hasek/profil/spieler/107088,25, 
Frantisek Straka,https://www.transfermarkt.co.uk/frantisek-straka/profil/spieler/4734,31, 
Lubomir Moravcik,https://www.transfermarkt.co.uk/lubomir-moravcik/profil/spieler/6846,24, 
Ivo Knoflicek,https://www.transfermarkt.co.uk/ivo-knoflicek/profil/spieler/85426,27, 
Oleg Kuznetsov,https://www.transfermarkt.co.uk/oleg-kuznetsov/profil/spieler/101021,26, 
Oleg Protasov,https://www.transfermarkt.co.uk/oleg-protasov/profil/spieler/106921,25, 
Vagiz Khidiyatullin,https://www.transfermarkt.co.uk/vagiz-khidiyatullin/profil/spieler/118261,30, 
Hesham Yakan,https://www.transfermarkt.co.uk/hesham-yakan/profil/spieler/101267,26, 
Ahmed Ramzy,https://www.transfermarkt.co.uk/ahmed-ramzy/profil/spieler/101261,23, 
Magdy Tolba,https://www.transfermarkt.co.uk/magdy-tolba/profil/spieler/101266,25, 
Hany Ramzy,https://www.transfermarkt.co.uk/hany-ramzy/profil/spieler/17,20, 
Ibrahim Hassan,https://www.transfermarkt.co.uk/ibrahim-hassan/profil/spieler/39597,22, 
Ismail Youssef,https://www.transfermarkt.co.uk/ismail-youssef/profil/spieler/101269,25, 
Hossam Hassan,https://www.transfermarkt.co.uk/hossam-hassan/profil/spieler/38171,22, 
Walter Zenga,https://www.transfermarkt.co.uk/walter-zenga/profil/spieler/116754,29, 
Ciro Ferrara,https://www.transfermarkt.co.uk/ciro-ferrara/profil/spieler/5749,22, 
Paolo Maldini,https://www.transfermarkt.co.uk/paolo-maldini/profil/spieler/5803,21, 
Luigi De Agostini,https://www.transfermarkt.co.uk/luigi-de-agostini/profil/spieler/118258,28, 
Carlo Ancelotti,https://www.transfermarkt.co.uk/carlo-ancelotti/profil/spieler/116679,30, 
Fernando De Napoli,https://www.transfermarkt.co.uk/fernando-de-napoli/profil/spieler/116755,25, 
Roberto Donadoni,https://www.transfermarkt.co.uk/roberto-donadoni/profil/spieler/102474,25, 
Roberto Baggio,https://www.transfermarkt.co.uk/roberto-baggio/profil/spieler/4153,22, 
Andrea Carnevale,https://www.transfermarkt.co.uk/andrea-carnevale/profil/spieler/120380,28, 
Franco Baresi,https://www.transfermarkt.co.uk/franco-baresi/profil/spieler/42049,29, 
Riccardo Ferri,https://www.transfermarkt.co.uk/riccardo-ferri/profil/spieler/118251,25, 
Giuseppe Bergomi,https://www.transfermarkt.co.uk/giuseppe-bergomi/profil/spieler/107860,25, 
Giuseppe Giannini,https://www.transfermarkt.co.uk/giuseppe-giannini/profil/spieler/118254,24, 
Salvatore Schillaci,https://www.transfermarkt.co.uk/salvatore-schillaci/profil/spieler/90513,24, 
Gianluca Vialli,https://www.transfermarkt.co.uk/gianluca-vialli/profil/spieler/16036,24, 
