name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Vaios Karagiannis,https://www.transfermarkt.co.uk/vaios-karagiannis/profil/spieler/102295,25, ,31,-,-,9,2,-,2708,N/A
Savvas Kofidis,https://www.transfermarkt.co.uk/savvas-kofidis/profil/spieler/102306,32, ,19,-,-,4,-,-,1495,177
Panagiotis Tsalouchidis,https://www.transfermarkt.co.uk/panagiotis-tsalouchidis/profil/spieler/102302,30, ,35,11,-,2,-,-,3150,188
Dimitrios Saravakos,https://www.transfermarkt.co.uk/dimitrios-saravakos/profil/spieler/102301,31, ,14,2,-,-,-,-,759,172
Kyriakos Karataidis,https://www.transfermarkt.co.uk/kyriakos-karataidis/profil/spieler/102296,27, ,34,1,-,3,-,-,3015,180
Nikolaos Nioplias,https://www.transfermarkt.co.uk/nikolaos-nioplias/profil/spieler/16378,28, ,33,11,-,4,-,-,2908,172
Minas Hantzidis,https://www.transfermarkt.co.uk/minas-hantzidis/profil/spieler/6603,26, ,18,2,-,3,-,-,662,N/A
Nikolaos Tsiantakis,https://www.transfermarkt.co.uk/nikolaos-tsiantakis/profil/spieler/102303,29, ,32,4,-,3,-,-,2703,180
Nikolaos Machlas,https://www.transfermarkt.co.uk/nikolaos-machlas/profil/spieler/3853,20, ,27,8,-,3,-,1,2012,183
Stephen Keshi,https://www.transfermarkt.co.uk/stephen-keshi/profil/spieler/102311,31, ,4,-,-,2,-,-,360,185
Chidi Nwanu,https://www.transfermarkt.co.uk/chidi-nwanu/profil/spieler/102312,26, ,-,-,-,-,-,-,-,-
Michael Emenalo,https://www.transfermarkt.co.uk/michael-emenalo/profil/spieler/102316,27, ,-,-,-,-,-,-,-,-
Samson Siasia,https://www.transfermarkt.co.uk/samson-siasia/profil/spieler/102319,25, ,-,-,-,-,-,-,-,-
Emmanuel Amunike,https://www.transfermarkt.co.uk/emmanuel-amunike/profil/spieler/8062,22, ,-,-,-,-,-,-,-,-
Daniel Amokachi,https://www.transfermarkt.co.uk/daniel-amokachi/profil/spieler/92287,20, ,7,1,-,1,-,-,582,182
Franco Baresi,https://www.transfermarkt.co.uk/franco-baresi/profil/spieler/42049,33, ,45,-,-,10,-,1,3965,176
Luigi Apolloni,https://www.transfermarkt.co.uk/luigi-apolloni/profil/spieler/102472,26, ,40,-,-,8,-,-,3588,185
Paolo Maldini,https://www.transfermarkt.co.uk/paolo-maldini/profil/spieler/5803,25, ,50,3,-,1,-,-,4378,186
Antonio Benarrivo,https://www.transfermarkt.co.uk/antonio-benarrivo/profil/spieler/5857,24, ,28,-,-,2,-,-,2385,170
Roberto Mussi,https://www.transfermarkt.co.uk/roberto-mussi/profil/spieler/102482,29, ,40,2,-,4,1,1,3095,180
Demetrio Albertini,https://www.transfermarkt.co.uk/demetrio-albertini/profil/spieler/3390,21, ,43,3,3,7,-,1,3341,180
Roberto Donadoni,https://www.transfermarkt.co.uk/roberto-donadoni/profil/spieler/102474,29, ,27,1,1,-,-,-,1944,173
Roberto Baggio,https://www.transfermarkt.co.uk/roberto-baggio/profil/spieler/4153,26, ,43,30,7,2,-,-,3545,174
Daniele Massaro,https://www.transfermarkt.co.uk/daniele-massaro/profil/spieler/102480,32, ,46,10,4,1,-,-,2430,177
Luca Marchegiani,https://www.transfermarkt.co.uk/luca-marchegiani/profil/spieler/5827,27, ,,,,,,,,
Alessandro Costacurta,https://www.transfermarkt.co.uk/alessandro-costacurta/profil/spieler/10055,27, ,48,-,-,6,-,-,4232,182
Dino Baggio,https://www.transfermarkt.co.uk/dino-baggio/profil/spieler/5843,21, ,47,9,-,6,-,-,4038,185
Nicola Berti,https://www.transfermarkt.co.uk/nicola-berti/profil/spieler/102473,26, ,38,4,3,5,-,1,3339,186
Alberigo Evani,https://www.transfermarkt.co.uk/alberigo-evani/profil/spieler/102475,30, ,29,1,-,1,-,1,1894,174
