name,link,age,value,appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height
Faruk Hadzibegic,https://www.transfermarkt.co.uk/faruk-hadzibegic/profil/spieler/102688,31, ,-,-,-,-,-,-,-,-
Davor Jozic,https://www.transfermarkt.co.uk/davor-jozic/profil/spieler/102690,28, ,35,1,-,3,-,1,3053,181
Dragan Stojkovic,https://www.transfermarkt.co.uk/dragan-stojkovic/profil/spieler/102704,24, ,4,3,-,-,-,-,390,175
Darko Pancev,https://www.transfermarkt.co.uk/darko-pancev/profil/spieler/100098,23, ,-,-,-,-,-,-,-,-
Dragoljub Brnovic,https://www.transfermarkt.co.uk/dragoljub-brnovic/profil/spieler/102686,25, ,-,-,-,-,-,-,-,-
Refik Sabanadzovic,https://www.transfermarkt.co.uk/refik-sabanadzovic/profil/spieler/102701,23, ,4,1,-,-,-,-,353,180
Safet Susic,https://www.transfermarkt.co.uk/safet-susic/profil/spieler/102705,34, ,-,-,-,-,-,-,-,-
Zlatko Vujovic,https://www.transfermarkt.co.uk/zlatko-vujovic/profil/spieler/102706,30, ,-,-,-,-,-,-,-,-
Des Walker,https://www.transfermarkt.co.uk/des-walker/profil/spieler/10000,23, ,5,-,-,-,-,-,450,180
Mark Wright,https://www.transfermarkt.co.uk/mark-wright/profil/spieler/101386,25, ,2,-,-,-,-,-,180,191
Tony Dorigo,https://www.transfermarkt.co.uk/tony-dorigo/profil/spieler/101324,23, ,-,-,-,-,-,-,-,-
Steve McMahon,https://www.transfermarkt.co.uk/steve-mcmahon/profil/spieler/101387,27, ,32,3,3,-,-,-,2708,N/A
Trevor Steven,https://www.transfermarkt.co.uk/trevor-steven/profil/spieler/101328,25, ,15,4,1,-,-,-,1361,177
Chris Waddle,https://www.transfermarkt.co.uk/chris-waddle/profil/spieler/101385,28, ,3,-,-,-,-,-,259,188
Gary Lineker,https://www.transfermarkt.co.uk/gary-lineker/profil/spieler/22256,28, ,35,10,-,-,-,-,2725,180
Terry Butcher,https://www.transfermarkt.co.uk/terry-butcher/profil/spieler/101380,30, ,2,-,-,-,-,-,180,193
Stuart Pearce,https://www.transfermarkt.co.uk/stuart-pearce/profil/spieler/101317,27, ,5,-,-,-,-,-,450,178
Gary Stevens,https://www.transfermarkt.co.uk/gary-stevens/profil/spieler/101384,26, ,2,-,-,-,-,-,180,180
Paul Parker,https://www.transfermarkt.co.uk/paul-parker/profil/spieler/101381,25, ,3,-,-,-,-,-,270,170
Bryan Robson,https://www.transfermarkt.co.uk/bryan-robson/profil/spieler/101382,32, ,3,-,-,-,-,-,270,N/A
John Barnes,https://www.transfermarkt.co.uk/john-barnes/profil/spieler/87436,25, ,36,8,11,-,-,-,3239,180
Paul Gascoigne,https://www.transfermarkt.co.uk/paul-gascoigne/profil/spieler/3830,22, ,2,-,1,1,-,-,180,178
Peter Beardsley,https://www.transfermarkt.co.uk/peter-beardsley/profil/spieler/102030,28, ,40,10,8,-,-,-,3353,173
Steve Bull,https://www.transfermarkt.co.uk/steve-bull/profil/spieler/101389,24, ,-,-,-,-,-,-,-,-
