appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height,link
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/waldemar-matysik/profil/spieler/87903
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/janusz-kupcewicz/profil/spieler/132451
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/zbigniew-boniek/profil/spieler/117229
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/andrzej-szarmach/profil/spieler/132458
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/cesar-cueto/profil/spieler/133724
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/juan-oblitas/profil/spieler/101495
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jaime-duarte/profil/spieler/133635
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jorge-olaechea/profil/spieler/133758
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/geronimo-barbadillo/profil/spieler/133640
31,2,-,3,-,-,2766,N/A,https://www.transfermarkt.co.uk/erich-obermayer/profil/spieler/129708
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/reinhold-hintermaier/profil/spieler/81610
32,1,-,1,-,-,2686,178,https://www.transfermarkt.co.uk/josef-degeorgi/profil/spieler/120393
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/roland-hattenberger/profil/spieler/97123
31,2,1,9,-,-,2730,N/A,https://www.transfermarkt.co.uk/kurt-jara/profil/spieler/80185
34,20,-,2,-,-,2953,180,https://www.transfermarkt.co.uk/gernot-jurtin/profil/spieler/130293
31,13,-,2,-,1,2737,179,https://www.transfermarkt.co.uk/walter-schachner/profil/spieler/17364
35,12,-,2,-,-,3135,N/A,https://www.transfermarkt.co.uk/bruno-pezzey/profil/spieler/76003
32,1,-,3,-,-,2880,N/A,https://www.transfermarkt.co.uk/anton-pichler/profil/spieler/130296
40,4,-,1,-,-,3455,181,https://www.transfermarkt.co.uk/johann-pregesbauer/profil/spieler/130299
34,4,-,4,-,-,2934,180,https://www.transfermarkt.co.uk/ernst-baumeister/profil/spieler/79129
40,3,-,4,-,-,3600,N/A,https://www.transfermarkt.co.uk/bernd-krauss/profil/spieler/96281
40,6,-,-,-,-,3600,N/A,https://www.transfermarkt.co.uk/herbert-prohaska/profil/spieler/78249
26,19,-,-,-,-,2304,N/A,https://www.transfermarkt.co.uk/hans-krankl/profil/spieler/78388
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/david-narey/profil/spieler/116151
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/frank-gray/profil/spieler/135267
4,-,-,1,-,-,360,168,https://www.transfermarkt.co.uk/gordon-strachan/profil/spieler/116156
7,4,-,-,-,-,630,180,https://www.transfermarkt.co.uk/john-wark/profil/spieler/135271
6,2,-,-,-,-,527,183,https://www.transfermarkt.co.uk/alan-brazil/profil/spieler/135270
2,1,-,-,-,-,180,175,https://www.transfermarkt.co.uk/steve-archibald/profil/spieler/116144
33,1,-,-,-,-,2924,188,https://www.transfermarkt.co.uk/alan-hansen/profil/spieler/135268
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/danny-mcgrain/profil/spieler/135266
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/asa-hartford/profil/spieler/135280
31,12,-,-,-,-,2727,N/A,https://www.transfermarkt.co.uk/graeme-souness/profil/spieler/116155
32,8,7,-,-,-,2715,173,https://www.transfermarkt.co.uk/kenny-dalglish/profil/spieler/135269
10,1,-,-,-,-,895,185,https://www.transfermarkt.co.uk/miguel-tendillo/profil/spieler/141265
6,-,-,-,-,-,540,180,https://www.transfermarkt.co.uk/rafael-gordillo/profil/spieler/117603
15,-,-,1,-,-,1350,174,https://www.transfermarkt.co.uk/jose-antonio-camacho/profil/spieler/88978
12,-,-,1,-,-,1046,171,https://www.transfermarkt.co.uk/enrique-saura/profil/spieler/141276
34,19,-,3,-,-,3030,178,https://www.transfermarkt.co.uk/jesus-satrustegui/profil/spieler/141271
4,-,-,2,-,-,360,185,https://www.transfermarkt.co.uk/imre-garaba/profil/spieler/117409
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/tibor-nyilasi/profil/spieler/127029
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/tibor-rab/profil/spieler/135708
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/john-hill/profil/spieler/134155
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/adrian-elrick/profil/spieler/134154
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/duncan-cole/profil/spieler/134148
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/kenny-cresswell/profil/spieler/134153
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/steve-sumner/profil/spieler/134150
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/marc-baecke/profil/spieler/130989
4,1,-,-,-,-,344,N/A,https://www.transfermarkt.co.uk/gerard-plessers/profil/spieler/85573
4,-,-,1,-,-,336,180,https://www.transfermarkt.co.uk/michel-renquin/profil/spieler/118164
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/wilfried-van-moer/profil/spieler/130986
2,-,-,-,-,-,180,175,https://www.transfermarkt.co.uk/frank-vercauteren/profil/spieler/118168
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/luc-millecamps/profil/spieler/130983
2,-,-,-,-,-,180,180,https://www.transfermarkt.co.uk/maurice-de-schrijver/profil/spieler/130990
2,-,-,1,-,-,180,185,https://www.transfermarkt.co.uk/walter-meeuws/profil/spieler/130985
4,1,-,-,-,-,360,178,https://www.transfermarkt.co.uk/guy-vandersmissen/profil/spieler/130999
4,2,-,1,-,-,360,N/A,https://www.transfermarkt.co.uk/rene-verheyen/profil/spieler/130991
2,-,-,1,-,-,180,184,https://www.transfermarkt.co.uk/ludo-coeck/profil/spieler/130987
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/erwin-vandenbergh/profil/spieler/118167
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/zico/profil/spieler/117619
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/socrates/profil/spieler/117633
32,4,-,-,-,-,2884,183,https://www.transfermarkt.co.uk/falcao/profil/spieler/117621
