appearances,goals,assists,yellow_cards,yellow_red_cards,red_cards,minutes,height,link
6,-,-,-,-,-,540,179,https://www.transfermarkt.co.uk/zlatko-krmpotic/profil/spieler/132392
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ivan-gudelj/profil/spieler/132389
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/edhem-sljivo/profil/spieler/97444
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/nenad-stojkovic/profil/spieler/132391
5,2,-,-,-,-,431,170,https://www.transfermarkt.co.uk/vladimir-petrovic/profil/spieler/132393
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/velimir-zajec/profil/spieler/132390
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/safet-susic/profil/spieler/102705
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/lizardo-garrido/profil/spieler/132552
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/mario-galindo/profil/spieler/132884
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/eduardo-bonvallet/profil/spieler/132598
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/miguel-neira/profil/spieler/132886
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/mario-soto/profil/spieler/132876
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/gustavo-moscoso/profil/spieler/132877
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/carlos-caszely/profil/spieler/132879
3,-,-,-,-,-,270,185,https://www.transfermarkt.co.uk/steve-foster/profil/spieler/130318
6,-,-,-,-,-,540,170,https://www.transfermarkt.co.uk/mick-mills/profil/spieler/130315
2,1,-,-,-,-,90,N/A,https://www.transfermarkt.co.uk/bryan-robson/profil/spieler/101382
2,-,-,-,-,-,180,N/A,https://www.transfermarkt.co.uk/trevor-francis/profil/spieler/130319
7,2,-,-,-,-,630,193,https://www.transfermarkt.co.uk/terry-butcher/profil/spieler/101380
23,-,-,-,-,-,2000,183,https://www.transfermarkt.co.uk/phil-thompson/profil/spieler/130310
3,-,-,-,-,-,225,168,https://www.transfermarkt.co.uk/kenny-sansom/profil/spieler/117195
36,2,-,-,-,-,3240,N/A,https://www.transfermarkt.co.uk/phil-neal/profil/spieler/130308
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ray-wilkins/profil/spieler/117197
3,-,-,-,-,-,270,N/A,https://www.transfermarkt.co.uk/graham-rix/profil/spieler/130306
2,1,-,-,-,-,180,N/A,https://www.transfermarkt.co.uk/glenn-hoddle/profil/spieler/117193
7,2,-,-,-,-,630,N/A,https://www.transfermarkt.co.uk/paul-mariner/profil/spieler/130304
39,8,-,1,-,1,3401,N/A,https://www.transfermarkt.co.uk/tony-woodcock/profil/spieler/106988
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/stanislav-seman/profil/spieler/132964
5,-,-,2,-,-,450,180,https://www.transfermarkt.co.uk/libor-radimec/profil/spieler/132989
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ladislav-jurkemik/profil/spieler/132969
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jan-berger/profil/spieler/132988
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/premysl-bicovsky/profil/spieler/132987
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/tomas-kriz/profil/spieler/132986
4,-,-,-,-,-,360,178,https://www.transfermarkt.co.uk/petr-janecka/profil/spieler/133001
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jozef-kukucka/profil/spieler/132990
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jan-fiala/profil/spieler/132966
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jozef-barmos/profil/spieler/132982
19,8,-,1,-,-,1695,178,https://www.transfermarkt.co.uk/antonin-panenka/profil/spieler/60800
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ladislav-vizek/profil/spieler/132985
1,-,-,-,-,-,90,178,https://www.transfermarkt.co.uk/tengiz-sulakvelidze/profil/spieler/118263
6,3,-,-,-,-,495,185,https://www.transfermarkt.co.uk/yuri-gavrilov/profil/spieler/131533
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/oleg-blokhin/profil/spieler/117372
39,2,-,-,-,-,3311,182,https://www.transfermarkt.co.uk/fulvio-collovati/profil/spieler/116697
16,-,-,1,-,-,1358,184,https://www.transfermarkt.co.uk/giuseppe-bergomi/profil/spieler/107860
34,7,-,-,-,-,3016,N/A,https://www.transfermarkt.co.uk/marco-tardelli/profil/spieler/116744
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/paolo-rossi/profil/spieler/116757
37,4,-,-,-,-,3181,178,https://www.transfermarkt.co.uk/gaetano-scirea/profil/spieler/116740
36,10,-,-,-,-,3072,N/A,https://www.transfermarkt.co.uk/antonio-cabrini/profil/spieler/116689
33,-,-,-,-,-,2895,182,https://www.transfermarkt.co.uk/claudio-gentile/profil/spieler/128893
26,4,-,1,-,-,2151,176,https://www.transfermarkt.co.uk/gabriele-oriali/profil/spieler/128889
33,9,-,-,-,-,2941,177,https://www.transfermarkt.co.uk/giancarlo-antognoni/profil/spieler/128892
35,5,-,-,-,-,2918,169,https://www.transfermarkt.co.uk/bruno-conti/profil/spieler/116698
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ephrem-mbom/profil/spieler/133322
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ibrahim-aoudou/profil/spieler/133334
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/michel-kaham/profil/spieler/133310
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/roger-milla/profil/spieler/88989
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/elie-onana/profil/spieler/133321
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/daniel-passarella/profil/spieler/116735
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/alberto-tarantini/profil/spieler/135844
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/americo-gallego/profil/spieler/135810
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/gabriel-calderon/profil/spieler/106973
6,2,-,1,-,-,429,182,https://www.transfermarkt.co.uk/mario-kempes/profil/spieler/37264
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jorge-olguin/profil/spieler/135812
2,-,-,-,-,-,180,N/A,https://www.transfermarkt.co.uk/osvaldo-ardiles/profil/spieler/135800
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/diego-maradona/profil/spieler/8024
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ramon-diaz/profil/spieler/112591
3,-,-,1,-,-,262,N/A,https://www.transfermarkt.co.uk/jorge-valdano/profil/spieler/116747
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/mahmoud-guendouz/profil/spieler/117740
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/salah-larbes/profil/spieler/132477
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ali-fergani/profil/spieler/132476
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/djamel-zidane/profil/spieler/117754
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/rabah-madjer/profil/spieler/117747
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/chaabane-merzekane/profil/spieler/132474
1,-,-,-,-,-,78,177,https://www.transfermarkt.co.uk/mustapha-dahleb/profil/spieler/132480
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/tedj-bensaoula/profil/spieler/117735
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/john-mcclelland/profil/spieler/117773
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/david-mccreery/profil/spieler/117757
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/norman-whiteside/profil/spieler/117766
5,1,-,-,-,-,450,184,https://www.transfermarkt.co.uk/gilberto-yearwood/profil/spieler/141746
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/ramon-maradiaga/profil/spieler/141731
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/hector-zelaya/profil/spieler/141741
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jaime-villegas/profil/spieler/141730
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/juan-cruz/profil/spieler/141740
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/francisco-osorto/profil/spieler/138770
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jaime-rodriguez/profil/spieler/139215
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/carlos-recinos/profil/spieler/135960
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jorge-gonzalez/profil/spieler/138765
4,-,-,-,-,-,360,186,https://www.transfermarkt.co.uk/maxime-bossis/profil/spieler/117490
1,-,-,-,-,-,75,172,https://www.transfermarkt.co.uk/manuel-amoros/profil/spieler/101108
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jean-tigana/profil/spieler/117501
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/michel-platini/profil/spieler/88994
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/didier-six/profil/spieler/97184
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/patrick-battiston/profil/spieler/117486
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/philippe-mahut/profil/spieler/128988
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/bernard-genghini/profil/spieler/117492
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/alain-giresse/profil/spieler/117493
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/bruno-bellone/profil/spieler/117487
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/wladyslaw-zmuda/profil/spieler/117228
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/jan-jalocha/profil/spieler/111107
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/andrzej-buncol/profil/spieler/93946
2,1,-,-,-,-,180,N/A,https://www.transfermarkt.co.uk/grzegorz-lato/profil/spieler/132457
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/wlodzimierz-smolarek/profil/spieler/97912
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/marek-dziuba/profil/spieler/132450
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/pawel-janas/profil/spieler/132454
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/stefan-majewski/profil/spieler/107167
-,-,-,-,-,-,-,-,https://www.transfermarkt.co.uk/andrzej-palasz/profil/spieler/100903
