name,link,age,value
Jean-Paul Abalo,https://www.transfermarkt.co.uk/jean-paul-abalo/profil/spieler/40008,30, 
Ludovic Assemoassa,https://www.transfermarkt.co.uk/ludovic-assemoassa/profil/spieler/23887,24,- 
Yao Aziawonou,https://www.transfermarkt.co.uk/yao-aziawonou/profil/spieler/4870,25,£810k  
Alaixys Romao,https://www.transfermarkt.co.uk/alaixys-romao/profil/spieler/40014,21, 
Moustapha Salifou,https://www.transfermarkt.co.uk/moustapha-salifou/profil/spieler/1778,22,£270k  
Emmanuel Adebayor,https://www.transfermarkt.co.uk/emmanuel-adebayor/profil/spieler/8883,21,£8.10m  
Massamasso Tchangai,https://www.transfermarkt.co.uk/massamasso-tchangai/profil/spieler/40016,26, 
Kuami Agboh,https://www.transfermarkt.co.uk/kuami-agboh/profil/spieler/5426,27,£45k  
Thomas Dossevi,https://www.transfermarkt.co.uk/thomas-dossevi/profil/spieler/29289,26, 
Carlos Gamarra,https://www.transfermarkt.co.uk/carlos-gamarra/profil/spieler/5779,34,£1.80m  
Carlos Paredes,https://www.transfermarkt.co.uk/carlos-paredes/profil/spieler/6068,28,£810k  
Édgar Barreto,https://www.transfermarkt.co.uk/edgar-barreto/profil/spieler/16120,20,£2.03m  
Delio Toledo,https://www.transfermarkt.co.uk/delio-toledo/profil/spieler/7969,28,£270k  
Carlos Bonet,https://www.transfermarkt.co.uk/carlos-bonet/profil/spieler/38783,27, 
Cristian Riveros,https://www.transfermarkt.co.uk/cristian-riveros/profil/spieler/37713,22, 
Roberto Acuña,https://www.transfermarkt.co.uk/roberto-acuna/profil/spieler/7495,33,£1.13m  
Roque Santa Cruz,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215,23,£3.60m  
Cyd Gray,https://www.transfermarkt.co.uk/cyd-gray/profil/spieler/35842,28, 
Stern John,https://www.transfermarkt.co.uk/stern-john/profil/spieler/3793,28,£1.13m  
Brent Sancho,https://www.transfermarkt.co.uk/brent-sancho/profil/spieler/12849,28,£405k  
Dennis Lawrence,https://www.transfermarkt.co.uk/dennis-lawrence/profil/spieler/35844,30, 
Avery John,https://www.transfermarkt.co.uk/avery-john/profil/spieler/35843,30, 
Carlos Edwards,https://www.transfermarkt.co.uk/carlos-edwards/profil/spieler/33489,26, 
Aurtis Whitley,https://www.transfermarkt.co.uk/aurtis-whitley/profil/spieler/35848,28, 
Densill Theobald,https://www.transfermarkt.co.uk/densill-theobald/profil/spieler/37126,23, 
Chris Birchall,https://www.transfermarkt.co.uk/chris-birchall/profil/spieler/35840,21, 
Dwight Yorke,https://www.transfermarkt.co.uk/dwight-yorke/profil/spieler/3223,33,£2.48m  
John Terry,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160,24,£21.60m  
Michael Carrick,https://www.transfermarkt.co.uk/michael-carrick/profil/spieler/3878,23,£5.85m  
Steven Gerrard,https://www.transfermarkt.co.uk/steven-gerrard/profil/spieler/3109,25,£27.00m  
David Beckham,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139,30,£25.20m  
Joe Cole,https://www.transfermarkt.co.uk/joe-cole/profil/spieler/3876,23,£8.10m  
Rio Ferdinand,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235,26,£26.55m  
Jamie Carragher,https://www.transfermarkt.co.uk/jamie-carragher/profil/spieler/3597,27,£6.75m  
Ashley Cole,https://www.transfermarkt.co.uk/ashley-cole/profil/spieler/3182,24,£17.55m  
Gary Neville,https://www.transfermarkt.co.uk/gary-neville/profil/spieler/3403,30,£6.53m  
Owen Hargreaves,https://www.transfermarkt.co.uk/owen-hargreaves/profil/spieler/201,24,£6.75m  
Frank Lampard,https://www.transfermarkt.co.uk/frank-lampard/profil/spieler/3163,27,£28.80m  
Michael Owen,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397,25,£19.80m  
Peter Crouch,https://www.transfermarkt.co.uk/peter-crouch/profil/spieler/4072,24,£2.57m  
Josip Simunic,https://www.transfermarkt.co.uk/josip-simunic/profil/spieler/354,27,£4.05m  
Igor Tudor,https://www.transfermarkt.co.uk/igor-tudor/profil/spieler/5752,27,£3.60m  
Dario Simic,https://www.transfermarkt.co.uk/dario-simic/profil/spieler/2540,29,£1.80m  
Darijo Srna,https://www.transfermarkt.co.uk/darijo-srna/profil/spieler/14942,23,£2.07m  
Marko Babic,https://www.transfermarkt.co.uk/marko-babic/profil/spieler/62,24,£2.25m  
Dado Prso,https://www.transfermarkt.co.uk/dado-prso/profil/spieler/4178,30,£6.75m  
Robert Kovac,https://www.transfermarkt.co.uk/robert-kovac/profil/spieler/75,31,£4.05m  
Stjepan Tomas,https://www.transfermarkt.co.uk/stjepan-tomas/profil/spieler/13937,29,£3.60m  
Niko Kranjcar,https://www.transfermarkt.co.uk/niko-kranjcar/profil/spieler/16746,20,£4.50m  
Luis Marín,https://www.transfermarkt.co.uk/luis-marin/profil/spieler/35375,30, 
Paulo Wanchope,https://www.transfermarkt.co.uk/paulo-wanchope/profil/spieler/3230,28,£4.05m  
Alessandro Nesta,https://www.transfermarkt.co.uk/alessandro-nesta/profil/spieler/4171,29,£29.70m  
Andrea Barzagli,https://www.transfermarkt.co.uk/andrea-barzagli/profil/spieler/7109,24,£6.30m  
Fabio Grosso,https://www.transfermarkt.co.uk/fabio-grosso/profil/spieler/6091,27,£4.50m  
Gianluca Zambrotta,https://www.transfermarkt.co.uk/gianluca-zambrotta/profil/spieler/5757,28,£25.20m  
Andrea Pirlo,https://www.transfermarkt.co.uk/andrea-pirlo/profil/spieler/5817,26,£18.00m  
Gennaro Gattuso,https://www.transfermarkt.co.uk/gennaro-gattuso/profil/spieler/5813,27,£22.50m  
Simone Perrotta,https://www.transfermarkt.co.uk/simone-perrotta/profil/spieler/5922,27,£9.00m  
Francesco Totti,https://www.transfermarkt.co.uk/francesco-totti/profil/spieler/5958,28,£31.50m  
Luca Toni,https://www.transfermarkt.co.uk/luca-toni/profil/spieler/5980,28,£13.50m  
Fabio Cannavaro,https://www.transfermarkt.co.uk/fabio-cannavaro/profil/spieler/5775,31,£12.60m  
Cristian Zaccardo,https://www.transfermarkt.co.uk/cristian-zaccardo/profil/spieler/5993,23,£7.20m  
Marco Materazzi,https://www.transfermarkt.co.uk/marco-materazzi/profil/spieler/5778,31,£4.50m  
Daniele De Rossi,https://www.transfermarkt.co.uk/daniele-de-rossi/profil/spieler/5947,21,£12.60m  
Alessandro Del Piero,https://www.transfermarkt.co.uk/alessandro-del-piero/profil/spieler/4289,30,£16.20m  
Gabriel Heinze,https://www.transfermarkt.co.uk/gabriel-heinze/profil/spieler/5555,27,£13.05m  
Gabriel Milito,https://www.transfermarkt.co.uk/gabriel-milito/profil/spieler/7968,24,£7.65m  
Esteban Cambiasso,https://www.transfermarkt.co.uk/esteban-cambiasso/profil/spieler/7520,24,£9.00m  
Hernán Crespo,https://www.transfermarkt.co.uk/hernan-crespo/profil/spieler/3410,29,£13.50m  
