Date,Team1,Team1_score,Team2,Team2_score,team1_fouls,team2_fouls,team1_yellow_cards,team2_yellow_cards,team1_red_cards,team2_red_cards,team1_offsides,team2_offsides,team1_won_corners,team2_won_corners,team1_saves,team2_saves,team1_possession,team2_possession,team1_shots,team2_shots,team1_lineup,team2_lineup
20140615,Argentina,2,Bosnia and Herzegovina,1,10,14,1,1,0,0,0,3,2,6,3,5,55%,45%,11 (5),16 (11),1 Sergio Romero_17 Federico Fernández_2 Ezequiel Garay_3 Hugo Campagnaro_16 Marcos Rojo  _4 Pablo Zabaleta_14 Javier Mascherano_7 Ángel Di María_11 Maxi Rodríguez_20 Sergio Agüero_10 Lionel Messi  ,1 Asmir Begovic_4 Emir Spahic  _3 Ermin Bicakcic_5 Sead Kolasinac   OG_13 Mensur Mujdza_10 Zvjezdan Misimovic_7 Muhamed Besic_8 Miralem Pjanic_11 Edin Dzeko_16 Senad Lulic_20 Izet Hajrovic
20140616,Germany,4,Portugal,0,8,11,0,1,0,1,2,1,4,6,2,4,54%,43%,13 (9),14 (9),"1 Manuel Neuer_5 Mats Hummels  _17 Per Mertesacker_4 Benedikt Höwedes_20 Jérôme Boateng_16 Philipp Lahm_18 Toni Kroos_6 Sami Khedira_13 Thomas Müller  
  _19 Mario Götze_8 Mesut Özil",12 Rui Patrício_2 Bruno Alves_3 Pepe  _5 Fábio Coentrão_21 João Pereira  _4 Miguel Veloso_16 Raul Meireles_8 João Moutinho_9 Hugo Almeida_7 Cristiano Ronaldo_17 Nani
20140616,Iran,0,Nigeria,0,18,16,1,0,0,0,1,0,2,7,1,4,37%,63%,7 (3),10 (6),12 Alireza Haghighi_5 Amirhossein Sadeghi_4 Seyed Jalal Hosseini_23 Mehrdad Pooladi_15 Pejman Montazeri_3 Ehsan Hajsafi_6 Javad Nekounam_14 Andranik Teymourian  _16 Reza Ghoochannejhad_21 Ashkan Dejagah_2 Khosro Heydari,1 Vincent Enyeama_14 Godfrey Oboabona_22 Kenneth Omeruo_13 Juwon Oshaniwa_5 Efe Ambrose_15 Ramon Azeez_10 John Obi Mikel_17 Ogenyi Onazi_9 Emmanuel Emenike_11 Victor Moses_7 Ahmed Musa
20140616,Ghana,1,United States,2,10,12,2,0,0,0,5,1,7,3,4,3,59%,41%,21 (8),8 (7),12 Adam Kwarasey_19 Jonathan Mensah_21 John Boye_20 Kwadwo Asamoah_4 Daniel Opare_13 Jordan Ayew_11 Sulley Muntari  _17 Mohammed Rabiu  _3 Asamoah Gyan_10 André Ayew  _7 Christian Atsu,1 Tim Howard_5 Matt Besler_20 Geoff Cameron_15 Kyle Beckerman_7 DaMarcus Beasley_23 Fabian Johnson_4 Michael Bradley_13 Jermaine Jones_11 Alejandro Bedoya_8 Clint Dempsey  _17 Jozy Altidore
20140617,Belgium,2,Algeria,1,21,18,1,1,0,0,3,0,7,2,6,0,65%,35%,16 (10),3 (1),1 Thibaut Courtois_4 Vincent Kompany_15 Daniel van Buyten_5 Jan Vertonghen  _2 Toby Alderweireld_22 Nacer Chadli_19 Mousa Dembélé_6 Axel Witsel_9 Romelu Lukaku_10 Eden Hazard_7 Kevin De Bruyne,23 Rais M'Bolhi_5 Rafik Halliche_2 Madjid Bouguerra_12 Carl Medjani_3 Faouzi Ghoulam_22 Mehdi Mostefa_14 Nabil Bentaleb  _19 Saphir Taïder_21 Riyad Mahrez_10 Sofiane Feghouli  _15 Hillel Soudani
20140617,Brazil,0,Mexico,0,13,18,2,2,0,0,5,0,4,3,6,2,53%,47%,14 (8),13 (3),12 Júlio César_4 David Luiz_3 Thiago Silva  _6 Marcelo_2 Dani Alves_10 Neymar_17 Luiz Gustavo_8 Paulinho_9 Fred_11 Oscar_16 Ramires  ,13 Guillermo Ochoa_4 Rafael Márquez_15 Héctor Moreno_2 Maza_7 Miguel Layún_22 Paul Aguilar  _23 José Vázquez  _18 Andrés Guardado_6 Héctor Herrera_10 Giovani dos Santos_19 Oribe Peralta
20140617,Russia,1,South Korea,1,15,7,1,3,0,0,0,0,4,4,4,4,48%,52%,16 (10),10 (6),1 Igor Akinfeev_4 Sergei Ignashevich_14 Vasili Berezutski_23 Dmitri Kombarov_22 Andrey Eshchenko_17 Oleg Shatov  _20 Viktor Faizulin_8 Denis Glushakov_9 Aleksandr Kokorin_18 Yuri Zhirkov_19 Aleksandr Samedov,1 Jung Sung-Ryong_5 Kim Young-Gwon_20 Hong Jeong-Ho_3 Yun Suk-Young_12 Lee Yong_13 Koo Ja-Cheol  _16 Ki Sung-Yueng  _14 Han Kook-Young_10 Park Chu-Young_9 Son Heung-Min  _17 Lee Chung-Yong
20140618,Australia,2,Netherlands,3,18,25,1,1,0,0,1,1,3,2,2,7,48%,52%,10 (8),15 (14),"1 Maty Ryan_6 Matthew Spiranovic_22 Alex Wilkinson_3 Jason Davidson_19 Ryan McGowan_23 Mark Bresciano_17 Matt McKay_15 Mile Jedinak  _4 Tim Cahill  
 _11 Tommy Oar_7 Mathew Leckie","1 Jasper Cillessen_2 Ron Vlaar_4 Bruno Martins Indi_3 Stefan de Vrij_6 Nigel de Jong_8 Jonathan de Guzmán_10 Wesley Sneijder_5 Daley Blind_7 Daryl Janmaat_11 Arjen Robben  _9 Robin van Persie  
 "
20140618,Spain,0,Chile,2,14,15,1,2,0,0,1,2,7,1,6,2,56%,44%,15 (9),7 (4),1 Iker Casillas_15 Sergio Ramos_4 Javi Martínez_18 Jordi Alba_22 César Azpilicueta_21 David Silva_14 Xabi Alonso  _16 Sergio Busquets_19 Diego Costa_6 Andrés Iniesta_11 Pedro,1 Claudio Bravo_17 Gary Medel_18 Gonzalo Jara_5 Francisco Silva_21 Marcelo Díaz_20 Charles Aránguiz  _8 Arturo Vidal  _2 Eugenio Mena  _4 Mauricio Isla_11 Eduardo Vargas  _7 Alexis Sánchez
20140618,Cameroon,0,Croatia,4,11,9,0,1,1,0,0,4,4,7,1,6,49%,51%,18 (7),21 (14),16 Charles Itandje_14 Aurélien Chedjou_3 Nicolas N'Koulou_21 Joël Matip_2 Benoît Assou-Ekotto_17 Stéphane M'bia_18 Eyong Enoh_6 Alex Song  _13 Maxim Choupo-Moting_8 Benjamin Moukandjo_10 Vincent Aboubakar,"1 Stipe Pletikosa_6 Dejan Lovren_5 Vedran Corluka_3 Danijel Pranjic_11 Darijo Srna_19 Sammir_7 Ivan Rakitic_10 Luka Modric_17 Mario Mandzukic  
 _18 Ivica Olic  _4 Ivan Perisic  "
20140619,Colombia,2,Ivory Coast,1,11,14,0,2,0,0,3,2,5,5,4,4,45%,55%,11 (8),15 (12),1 David Ospina_3 Mario Yepes_2 Cristián Zapata_7 Pablo Armero_18 Juan Zúñiga_10 James Rodríguez  _6 Carlos Sánchez_8 Abel Aguilar_9 Teófilo Gutiérrez_14 Victor Ibarbo_11 Juan Cuadrado,1 Boubacar Barry_22 Sol Bamba_5 Didier Zokora  _3 Arthur Boka_17 Serge Aurier_19 Yaya Touré_20 Serey Dié_9 Cheick Tioté  _12 Wilfried Bony_10 Gervinho  _15 Max Gradel
20140619,Uruguay,2,England,1,17,12,1,1,0,0,3,1,7,6,3,5,38%,62%,10 (6),13 (8),"1 Fernando Muslera_3 Diego Godín  _13 José Giménez_17 Egidio Arévalo Ríos_6 Álvaro Pereira_22 Martín Cáceres_14 Nicolas Lodeiro_7 Cristian Rodríguez_20 Álvaro González_9 Luis Suárez  
 _21 Edinson Cavani",1 Joe Hart_6 Phil Jagielka_5 Gary Cahill_3 Leighton Baines_2 Glen Johnson_10 Wayne Rooney  _14 Jordan Henderson_4 Steven Gerrard  _9 Daniel Sturridge_11 Danny Welbeck_19 Raheem Sterling
