,name,link,age,value
0,Konstantinos Chalkias,https://www.transfermarkt.co.uk/konstantinos-chalkias/profil/spieler/15423,35,£1.58m  
1,Michalis Sifakis,https://www.transfermarkt.co.uk/michalis-sifakis/profil/spieler/16444,24,£1.44m  
2,Avraam Papadopoulos,https://www.transfermarkt.co.uk/avraam-papadopoulos/profil/spieler/12979,24,£2.93m  
3,Loukas Vyntra,https://www.transfermarkt.co.uk/loukas-vyntra/profil/spieler/16458,28,£2.25m  
4,Vangelis Moras,https://www.transfermarkt.co.uk/vangelis-moras/profil/spieler/9850,27,£1.08m  
5,Vasilios Torosidis,https://www.transfermarkt.co.uk/vasilios-torosidis/profil/spieler/24977,24,£6.08m  
6,Vasilios Pliatsikas,https://www.transfermarkt.co.uk/vasilios-pliatsikas/profil/spieler/34186,21,£1.58m  
7,Alexandros Tziolis,https://www.transfermarkt.co.uk/alexandros-tziolis/profil/spieler/12883,24,£2.70m  
8,Christos Patsatzoglou,https://www.transfermarkt.co.uk/christos-patsatzoglou/profil/spieler/9761,30,£2.25m  
9,Athanasios Prittas,https://www.transfermarkt.co.uk/athanasios-prittas/profil/spieler/24975,30,£720k  
10,Georgios Samaras,https://www.transfermarkt.co.uk/georgios-samaras/profil/spieler/6855,24,£4.28m  
11,Lazaros Christodoulopoulos,https://www.transfermarkt.co.uk/lazaros-christodoulopoulos/profil/spieler/34283,22,£2.25m  
12,Theofanis Gekas,https://www.transfermarkt.co.uk/theofanis-gekas/profil/spieler/16402,29,£2.97m  
13,Konstantinos Mitroglou,https://www.transfermarkt.co.uk/konstantinos-mitroglou/profil/spieler/34944,21,£1.80m  
14,Pantelis Kapetanos,https://www.transfermarkt.co.uk/pantelis-kapetanos/profil/spieler/15432,26,£1.58m  
15,Alexandros Tzorvas,https://www.transfermarkt.co.uk/alexandros-tzorvas/profil/spieler/24284,26,£1.44m  
16,Sotiris Kyrgiakos,https://www.transfermarkt.co.uk/sotiris-kyrgiakos/profil/spieler/9706,29,£5.85m  
17,Sokratis,https://www.transfermarkt.co.uk/sokratis/profil/spieler/34322,21,£2.70m  
18,Stelios Malezas,https://www.transfermarkt.co.uk/stelios-malezas/profil/spieler/34285,24,£1.62m  
19,Nikolaos Spyropoulos,https://www.transfermarkt.co.uk/nikolaos-spyropoulos/profil/spieler/19286,25,£3.15m  
20,Georgios Seitaridis,https://www.transfermarkt.co.uk/georgios-seitaridis/profil/spieler/9841,28,£3.60m  
21,Konstantinos Katsouranis,https://www.transfermarkt.co.uk/konstantinos-katsouranis/profil/spieler/9852,30,£6.30m  
22,Grigoris Makos,https://www.transfermarkt.co.uk/grigoris-makos/profil/spieler/12872,22,£2.48m  
23,Georgios Karagounis,https://www.transfermarkt.co.uk/georgios-karagounis/profil/spieler/6106,32,£5.85m  
24,Sotiris Ninis,https://www.transfermarkt.co.uk/sotiris-ninis/profil/spieler/46062,19,£5.40m  
25,Dimitrios Salpingidis,https://www.transfermarkt.co.uk/dimitrios-salpingidis/profil/spieler/15153,27,£5.40m  
26,Giannis Amanatidis,https://www.transfermarkt.co.uk/giannis-amanatidis/profil/spieler/583,27,£5.40m  
27,Nikolaos Lyberopoulos,https://www.transfermarkt.co.uk/nikolaos-lyberopoulos/profil/spieler/9854,33,£2.70m  
28,Angelos Charisteas,https://www.transfermarkt.co.uk/angelos-charisteas/profil/spieler/1519,29,£1.80m  
29,Myong-Gil Kim,https://www.transfermarkt.co.uk/myong-gil-kim/profil/spieler/68588,24,£45k  
30,Myong-Guk Ri,https://www.transfermarkt.co.uk/myong-guk-ri/profil/spieler/68569,22, 
31,Myong-Gyu Kim,https://www.transfermarkt.co.uk/myong-gyu-kim/profil/spieler/68555,24, 
32,Jun-Il Ri,https://www.transfermarkt.co.uk/jun-il-ri/profil/spieler/68567,21, 
33,Chol-Jin Pak,https://www.transfermarkt.co.uk/chol-jin-pak/profil/spieler/68564,23, 
34,Kwang-Ik Jon,https://www.transfermarkt.co.uk/kwang-ik-jon/profil/spieler/133895,21, 
35,Yong-Il Yun,https://www.transfermarkt.co.uk/yong-il-yun/profil/spieler/275680,20, 
36,Yong-Nam Sin,https://www.transfermarkt.co.uk/yong-nam-sin/profil/spieler/86298,31, 
37,Song-Chol Pak,https://www.transfermarkt.co.uk/song-chol-pak/profil/spieler/133904,21, 
38,Yun-Nam Ji,https://www.transfermarkt.co.uk/yun-nam-ji/profil/spieler/68554,23,£68k  
39,Yong-Jun Kim,https://www.transfermarkt.co.uk/yong-jun-kim/profil/spieler/68556,25,£68k  
40,In-Guk Mun,https://www.transfermarkt.co.uk/in-guk-mun/profil/spieler/68561,30,£90k  
41,Yong-Jo Hong,https://www.transfermarkt.co.uk/yong-jo-hong/profil/spieler/68553,27,£1.08m  
42,Chol-Myong Ri,https://www.transfermarkt.co.uk/chol-myong-ri/profil/spieler/107355,21, 
43,Chol-Man Choe,https://www.transfermarkt.co.uk/chol-man-choe/profil/spieler/122370,23, 
44,Chong Tese,https://www.transfermarkt.co.uk/chong-tese/profil/spieler/68574,25,£2.25m  
45,Chol-Hyok An,https://www.transfermarkt.co.uk/chol-hyok-an/profil/spieler/86291,24, 
46,Myong-Won Kim,https://www.transfermarkt.co.uk/myong-won-kim/profil/spieler/86297,25, 
47,Kwang-Min Ju,https://www.transfermarkt.co.uk/kwang-min-ju/profil/spieler/133843,19, 
48,Song-Chol Nam,https://www.transfermarkt.co.uk/song-chol-nam/profil/spieler/68563,27,£90k  
49,Myong-Il Ryang,https://www.transfermarkt.co.uk/myong-il-ryang/profil/spieler/133908,20, 
50,Kwang-Chon Ri,https://www.transfermarkt.co.uk/kwang-chon-ri/profil/spieler/68568,23, 
51,Nam-Chol Pak,https://www.transfermarkt.co.uk/nam-chol-pak/profil/spieler/114610,20, 
52,Kwang-Hyok Ri,https://www.transfermarkt.co.uk/kwang-hyok-ri/profil/spieler/102741,21, 
53,Jong-Hyok Cha,https://www.transfermarkt.co.uk/jong-hyok-cha/profil/spieler/68546,23, 
54,Su-Hyok Jong,https://www.transfermarkt.co.uk/su-hyok-jong/profil/spieler/133897,22, 
55,Young-Hak An,https://www.transfermarkt.co.uk/young-hak-an/profil/spieler/68382,30,£450k  
56,Sung-Hyok Pak,https://www.transfermarkt.co.uk/sung-hyok-pak/profil/spieler/145368,19, 
57,Nam-Chol Pak,https://www.transfermarkt.co.uk/nam-chol-pak/profil/spieler/68565,23, 
58,Kyong-Il Kim,https://www.transfermarkt.co.uk/kyong-il-kim/profil/spieler/133898,20, 
