,name,link,age,value
0,Jorge Battaglia,https://www.transfermarkt.co.uk/jorge-battaglia/profil/spieler/118200,25, 
1,Roberto Fernández,https://www.transfermarkt.co.uk/roberto-fernandez/profil/spieler/118209,28, 
2,Eufemio Cabral,https://www.transfermarkt.co.uk/eufemio-cabral/profil/spieler/118203,30, 
3,Vladimiro Schettina,https://www.transfermarkt.co.uk/vladimiro-schettina/profil/spieler/118217,29, 
4,Cesar Zabala,https://www.transfermarkt.co.uk/cesar-zabala/profil/spieler/118220,24, 
5,Francisco Alcaraz,https://www.transfermarkt.co.uk/francisco-alcaraz/profil/spieler/118198,25, 
6,Rolando Chilavert,https://www.transfermarkt.co.uk/rolando-chilavert/profil/spieler/118206,24, 
7,Jorge Guasch,https://www.transfermarkt.co.uk/jorge-guasch/profil/spieler/118211,24, 
8,Julio Cesar Romero,https://www.transfermarkt.co.uk/julio-cesar-romero/profil/spieler/118216,24, 
9,Ramon Hicks,https://www.transfermarkt.co.uk/ramon-hicks/profil/spieler/118212,25, 
10,Alfredo Mendoza,https://www.transfermarkt.co.uk/alfredo-mendoza/profil/spieler/118214,21, 
11,Julian Coronel,https://www.transfermarkt.co.uk/julian-coronel/profil/spieler/118207,24, 
12,Luis Caballero,https://www.transfermarkt.co.uk/luis-caballero/profil/spieler/118201,22, 
13,Rogelio Delgado,https://www.transfermarkt.co.uk/rogelio-delgado/profil/spieler/118208,25, 
14,Juan Torales,https://www.transfermarkt.co.uk/juan-torales/profil/spieler/118218,26, 
15,Virginio Cáceres,https://www.transfermarkt.co.uk/virginio-caceres/profil/spieler/118204,19, 
16,Adolfino Canete,https://www.transfermarkt.co.uk/adolfino-canete/profil/spieler/118205,28, 
17,Buenaventura Ferreira,https://www.transfermarkt.co.uk/buenaventura-ferreira/profil/spieler/118210,24, 
18,Jorge Núñez,https://www.transfermarkt.co.uk/jorge-nunez/profil/spieler/118215,24, 
19,Faustino Alonso,https://www.transfermarkt.co.uk/faustino-alonso/profil/spieler/118199,24, 
20,Evaristo Isasi,https://www.transfermarkt.co.uk/evaristo-isasi/profil/spieler/118213,29, 
21,Roberto Cabañas,https://www.transfermarkt.co.uk/roberto-cabanas/profil/spieler/118202,24, 
22,Peter Shilton,https://www.transfermarkt.co.uk/peter-shilton/profil/spieler/101383,35, 
23,Gary Bailey,https://www.transfermarkt.co.uk/gary-bailey/profil/spieler/117189,26, 
24,Alvin Martin,https://www.transfermarkt.co.uk/alvin-martin/profil/spieler/117194,26, 
