,name,link,age,value
0,Luis Arkonada,https://www.transfermarkt.co.uk/luis-arkonada/profil/spieler/135084,23, 
1,Javier Urruti,https://www.transfermarkt.co.uk/javier-urruti/profil/spieler/117602,24, 
2,Pirri,https://www.transfermarkt.co.uk/pirri/profil/spieler/135098,32, 
3,Antonio Biosca,https://www.transfermarkt.co.uk/antonio-biosca/profil/spieler/135090,27, 
4,Francisco Uría,https://www.transfermarkt.co.uk/francisco-uria/profil/spieler/135086,27, 
5,José Carrete,https://www.transfermarkt.co.uk/jose-carrete/profil/spieler/250868,26, 
6,Isidoro San José,https://www.transfermarkt.co.uk/isidoro-san-jose/profil/spieler/135105,21, 
7,Eugenio Leal,https://www.transfermarkt.co.uk/eugenio-leal/profil/spieler/135097,23, 
8,Juan Manuel Asensi,https://www.transfermarkt.co.uk/juan-manuel-asensi/profil/spieler/135088,27, 
9,Juanito,https://www.transfermarkt.co.uk/juanito/profil/spieler/135096,22, 
10,Dani,https://www.transfermarkt.co.uk/dani/profil/spieler/135091,26, 
11,Santillana,https://www.transfermarkt.co.uk/santillana/profil/spieler/135092,24, 
12,Rubén Cano,https://www.transfermarkt.co.uk/ruben-cano/profil/spieler/135103,26, 
13,Miguel Ángel,https://www.transfermarkt.co.uk/miguel-angel/profil/spieler/135095,29, 
14,Antonio de la Cruz,https://www.transfermarkt.co.uk/antonio-de-la-cruz/profil/spieler/135087,30, 
15,Migueli,https://www.transfermarkt.co.uk/migueli/profil/spieler/135089,25, 
16,Antonio Olmo,https://www.transfermarkt.co.uk/antonio-olmo/profil/spieler/135099,23, 
17,Ángel María Villar,https://www.transfermarkt.co.uk/angel-maria-villar/profil/spieler/155400,27, 
18,Marcelino,https://www.transfermarkt.co.uk/marcelino/profil/spieler/135101,21, 
19,Antonio Guzmán,https://www.transfermarkt.co.uk/antonio-guzman/profil/spieler/135106,23, 
20,Julio Cardeñosa,https://www.transfermarkt.co.uk/julio-cardenosa/profil/spieler/135093,27, 
21,Roberto López Ufarte,https://www.transfermarkt.co.uk/roberto-lopez-ufarte/profil/spieler/141273,19, 
22,Carles Rexach,https://www.transfermarkt.co.uk/carles-rexach/profil/spieler/135104,30, 
23,Quini,https://www.transfermarkt.co.uk/quini/profil/spieler/135094,27, 
24,Rafael Marañón,https://www.transfermarkt.co.uk/rafael-maranon/profil/spieler/135100,28, 
25,Sándor Gujdár,https://www.transfermarkt.co.uk/sandor-gujdar/profil/spieler/141873,25, 
26,László Kovács,https://www.transfermarkt.co.uk/laszlo-kovacs/profil/spieler/141918,26, 
27,Zoltán Kereki,https://www.transfermarkt.co.uk/zoltan-kereki/profil/spieler/141878,23, 
28,László Bálint,https://www.transfermarkt.co.uk/laszlo-balint/profil/spieler/135693,29, 
29,István Kocsis,https://www.transfermarkt.co.uk/istvan-kocsis/profil/spieler/141875,27, 
30,Sándor Zombori,https://www.transfermarkt.co.uk/sandor-zombori/profil/spieler/141876,25, 
31,Sándor Pintér,https://www.transfermarkt.co.uk/sandor-pinter/profil/spieler/141879,26, 
32,László Fazekas,https://www.transfermarkt.co.uk/laszlo-fazekas/profil/spieler/135696,29, 
33,László Nagy,https://www.transfermarkt.co.uk/laszlo-nagy/profil/spieler/141913,27, 
34,Béla Várady,https://www.transfermarkt.co.uk/bela-varady/profil/spieler/141880,24, 
35,András Törőcsik,https://www.transfermarkt.co.uk/andras-tor%C5%91csik/profil/spieler/135697,22, 
36,Ferenc Mészáros,https://www.transfermarkt.co.uk/ferenc-meszaros/profil/spieler/135677,27, 
37,Péter Török,https://www.transfermarkt.co.uk/peter-torok/profil/spieler/141874,26, 
