,name,link,age,value
0,Mathew Ryan,https://www.transfermarkt.co.uk/mathew-ryan/nationalmannschaft/spieler/128969,26,£7.20m  
1,Danny Vukovic,https://www.transfermarkt.co.uk/danny-vukovic/nationalmannschaft/spieler/43113,33,£900k  
2,Trent Sainsbury,https://www.transfermarkt.co.uk/trent-sainsbury/nationalmannschaft/spieler/145840,26,£900k  
3,Aziz Behich,https://www.transfermarkt.co.uk/aziz-behich/nationalmannschaft/spieler/136834,27,£2.48m  
4,Joshua Risdon,https://www.transfermarkt.co.uk/joshua-risdon/nationalmannschaft/spieler/160614,25,£675k  
5,Jackson Irvine,https://www.transfermarkt.co.uk/jackson-irvine/nationalmannschaft/spieler/192557,25,£1.80m  
6,Aaron Mooy,https://www.transfermarkt.co.uk/aaron-mooy/nationalmannschaft/spieler/123951,27,£9.00m  
7,Tom Rogic,https://www.transfermarkt.co.uk/tom-rogic/nationalmannschaft/spieler/213672,25,£2.25m  
8,Tim Cahill,https://www.transfermarkt.co.uk/tim-cahill/nationalmannschaft/spieler/13556,38,£450k  
9,Mathew Leckie,https://www.transfermarkt.co.uk/mathew-leckie/nationalmannschaft/spieler/126214,27,£3.60m  
10,Tomi Juric,https://www.transfermarkt.co.uk/tomi-juric/nationalmannschaft/spieler/171820,26,£2.25m  
11,Andrew Nabbout ,https://www.transfermarkt.co.uk/andrew-nabbout/nationalmannschaft/spieler/247289,25,£495k  
12,Brad Jones,https://www.transfermarkt.co.uk/brad-jones/nationalmannschaft/spieler/4042,36,£900k  
13,Matthew Jurman,https://www.transfermarkt.co.uk/matthew-jurman/nationalmannschaft/spieler/68499,28,£990k  
14,Milos Degenek ,https://www.transfermarkt.co.uk/milos-degenek/nationalmannschaft/spieler/187353,24,£720k  
15,James Meredith,https://www.transfermarkt.co.uk/james-meredith/nationalmannschaft/spieler/48111,30,£675k  
16,Mile Jedinak ,https://www.transfermarkt.co.uk/mile-jedinak/nationalmannschaft/spieler/28336,33,£2.25m  
17,Mark Milligan,https://www.transfermarkt.co.uk/mark-milligan/nationalmannschaft/spieler/37372,32,£765k  
18,Massimo Luongo,https://www.transfermarkt.co.uk/massimo-luongo/nationalmannschaft/spieler/181687,25,£4.05m  
