,name,link,age,value
0,José Luis Chilavert,https://www.transfermarkt.co.uk/jose-luis-chilavert/profil/spieler/5604,35, 
1,Ricardo Tavarelli,https://www.transfermarkt.co.uk/ricardo-tavarelli/profil/spieler/130291,30, 
2,Pedro Sarabia,https://www.transfermarkt.co.uk/pedro-sarabia/profil/spieler/73645,25, 
3,Celso Ayala,https://www.transfermarkt.co.uk/celso-ayala/profil/spieler/22938,30, 
4,Francisco Arce,https://www.transfermarkt.co.uk/francisco-arce/profil/spieler/130283,30, 
5,Denis Caniza,https://www.transfermarkt.co.uk/denis-caniza/profil/spieler/38786,26, 
6,Juan Carlos Franco,https://www.transfermarkt.co.uk/juan-carlos-franco/profil/spieler/130286,28, 
7,Carlos Paredes,https://www.transfermarkt.co.uk/carlos-paredes/profil/spieler/6068,24, 
8,Diego Gavilán,https://www.transfermarkt.co.uk/diego-gavilan/profil/spieler/4087,21, 
9,Guido Alvarenga,https://www.transfermarkt.co.uk/guido-alvarenga/profil/spieler/130282,30, 
10,Nelson Cuevas,https://www.transfermarkt.co.uk/nelson-cuevas/profil/spieler/26259,21, 
11,José Cardozo,https://www.transfermarkt.co.uk/jose-cardozo/profil/spieler/38788,30, 
12,Justo Villar,https://www.transfermarkt.co.uk/justo-villar/profil/spieler/38811,24, 
13,Daniel Sanabria,https://www.transfermarkt.co.uk/daniel-sanabria/profil/spieler/74432,24, 
14,Carlos Gamarra,https://www.transfermarkt.co.uk/carlos-gamarra/profil/spieler/5779,30, 
15,Julio Cáceres,https://www.transfermarkt.co.uk/julio-caceres/profil/spieler/18733,21, 
16,Carlos Bonet,https://www.transfermarkt.co.uk/carlos-bonet/profil/spieler/38783,23, 
17,Richard Báez,https://www.transfermarkt.co.uk/richard-baez/profil/spieler/130284,27, 
18,Estanislao Struway,https://www.transfermarkt.co.uk/estanislao-struway/profil/spieler/84472,33, 
19,Roberto Acuña,https://www.transfermarkt.co.uk/roberto-acuna/profil/spieler/7495,29, 
20,Gustavo Morínigo,https://www.transfermarkt.co.uk/gustavo-morinigo/profil/spieler/38804,24, 
21,Jorge Luis Campos,https://www.transfermarkt.co.uk/jorge-luis-campos/profil/spieler/130285,30, 
22,Roque Santa Cruz,https://www.transfermarkt.co.uk/roque-santa-cruz/profil/spieler/215,19, 
23,Richard Wright,https://www.transfermarkt.co.uk/richard-wright/profil/spieler/3120,23, 
24,David Seaman,https://www.transfermarkt.co.uk/david-seaman/profil/spieler/3141,37, 
25,David James,https://www.transfermarkt.co.uk/david-james/profil/spieler/3646,30, 
26,Jamie Carragher,https://www.transfermarkt.co.uk/jamie-carragher/profil/spieler/3597,23, 
27,Ledley King,https://www.transfermarkt.co.uk/ledley-king/profil/spieler/3360,20, 
28,Sol Campbell,https://www.transfermarkt.co.uk/sol-campbell/profil/spieler/3198,26, 
29,Martin Keown,https://www.transfermarkt.co.uk/martin-keown/profil/spieler/3184,34, 
30,Graeme Le Saux,https://www.transfermarkt.co.uk/graeme-le-saux/profil/spieler/3157,32, 
31,Ashley Cole,https://www.transfermarkt.co.uk/ashley-cole/profil/spieler/3182,20, 
32,Gary Neville,https://www.transfermarkt.co.uk/gary-neville/profil/spieler/3403,26, 
33,Danny Mills,https://www.transfermarkt.co.uk/danny-mills/profil/spieler/3743,24, 
34,Owen Hargreaves,https://www.transfermarkt.co.uk/owen-hargreaves/profil/spieler/201,20, 
35,Steven Gerrard,https://www.transfermarkt.co.uk/steven-gerrard/profil/spieler/3109,21, 
36,Danny Murphy,https://www.transfermarkt.co.uk/danny-murphy/profil/spieler/3221,24, 
37,Paul Scholes,https://www.transfermarkt.co.uk/paul-scholes/profil/spieler/3397,26, 
38,Darren Anderton,https://www.transfermarkt.co.uk/darren-anderton/profil/spieler/3277,29, 
39,Kieron Dyer,https://www.transfermarkt.co.uk/kieron-dyer/profil/spieler/3118,22, 
40,Joe Cole,https://www.transfermarkt.co.uk/joe-cole/profil/spieler/3876,19, 
41,Kevin Phillips,https://www.transfermarkt.co.uk/kevin-phillips/profil/spieler/3131,27, 
42,Michael Ricketts,https://www.transfermarkt.co.uk/michael-ricketts/profil/spieler/4062,22, 
