,name,link,age,value
64,Phil Neal,https://www.transfermarkt.co.uk/phil-neal/profil/spieler/130308,30, 
65,Terry McDermott,https://www.transfermarkt.co.uk/terry-mcdermott/profil/spieler/130322,29, 
66,Ray Wilkins,https://www.transfermarkt.co.uk/ray-wilkins/profil/spieler/117197,24, 
67,Peter Barnes,https://www.transfermarkt.co.uk/peter-barnes/profil/spieler/176493,24, 
68,Graham Rix,https://www.transfermarkt.co.uk/graham-rix/profil/spieler/130306,23, 
69,Glenn Hoddle,https://www.transfermarkt.co.uk/glenn-hoddle/profil/spieler/117193,23, 
70,Cyrille Regis,https://www.transfermarkt.co.uk/cyrille-regis/profil/spieler/222304,23, 
71,Kevin Keegan,https://www.transfermarkt.co.uk/kevin-keegan/profil/spieler/85458,30, 
72,Paul Mariner,https://www.transfermarkt.co.uk/paul-mariner/profil/spieler/130304,28, 
73,Tony Woodcock,https://www.transfermarkt.co.uk/tony-woodcock/profil/spieler/106988,25, 
74,Ahmed Al-Tarabilsi,https://www.transfermarkt.co.uk/ahmed-al-tarabilsi/profil/spieler/133007,34, 
75,Jassem Bahman,https://www.transfermarkt.co.uk/jassem-bahman/profil/spieler/133157,23, 
76,Mahboud Mubarak,https://www.transfermarkt.co.uk/mahboud-mubarak/profil/spieler/133010,25, 
77,Walid Al-Mubarak,https://www.transfermarkt.co.uk/walid-al-mubarak/profil/spieler/133016,21, 
78,Abdullah Mayouf,https://www.transfermarkt.co.uk/abdullah-mayouf/profil/spieler/133149,27, 
79,Hamoud Al-Shemmari,https://www.transfermarkt.co.uk/hamoud-al-shemmari/profil/spieler/133152,20, 
80,Fathi Matar,https://www.transfermarkt.co.uk/fathi-matar/profil/spieler/133019,26, 
81,Nasser Al-Ghanem,https://www.transfermarkt.co.uk/nasser-al-ghanem/profil/spieler/133022,20, 
82,Mohammed Karam,https://www.transfermarkt.co.uk/mohammed-karam/profil/spieler/133153,26, 
83,Mouayad Al-Haddad,https://www.transfermarkt.co.uk/mouayad-al-haddad/profil/spieler/133154,21, 
84,Jasem Sultan,https://www.transfermarkt.co.uk/jasem-sultan/profil/spieler/133020,27, 
85,Adam Marjam,https://www.transfermarkt.co.uk/adam-marjam/profil/spieler/133156,23, 
86,Naim Fajah,https://www.transfermarkt.co.uk/naim-fajah/profil/spieler/133009,23, 
87,Jamal Al-Qabandi,https://www.transfermarkt.co.uk/jamal-al-qabandi/profil/spieler/133017,22, 
88,Mubarak Marzouq,https://www.transfermarkt.co.uk/mubarak-marzouq/profil/spieler/133148,20, 
89,Sami Al-Hashash,https://www.transfermarkt.co.uk/sami-al-hashash/profil/spieler/133150,21, 
90,Saad Al-Hutti,https://www.transfermarkt.co.uk/saad-al-hutti/profil/spieler/133015,27, 
91,Abdulaziz Al-Buloushi,https://www.transfermarkt.co.uk/abdulaziz-al-buloushi/profil/spieler/133018,21, 
92,Yusuf Faraj,https://www.transfermarkt.co.uk/yusuf-faraj/profil/spieler/133023,22, 
93,Abdulaziz Al-Anbari,https://www.transfermarkt.co.uk/abdulaziz-al-anbari/profil/spieler/133021,27, 
94,Abdulaziz Mohammed,https://www.transfermarkt.co.uk/abdulaziz-mohammed/profil/spieler/133155,18, 
95,Faisal Al-Dakhil,https://www.transfermarkt.co.uk/faisal-al-dakhil/profil/spieler/133151,23, 
96,Stanislav Seman,https://www.transfermarkt.co.uk/stanislav-seman/profil/spieler/132964,28, 
97,Karel Stromsik,https://www.transfermarkt.co.uk/karel-stromsik/profil/spieler/133005,23, 
98,Libor Radimec,https://www.transfermarkt.co.uk/libor-radimec/profil/spieler/132989,31, 
