,name,link,age,value
0,Ilias Atmatsidis,https://www.transfermarkt.co.uk/ilias-atmatsidis/profil/spieler/9846,24, 
1,Christos Karkamanis,https://www.transfermarkt.co.uk/christos-karkamanis/profil/spieler/26587,23, 
2,Athanasios Kolitsidakis,https://www.transfermarkt.co.uk/athanasios-kolitsidakis/profil/spieler/16412,26, 
3,Giannis Kalitzakis,https://www.transfermarkt.co.uk/giannis-kalitzakis/profil/spieler/102294,27, 
4,Alexis Alexiou,https://www.transfermarkt.co.uk/alexis-alexiou/profil/spieler/102304,29, 
5,Vaios Karagiannis,https://www.transfermarkt.co.uk/vaios-karagiannis/profil/spieler/102295,25, 
6,Spyros Marangos,https://www.transfermarkt.co.uk/spyros-marangos/profil/spieler/102298,26, 
7,Savvas Kofidis,https://www.transfermarkt.co.uk/savvas-kofidis/profil/spieler/102306,32, 
8,Vasilios Karapialis,https://www.transfermarkt.co.uk/vasilios-karapialis/profil/spieler/160341,28, 
9,Panagiotis Tsalouchidis,https://www.transfermarkt.co.uk/panagiotis-tsalouchidis/profil/spieler/102302,30, 
10,Anastasios Mitropoulos,https://www.transfermarkt.co.uk/anastasios-mitropoulos/profil/spieler/102300,35, 
11,Theofanis Toutziaris,https://www.transfermarkt.co.uk/theofanis-toutziaris/profil/spieler/174558,28, 
12,Zisis Vryzas,https://www.transfermarkt.co.uk/zisis-vryzas/profil/spieler/6095,19, 
13,Dimitrios Saravakos,https://www.transfermarkt.co.uk/dimitrios-saravakos/profil/spieler/102301,31, 
14,Vasilios Dimitriadis,https://www.transfermarkt.co.uk/vasilios-dimitriadis/profil/spieler/102293,27, 
15,Alexis Alexandris,https://www.transfermarkt.co.uk/alexis-alexandris/profil/spieler/20866,24, 
16,Antonis Minou,https://www.transfermarkt.co.uk/antonis-minou/profil/spieler/102299,35, 
17,Vasilios Ioannidis,https://www.transfermarkt.co.uk/vasilios-ioannidis/profil/spieler/170812,26, 
18,Stelios Manolas,https://www.transfermarkt.co.uk/stelios-manolas/profil/spieler/102297,31, 
19,Kyriakos Karataidis,https://www.transfermarkt.co.uk/kyriakos-karataidis/profil/spieler/102296,27, 
20,Michalis Kasapis,https://www.transfermarkt.co.uk/michalis-kasapis/profil/spieler/9859,21, 
21,Stratos Apostolakis,https://www.transfermarkt.co.uk/stratos-apostolakis/profil/spieler/102292,29, 
22,Dimitrios Markos,https://www.transfermarkt.co.uk/dimitrios-markos/profil/spieler/16601,22, 
23,Vasilios Tsiartas,https://www.transfermarkt.co.uk/vasilios-tsiartas/profil/spieler/9876,20, 
24,Konstantinos Antoniou,https://www.transfermarkt.co.uk/konstantinos-antoniou/profil/spieler/167243,31, 
25,Nikolaos Nioplias,https://www.transfermarkt.co.uk/nikolaos-nioplias/profil/spieler/16378,28, 
26,Minas Hantzidis,https://www.transfermarkt.co.uk/minas-hantzidis/profil/spieler/6603,26, 
27,Nikolaos Tsiantakis,https://www.transfermarkt.co.uk/nikolaos-tsiantakis/profil/spieler/102303,29, 
28,Christos Kostis,https://www.transfermarkt.co.uk/christos-kostis/profil/spieler/9861,21, 
29,Nikolaos Machlas,https://www.transfermarkt.co.uk/nikolaos-machlas/profil/spieler/3853,20, 
30,Alexis Alexoudis,https://www.transfermarkt.co.uk/alexis-alexoudis/profil/spieler/102291,21, 
31,Peter Rufai,https://www.transfermarkt.co.uk/peter-rufai/profil/spieler/102309,29, 
32,Wilfred Agbonavbare,https://www.transfermarkt.co.uk/wilfred-agbonavbare/profil/spieler/102323,26, 
33,Stephen Keshi,https://www.transfermarkt.co.uk/stephen-keshi/profil/spieler/102311,31, 
34,Chidi Nwanu,https://www.transfermarkt.co.uk/chidi-nwanu/profil/spieler/102312,26, 
35,Michael Emenalo,https://www.transfermarkt.co.uk/michael-emenalo/profil/spieler/102316,27, 
36,Sunday Oliseh,https://www.transfermarkt.co.uk/sunday-oliseh/profil/spieler/127,18, 
37,Mutiu Adepoju,https://www.transfermarkt.co.uk/mutiu-adepoju/profil/spieler/102321,22, 
38,Samson Siasia,https://www.transfermarkt.co.uk/samson-siasia/profil/spieler/102319,25, 
39,Emmanuel Amunike,https://www.transfermarkt.co.uk/emmanuel-amunike/profil/spieler/8062,22, 
40,Finidi George,https://www.transfermarkt.co.uk/finidi-george/profil/spieler/13241,22, 
41,Daniel Amokachi,https://www.transfermarkt.co.uk/daniel-amokachi/profil/spieler/92287,20, 
42,Efan Ekoku,https://www.transfermarkt.co.uk/efan-ekoku/profil/spieler/102315,26, 
43,Alloy Agu,https://www.transfermarkt.co.uk/alloy-agu/profil/spieler/102314,25, 
44,Augustine Owen Eguavoen,https://www.transfermarkt.co.uk/augustine-owen-eguavoen/profil/spieler/93307,27, 
45,Uche Okechukwu,https://www.transfermarkt.co.uk/uche-okechukwu/profil/spieler/102313,25, 
46,Ben Iroha,https://www.transfermarkt.co.uk/ben-iroha/profil/spieler/102310,23, 
47,Thompson Oliha,https://www.transfermarkt.co.uk/thompson-oliha/profil/spieler/102318,24, 
48,Emeka Ezeugo,https://www.transfermarkt.co.uk/emeka-ezeugo/profil/spieler/182802,27, 
49,Jay-Jay Okocha,https://www.transfermarkt.co.uk/jay-jay-okocha/profil/spieler/3708,19, 
50,Boniface Okafor,https://www.transfermarkt.co.uk/boniface-okafor/profil/spieler/102322,27, 
51,Tijani Babangida,https://www.transfermarkt.co.uk/tijani-babangida/profil/spieler/4831,19, 
52,Rasheed Yekini,https://www.transfermarkt.co.uk/rasheed-yekini/profil/spieler/102320,29, 
53,Victor Ikpeba,https://www.transfermarkt.co.uk/victor-ikpeba/profil/spieler/115,20, 
54,Gianluca Pagliuca,https://www.transfermarkt.co.uk/gianluca-pagliuca/profil/spieler/5985,26, 
55,Luca Bucci,https://www.transfermarkt.co.uk/luca-bucci/profil/spieler/6407,24, 
56,Franco Baresi,https://www.transfermarkt.co.uk/franco-baresi/profil/spieler/42049,33, 
57,Luigi Apolloni,https://www.transfermarkt.co.uk/luigi-apolloni/profil/spieler/102472,26, 
58,Paolo Maldini,https://www.transfermarkt.co.uk/paolo-maldini/profil/spieler/5803,25, 
59,Antonio Benarrivo,https://www.transfermarkt.co.uk/antonio-benarrivo/profil/spieler/5857,24, 
60,Roberto Mussi,https://www.transfermarkt.co.uk/roberto-mussi/profil/spieler/102482,29, 
61,Demetrio Albertini,https://www.transfermarkt.co.uk/demetrio-albertini/profil/spieler/3390,21, 
62,Roberto Di Matteo,https://www.transfermarkt.co.uk/roberto-di-matteo/profil/spieler/103679,23, 
63,Antonio Conte,https://www.transfermarkt.co.uk/antonio-conte/profil/spieler/5759,23, 
64,Roberto Donadoni,https://www.transfermarkt.co.uk/roberto-donadoni/profil/spieler/102474,29, 
65,Massimiliano Cappioli,https://www.transfermarkt.co.uk/massimiliano-cappioli/profil/spieler/160859,25, 
66,Attilio Lombardo,https://www.transfermarkt.co.uk/attilio-lombardo/profil/spieler/154311,27, 
67,Roberto Baggio,https://www.transfermarkt.co.uk/roberto-baggio/profil/spieler/4153,26, 
68,Andrea Silenzi,https://www.transfermarkt.co.uk/andrea-silenzi/profil/spieler/180552,27, 
69,Daniele Massaro,https://www.transfermarkt.co.uk/daniele-massaro/profil/spieler/102480,32, 
70,Luca Marchegiani,https://www.transfermarkt.co.uk/luca-marchegiani/profil/spieler/5827,27, 
71,Lorenzo Minotti,https://www.transfermarkt.co.uk/lorenzo-minotti/profil/spieler/102481,26, 
