,name,link,age,value
0,Orestis Karnezis,https://www.transfermarkt.co.uk/orestis-karnezis/profil/spieler/16408,27,£1.58m  
1,Michalis Sifakis,https://www.transfermarkt.co.uk/michalis-sifakis/profil/spieler/16444,28,£900k  
2,Sokratis,https://www.transfermarkt.co.uk/sokratis/profil/spieler/34322,25,£9.00m  
3,Konstantinos Manolas,https://www.transfermarkt.co.uk/konstantinos-manolas/profil/spieler/104752,22,£2.48m  
4,Georgios Tzavellas,https://www.transfermarkt.co.uk/georgios-tzavellas/profil/spieler/42942,25,£1.80m  
5,Loukas Vyntra,https://www.transfermarkt.co.uk/loukas-vyntra/profil/spieler/16458,32,£900k  
6,José Holebas,https://www.transfermarkt.co.uk/jose-holebas/profil/spieler/41112,29,£2.25m  
7,Vasilios Torosidis,https://www.transfermarkt.co.uk/vasilios-torosidis/profil/spieler/24977,28,£5.40m  
8,Panagiotis Tachtsidis,https://www.transfermarkt.co.uk/panagiotis-tachtsidis/profil/spieler/62415,22,£2.97m  
9,Konstantinos Katsouranis,https://www.transfermarkt.co.uk/konstantinos-katsouranis/profil/spieler/9852,34,£1.58m  
10,Panagiotis Kone,https://www.transfermarkt.co.uk/panagiotis-kone/profil/spieler/19636,25,£3.15m  
11,Georgios Karagounis,https://www.transfermarkt.co.uk/georgios-karagounis/profil/spieler/6106,36,£900k  
12,Konstantinos Fortounis,https://www.transfermarkt.co.uk/konstantinos-fortounis/profil/spieler/157539,20,£2.25m  
13,Giannis Fetfatzidis,https://www.transfermarkt.co.uk/giannis-fetfatzidis/profil/spieler/128931,22,£2.93m  
14,Lazaros Christodoulopoulos,https://www.transfermarkt.co.uk/lazaros-christodoulopoulos/profil/spieler/34283,26,£1.80m  
15,Stefanos Athanasiadis,https://www.transfermarkt.co.uk/stefanos-athanasiadis/profil/spieler/45970,24,£3.60m  
16,Dimitrios Papadopoulos,https://www.transfermarkt.co.uk/dimitrios-papadopoulos/profil/spieler/9836,31,£495k  
17,Stefanos Kapino,https://www.transfermarkt.co.uk/stefanos-kapino/profil/spieler/68410,19,£1.35m  
18,Panagiotis Glykos,https://www.transfermarkt.co.uk/panagiotis-glykos/profil/spieler/26582,26,£630k  
19,Avraam Papadopoulos,https://www.transfermarkt.co.uk/avraam-papadopoulos/profil/spieler/12979,28,£4.05m  
20,Dimitrios Siovas,https://www.transfermarkt.co.uk/dimitrios-siovas/profil/spieler/52403,24,£2.25m  
21,Sokratis Fytanidis,https://www.transfermarkt.co.uk/sokratis-fytanidis/profil/spieler/18927,29,£1.13m  
22,Vangelis Moras,https://www.transfermarkt.co.uk/vangelis-moras/profil/spieler/9850,31,£630k  
23,Nikolaos Spyropoulos,https://www.transfermarkt.co.uk/nikolaos-spyropoulos/profil/spieler/19286,29,£1.35m  
24,Giannis Maniatis,https://www.transfermarkt.co.uk/giannis-maniatis/profil/spieler/25721,26,£3.60m  
