,name,link,age,value
0,Tomislav Ivkovic,https://www.transfermarkt.co.uk/tomislav-ivkovic/profil/spieler/102689,28, 
1,Dragoje Lekovic,https://www.transfermarkt.co.uk/dragoje-lekovic/profil/spieler/102692,21, 
2,Mirsad Baljic,https://www.transfermarkt.co.uk/mirsad-baljic/profil/spieler/102685,27, 
3,Faruk Hadzibegic,https://www.transfermarkt.co.uk/faruk-hadzibegic/profil/spieler/102688,31, 
4,Gordan Petric,https://www.transfermarkt.co.uk/gordan-petric/profil/spieler/157681,19, 
5,Zoran Vulic,https://www.transfermarkt.co.uk/zoran-vulic/profil/spieler/102707,27, 
6,Zoran Vujovic,https://www.transfermarkt.co.uk/zoran-vujovic/profil/spieler/132395,30, 
7,Davor Jozic,https://www.transfermarkt.co.uk/davor-jozic/profil/spieler/102690,28, 
8,Srecko Katanec,https://www.transfermarkt.co.uk/srecko-katanec/profil/spieler/97138,25, 
9,Robert Prosinecki,https://www.transfermarkt.co.uk/robert-prosinecki/profil/spieler/8013,20, 
10,Dragan Stojkovic,https://www.transfermarkt.co.uk/dragan-stojkovic/profil/spieler/102704,24, 
11,Predrag Mijatović,https://www.transfermarkt.co.uk/predrag-mijatovi%C4%87/profil/spieler/24481,20, 
12,Darko Pancev,https://www.transfermarkt.co.uk/darko-pancev/profil/spieler/100098,23, 
13,Alen Boksic,https://www.transfermarkt.co.uk/alen-boksic/profil/spieler/3571,19, 
14,Fahrudin Omerovic,https://www.transfermarkt.co.uk/fahrudin-omerovic/profil/spieler/102697,27, 
15,Vujadin Stanojkovic,https://www.transfermarkt.co.uk/vujadin-stanojkovic/profil/spieler/102703,25, 
16,Branko Brnovic,https://www.transfermarkt.co.uk/branko-brnovic/profil/spieler/102964,21, 
17,Budimir Vujacic,https://www.transfermarkt.co.uk/budimir-vujacic/profil/spieler/96079,25, 
18,Predrag Spasic,https://www.transfermarkt.co.uk/predrag-spasic/profil/spieler/102702,24, 
19,Andrej Panadic,https://www.transfermarkt.co.uk/andrej-panadic/profil/spieler/319,20, 
20,Robert Jarni,https://www.transfermarkt.co.uk/robert-jarni/profil/spieler/29556,20, 
21,Dragoljub Brnovic,https://www.transfermarkt.co.uk/dragoljub-brnovic/profil/spieler/102686,25, 
22,Refik Sabanadzovic,https://www.transfermarkt.co.uk/refik-sabanadzovic/profil/spieler/102701,23, 
23,Safet Susic,https://www.transfermarkt.co.uk/safet-susic/profil/spieler/102705,34, 
24,Dejan Savicevic,https://www.transfermarkt.co.uk/dejan-savicevic/profil/spieler/35894,22, 
25,Dragan Jakovljević,https://www.transfermarkt.co.uk/dragan-jakovljevi%C4%87/profil/spieler/145599,27, 
26,Zlatko Vujovic,https://www.transfermarkt.co.uk/zlatko-vujovic/profil/spieler/102706,30, 
27,Davor Suker,https://www.transfermarkt.co.uk/davor-suker/profil/spieler/1407,21, 
28,Peter Shilton,https://www.transfermarkt.co.uk/peter-shilton/profil/spieler/101383,39, 
29,David Seaman,https://www.transfermarkt.co.uk/david-seaman/profil/spieler/3141,25, 
30,Des Walker,https://www.transfermarkt.co.uk/des-walker/profil/spieler/10000,23, 
31,Mark Wright,https://www.transfermarkt.co.uk/mark-wright/profil/spieler/101386,25, 
32,Nigel Winterburn,https://www.transfermarkt.co.uk/nigel-winterburn/profil/spieler/3648,25, 
33,Tony Dorigo,https://www.transfermarkt.co.uk/tony-dorigo/profil/spieler/101324,23, 
34,Lee Dixon,https://www.transfermarkt.co.uk/lee-dixon/profil/spieler/28240,25, 
35,Mike Phelan,https://www.transfermarkt.co.uk/mike-phelan/profil/spieler/176018,26, 
36,Steve McMahon,https://www.transfermarkt.co.uk/steve-mcmahon/profil/spieler/101387,27, 
37,Neil Webb,https://www.transfermarkt.co.uk/neil-webb/profil/spieler/101329,25, 
38,Trevor Steven,https://www.transfermarkt.co.uk/trevor-steven/profil/spieler/101328,25, 
39,Chris Waddle,https://www.transfermarkt.co.uk/chris-waddle/profil/spieler/101385,28, 
40,David Rocastle,https://www.transfermarkt.co.uk/david-rocastle/profil/spieler/175583,22, 
41,Tony Daley,https://www.transfermarkt.co.uk/tony-daley/profil/spieler/101323,21, 
42,Gary Lineker,https://www.transfermarkt.co.uk/gary-lineker/profil/spieler/22256,28, 
43,Chris Woods,https://www.transfermarkt.co.uk/chris-woods/profil/spieler/101320,29, 
44,Dave Beasant,https://www.transfermarkt.co.uk/dave-beasant/profil/spieler/10384,30, 
45,Terry Butcher,https://www.transfermarkt.co.uk/terry-butcher/profil/spieler/101380,30, 
46,Tony Adams,https://www.transfermarkt.co.uk/tony-adams/profil/spieler/28238,22, 
47,Stuart Pearce,https://www.transfermarkt.co.uk/stuart-pearce/profil/spieler/101317,27, 
48,Gary Stevens,https://www.transfermarkt.co.uk/gary-stevens/profil/spieler/101384,26, 
49,Paul Parker,https://www.transfermarkt.co.uk/paul-parker/profil/spieler/101381,25, 
50,Bryan Robson,https://www.transfermarkt.co.uk/bryan-robson/profil/spieler/101382,32, 
51,Steve Hodge,https://www.transfermarkt.co.uk/steve-hodge/profil/spieler/101390,26, 
52,Michael Thomas,https://www.transfermarkt.co.uk/michael-thomas/profil/spieler/107235,21, 
53,John Barnes,https://www.transfermarkt.co.uk/john-barnes/profil/spieler/87436,25, 
54,David Platt,https://www.transfermarkt.co.uk/david-platt/profil/spieler/101318,23, 
55,Paul Gascoigne,https://www.transfermarkt.co.uk/paul-gascoigne/profil/spieler/3830,22, 
56,Peter Beardsley,https://www.transfermarkt.co.uk/peter-beardsley/profil/spieler/102030,28, 
57,Steve Bull,https://www.transfermarkt.co.uk/steve-bull/profil/spieler/101389,24, 
58,Gabelo Conejo,https://www.transfermarkt.co.uk/gabelo-conejo/profil/spieler/92916,29, 
59,Miguel Segura,https://www.transfermarkt.co.uk/miguel-segura/profil/spieler/258728,25, 
60,Marvin Obando,https://www.transfermarkt.co.uk/marvin-obando/profil/spieler/258144,29, 
61,Rónald Marín,https://www.transfermarkt.co.uk/ronald-marin/profil/spieler/258721,26, 
62,Héctor Marchena,https://www.transfermarkt.co.uk/hector-marchena/profil/spieler/258725,24, 
63,Enrique Díaz,https://www.transfermarkt.co.uk/enrique-diaz/profil/spieler/436662,30, 
64,Vladimir Quesada,https://www.transfermarkt.co.uk/vladimir-quesada/profil/spieler/92930,23, 
65,Alexandre Guimaraes,https://www.transfermarkt.co.uk/alexandre-guimaraes/profil/spieler/258147,29, 
66,Germán Chavarria,https://www.transfermarkt.co.uk/german-chavarria/profil/spieler/258146,30, 
67,Roy Myers,https://www.transfermarkt.co.uk/roy-myers/profil/spieler/108730,20, 
68,José Jaikel,https://www.transfermarkt.co.uk/jose-jaikel/profil/spieler/258723,23, 
69,Juan Cayasso,https://www.transfermarkt.co.uk/juan-cayasso/profil/spieler/109199,28, 
70,Hermidio Barrantes,https://www.transfermarkt.co.uk/hermidio-barrantes/profil/spieler/258727,24, 
71,Róger Flores,https://www.transfermarkt.co.uk/roger-flores/profil/spieler/92920,30, 
72,Miguel Davis,https://www.transfermarkt.co.uk/miguel-davis/profil/spieler/258722,23, 
73,Geovany Jara,https://www.transfermarkt.co.uk/geovany-jara/profil/spieler/258724,19, 
74,Mauricio Montero,https://www.transfermarkt.co.uk/mauricio-montero/profil/spieler/258726,25, 
75,Rónald González,https://www.transfermarkt.co.uk/ronald-gonzalez/profil/spieler/92923,18, 
76,José Chaves,https://www.transfermarkt.co.uk/jose-chaves/profil/spieler/258145,30, 
77,Róger Gómez,https://www.transfermarkt.co.uk/roger-gomez/profil/spieler/258720,24, 
78,Óscar Ramírez,https://www.transfermarkt.co.uk/oscar-ramirez/profil/spieler/258155,24, 
79,Claudio Jara,https://www.transfermarkt.co.uk/claudio-jara/profil/spieler/258156,30, 
80,Evaristo Coronado,https://www.transfermarkt.co.uk/evaristo-coronado/profil/spieler/436656,28, 
81,Hernán Medford,https://www.transfermarkt.co.uk/hernan-medford/profil/spieler/45387,21, 
82,Jan Stejskal,https://www.transfermarkt.co.uk/jan-stejskal/profil/spieler/106955,27, 
83,Peter Paluch,https://www.transfermarkt.co.uk/peter-paluch/profil/spieler/81553,31, 
84,Ján Kocian,https://www.transfermarkt.co.uk/jan-kocian/profil/spieler/106965,31, 
85,Miroslav Kadlec,https://www.transfermarkt.co.uk/miroslav-kadlec/profil/spieler/8193,25, 
86,Vladimir Kinier,https://www.transfermarkt.co.uk/vladimir-kinier/profil/spieler/106959,31, 
87,Michal Bilek,https://www.transfermarkt.co.uk/michal-bilek/profil/spieler/106960,24, 
88,Ivan Hasek,https://www.transfermarkt.co.uk/ivan-hasek/profil/spieler/107088,25, 
89,Lubos Kubik,https://www.transfermarkt.co.uk/lubos-kubik/profil/spieler/17964,25, 
90,Vaclav Nemecek,https://www.transfermarkt.co.uk/vaclav-nemecek/profil/spieler/103483,22, 
91,Viliam Hyravy,https://www.transfermarkt.co.uk/viliam-hyravy/profil/spieler/92312,26, 
92,Tomas Skuhravy,https://www.transfermarkt.co.uk/tomas-skuhravy/profil/spieler/106968,23, 
93,Milan Luhovy,https://www.transfermarkt.co.uk/milan-luhovy/profil/spieler/106966,26, 
94,Ludek Miklosko,https://www.transfermarkt.co.uk/ludek-miklosko/profil/spieler/106952,27, 
95,Julius Bielik,https://www.transfermarkt.co.uk/julius-bielik/profil/spieler/106942,27, 
96,Peter Fieber,https://www.transfermarkt.co.uk/peter-fieber/profil/spieler/90359,25, 
97,Frantisek Straka,https://www.transfermarkt.co.uk/frantisek-straka/profil/spieler/4734,31, 
98,Ladislav Pecko,https://www.transfermarkt.co.uk/ladislav-pecko/profil/spieler/92251,21, 
99,Jiri Nemec,https://www.transfermarkt.co.uk/jiri-nemec/profil/spieler/274,23, 
100,Jozef Chovanec,https://www.transfermarkt.co.uk/jozef-chovanec/profil/spieler/106962,29, 
101,Vladimir Weiss,https://www.transfermarkt.co.uk/vladimir-weiss/profil/spieler/92024,24, 
102,Lubomir Moravcik,https://www.transfermarkt.co.uk/lubomir-moravcik/profil/spieler/6846,24, 
103,Pavel Cerny,https://www.transfermarkt.co.uk/pavel-cerny/profil/spieler/180459,26, 
104,Ivo Knoflicek,https://www.transfermarkt.co.uk/ivo-knoflicek/profil/spieler/85426,27, 
105,Stanislav Griga,https://www.transfermarkt.co.uk/stanislav-griga/profil/spieler/106963,27, 
106,Dmitri Kharin,https://www.transfermarkt.co.uk/dmitri-kharin/profil/spieler/67109,20, 
107,Viktor Chanov,https://www.transfermarkt.co.uk/viktor-chanov/profil/spieler/134174,29, 
108,Gela Ketashvili,https://www.transfermarkt.co.uk/gela-ketashvili/profil/spieler/393750,23, 
109,Akhrik Tsveiba,https://www.transfermarkt.co.uk/akhrik-tsveiba/profil/spieler/101037,22, 
110,Oleg Kuznetsov,https://www.transfermarkt.co.uk/oleg-kuznetsov/profil/spieler/101021,26, 
111,Sergey Fokin,https://www.transfermarkt.co.uk/sergey-fokin/profil/spieler/132804,27, 
112,Anatoliy Demyanenko,https://www.transfermarkt.co.uk/anatoliy-demyanenko/profil/spieler/117378,30, 
113,Volodymyr Bessonov,https://www.transfermarkt.co.uk/volodymyr-bessonov/profil/spieler/117371,31, 
114,Pavlo Yakovenko,https://www.transfermarkt.co.uk/pavlo-yakovenko/profil/spieler/117395,24, 
115,Gennadi Lytovchenko,https://www.transfermarkt.co.uk/gennadi-lytovchenko/profil/spieler/88142,25, 
116,Ivan Yaremchuk,https://www.transfermarkt.co.uk/ivan-yaremchuk/profil/spieler/117396,27, 
117,Vladimir Tatarchuk,https://www.transfermarkt.co.uk/vladimir-tatarchuk/profil/spieler/88154,23, 
118,Andriy Bal,https://www.transfermarkt.co.uk/andriy-bal/profil/spieler/117370,31, 
119,Sergey Alejnikov,https://www.transfermarkt.co.uk/sergey-alejnikov/profil/spieler/88122,27, 
120,Fedor Cherenkov,https://www.transfermarkt.co.uk/fedor-cherenkov/profil/spieler/67096,29, 
121,Igor Shalimov,https://www.transfermarkt.co.uk/igor-shalimov/profil/spieler/88150,20, 
122,Valeri Shmarov,https://www.transfermarkt.co.uk/valeri-shmarov/profil/spieler/17278,24, 
123,Oleg Protasov,https://www.transfermarkt.co.uk/oleg-protasov/profil/spieler/106921,25, 
124,Aleksandr Borodyuk,https://www.transfermarkt.co.uk/aleksandr-borodyuk/profil/spieler/67094,26, 
125,Volodymyr Liutyi,https://www.transfermarkt.co.uk/volodymyr-liutyi/profil/spieler/84028,27, 
126,Rinat Dasaev,https://www.transfermarkt.co.uk/rinat-dasaev/profil/spieler/117377,32, 
