,name,link,age,value
0,Ivica Kralj,https://www.transfermarkt.co.uk/ivica-kralj/profil/spieler/9211,24, 
1,Branko Brnovic,https://www.transfermarkt.co.uk/branko-brnovic/profil/spieler/102964,29, 
2,Miroslav Djukic,https://www.transfermarkt.co.uk/miroslav-djukic/profil/spieler/7569,31, 
3,Slobodan Komljenovic,https://www.transfermarkt.co.uk/slobodan-komljenovic/profil/spieler/13,26, 
4,Djordje Svetlicic,https://www.transfermarkt.co.uk/djordje-svetlicic/profil/spieler/13089,23, 
5,Zeljko Petrovic,https://www.transfermarkt.co.uk/zeljko-petrovic/profil/spieler/4505,31, 
6,Slavisa Jokanovic,https://www.transfermarkt.co.uk/slavisa-jokanovic/profil/spieler/79065,28, 
7,Miroslav Stevic,https://www.transfermarkt.co.uk/miroslav-stevic/profil/spieler/135,27, 
8,Dejan Stanković,https://www.transfermarkt.co.uk/dejan-stankovi%C4%87/profil/spieler/3428,18, 
9,Dejan Savicevic,https://www.transfermarkt.co.uk/dejan-savicevic/profil/spieler/35894,30, 
10,Ljubinko Drulovic,https://www.transfermarkt.co.uk/ljubinko-drulovic/profil/spieler/3627,28, 
11,Predrag Mijatović,https://www.transfermarkt.co.uk/predrag-mijatovi%C4%87/profil/spieler/24481,28, 
12,Savo Milosevic,https://www.transfermarkt.co.uk/savo-milosevic/profil/spieler/7896,23, 
13,Dragoje Lekovic,https://www.transfermarkt.co.uk/dragoje-lekovic/profil/spieler/102692,29, 
14,Goran Djorovic,https://www.transfermarkt.co.uk/goran-djorovic/profil/spieler/7488,25, 
15,Siniša Mihajlović,https://www.transfermarkt.co.uk/sini-scaron-a-mihajlovi%C4%87/profil/spieler/5834,28, 
16,Niša Saveljić,https://www.transfermarkt.co.uk/ni-scaron-a-savelji%C4%87/profil/spieler/5396,27, 
17,Zoran Mirkovic,https://www.transfermarkt.co.uk/zoran-mirkovic/profil/spieler/7076,25, 
18,Zoran Njegus,https://www.transfermarkt.co.uk/zoran-njegus/profil/spieler/7698,24, 
19,Albert Nadj,https://www.transfermarkt.co.uk/albert-nadj/profil/spieler/10301,22, 
20,Dejan Govedarica,https://www.transfermarkt.co.uk/dejan-govedarica/profil/spieler/4522,27, 
21,Vladimir Jugovic,https://www.transfermarkt.co.uk/vladimir-jugovic/profil/spieler/5297,27, 
22,Dragan Stojkovic,https://www.transfermarkt.co.uk/dragan-stojkovic/profil/spieler/102704,32, 
23,Perica Ognjenovic,https://www.transfermarkt.co.uk/perica-ognjenovic/profil/spieler/1470,20, 
24,Zoran Jovicic,https://www.transfermarkt.co.uk/zoran-jovicic/profil/spieler/22634,24, 
25,Darko Kovacevic,https://www.transfermarkt.co.uk/darko-kovacevic/profil/spieler/7479,23, 
26,José Luis Chilavert,https://www.transfermarkt.co.uk/jose-luis-chilavert/profil/spieler/5604,31, 
27,Rubén Ruiz,https://www.transfermarkt.co.uk/ruben-ruiz/profil/spieler/134015,26, 
28,Carlos Gamarra,https://www.transfermarkt.co.uk/carlos-gamarra/profil/spieler/5779,26, 
29,Pedro Sarabia,https://www.transfermarkt.co.uk/pedro-sarabia/profil/spieler/73645,21, 
30,Ricardo Rojas,https://www.transfermarkt.co.uk/ricardo-rojas/profil/spieler/22939,26, 
31,Edgar Aguilera,https://www.transfermarkt.co.uk/edgar-aguilera/profil/spieler/134008,21, 
32,Carlos Paredes,https://www.transfermarkt.co.uk/carlos-paredes/profil/spieler/6068,20, 
33,Julio Enciso,https://www.transfermarkt.co.uk/julio-enciso/profil/spieler/134010,22, 
34,Julio César Yegros,https://www.transfermarkt.co.uk/julio-cesar-yegros/profil/spieler/134017,26, 
35,Hugo Brizuela,https://www.transfermarkt.co.uk/hugo-brizuela/profil/spieler/134009,28, 
36,Miguel Ángel Benítez,https://www.transfermarkt.co.uk/miguel-angel-benitez/profil/spieler/27449,27, 
37,Danilo Aceval,https://www.transfermarkt.co.uk/danilo-aceval/profil/spieler/80493,21, 
38,Catalino Rivarola,https://www.transfermarkt.co.uk/catalino-rivarola/profil/spieler/134013,32, 
39,Celso Ayala,https://www.transfermarkt.co.uk/celso-ayala/profil/spieler/22938,26, 
40,Francisco Arce,https://www.transfermarkt.co.uk/francisco-arce/profil/spieler/130283,26, 
41,Denis Caniza,https://www.transfermarkt.co.uk/denis-caniza/profil/spieler/38786,22, 
42,Carlos Morales,https://www.transfermarkt.co.uk/carlos-morales/profil/spieler/134012,29, 
43,Roberto Acuña,https://www.transfermarkt.co.uk/roberto-acuna/profil/spieler/7495,25, 
44,Jorge Luis Campos,https://www.transfermarkt.co.uk/jorge-luis-campos/profil/spieler/130285,26, 
45,Arístides Rojas,https://www.transfermarkt.co.uk/aristides-rojas/profil/spieler/134014,26, 
46,José Cardozo,https://www.transfermarkt.co.uk/jose-cardozo/profil/spieler/38788,26, 
47,César Ramírez,https://www.transfermarkt.co.uk/cesar-ramirez/profil/spieler/107337,20, 
48,Ian Walker,https://www.transfermarkt.co.uk/ian-walker/profil/spieler/4137,25, 
49,Nigel Martyn,https://www.transfermarkt.co.uk/nigel-martyn/profil/spieler/3629,30, 
50,Sol Campbell,https://www.transfermarkt.co.uk/sol-campbell/profil/spieler/3198,22, 
51,Gareth Southgate,https://www.transfermarkt.co.uk/gareth-southgate/profil/spieler/3744,26, 
52,Rio Ferdinand,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235,18, 
53,Graeme Le Saux,https://www.transfermarkt.co.uk/graeme-le-saux/profil/spieler/3157,28, 
54,Gary Neville,https://www.transfermarkt.co.uk/gary-neville/profil/spieler/3403,22, 
55,David Batty,https://www.transfermarkt.co.uk/david-batty/profil/spieler/3295,28, 
56,Paul Scholes,https://www.transfermarkt.co.uk/paul-scholes/profil/spieler/3397,22, 
57,David Beckham,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139,22, 
58,Paul Merson,https://www.transfermarkt.co.uk/paul-merson/profil/spieler/3250,29, 
59,Paul Gascoigne,https://www.transfermarkt.co.uk/paul-gascoigne/profil/spieler/3830,30, 
60,Ian Wright,https://www.transfermarkt.co.uk/ian-wright/profil/spieler/104637,33, 
61,Robbie Fowler,https://www.transfermarkt.co.uk/robbie-fowler/profil/spieler/3225,22, 
62,Andy Cole,https://www.transfermarkt.co.uk/andy-cole/profil/spieler/3238,25, 
63,Les Ferdinand,https://www.transfermarkt.co.uk/les-ferdinand/profil/spieler/3645,30, 
64,David Seaman,https://www.transfermarkt.co.uk/david-seaman/profil/spieler/3141,33, 
65,Tim Flowers,https://www.transfermarkt.co.uk/tim-flowers/profil/spieler/4249,30, 
66,Tony Adams,https://www.transfermarkt.co.uk/tony-adams/profil/spieler/28238,30, 
67,Martin Keown,https://www.transfermarkt.co.uk/martin-keown/profil/spieler/3184,30, 
68,Andrew Hinchcliffe,https://www.transfermarkt.co.uk/andrew-hinchcliffe/profil/spieler/106797,28, 
69,Phil Neville,https://www.transfermarkt.co.uk/phil-neville/profil/spieler/3404,20, 
70,Paul Ince,https://www.transfermarkt.co.uk/paul-ince/profil/spieler/3248,29, 
71,Nicky Butt,https://www.transfermarkt.co.uk/nicky-butt/profil/spieler/3543,22, 
72,Rob Lee,https://www.transfermarkt.co.uk/rob-lee/profil/spieler/14183,31, 
73,Darren Anderton,https://www.transfermarkt.co.uk/darren-anderton/profil/spieler/3277,25, 
74,Steve McManaman,https://www.transfermarkt.co.uk/steve-mcmanaman/profil/spieler/3980,25, 
75,Dion Dublin,https://www.transfermarkt.co.uk/dion-dublin/profil/spieler/3763,28, 
76,Alan Shearer,https://www.transfermarkt.co.uk/alan-shearer/profil/spieler/3110,26, 
77,Teddy Sheringham,https://www.transfermarkt.co.uk/teddy-sheringham/profil/spieler/3392,31, 
78,Chris Sutton,https://www.transfermarkt.co.uk/chris-sutton/profil/spieler/7453,24, 
79,Michael Owen,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397,17, 
80,Nelson Tapia,https://www.transfermarkt.co.uk/nelson-tapia/profil/spieler/20066,30, 
81,Carlos Tejas,https://www.transfermarkt.co.uk/carlos-tejas/profil/spieler/82223,25, 
82,Javier Margas,https://www.transfermarkt.co.uk/javier-margas/profil/spieler/133852,28, 
83,Miguel Ramírez,https://www.transfermarkt.co.uk/miguel-ramirez/profil/spieler/133856,27, 
84,Rodrigo Valenzuela,https://www.transfermarkt.co.uk/rodrigo-valenzuela/profil/spieler/72905,21, 
85,Francisco Rojas,https://www.transfermarkt.co.uk/francisco-rojas/profil/spieler/3065,22, 
86,Nelson Parraguez,https://www.transfermarkt.co.uk/nelson-parraguez/profil/spieler/133854,26, 
87,Luis Musrri,https://www.transfermarkt.co.uk/luis-musrri/profil/spieler/133853,27, 
88,José Luis Sierra,https://www.transfermarkt.co.uk/jose-luis-sierra/profil/spieler/80491,28, 
89,Fabián Estay,https://www.transfermarkt.co.uk/fabian-estay/profil/spieler/133848,28, 
90,Iván Zamorano,https://www.transfermarkt.co.uk/ivan-zamorano/profil/spieler/129083,30, 
91,Manuel Neira,https://www.transfermarkt.co.uk/manuel-neira/profil/spieler/47721,19, 
92,Marcelo Ramírez,https://www.transfermarkt.co.uk/marcelo-ramirez/profil/spieler/133855,32, 
