,name,link,age,value
0,Kossi Agassa,https://www.transfermarkt.co.uk/kossi-agassa/profil/spieler/12028,26,£675k  
1,Ouro-Nimini Tchagnirou,https://www.transfermarkt.co.uk/ouro-nimini-tchagnirou/profil/spieler/40015,27, 
2,Éric Akoto,https://www.transfermarkt.co.uk/eric-akoto/profil/spieler/2957,24,£540k  
3,Franck Atsou,https://www.transfermarkt.co.uk/franck-atsou/profil/spieler/15877,26,£45k  
4,Jean-Paul Abalo,https://www.transfermarkt.co.uk/jean-paul-abalo/profil/spieler/40008,30, 
5,Emmanuel Mathias,https://www.transfermarkt.co.uk/emmanuel-mathias/profil/spieler/49845,19, 
6,Ludovic Assemoassa,https://www.transfermarkt.co.uk/ludovic-assemoassa/profil/spieler/23887,24,- 
7,Cheriffe Maman-Touré,https://www.transfermarkt.co.uk/cheriffe-maman-toure/profil/spieler/13369,27,£135k  
8,Haliru Alidu,https://www.transfermarkt.co.uk/haliru-alidu/profil/spieler/170335,21, 
9,Yao Aziawonou,https://www.transfermarkt.co.uk/yao-aziawonou/profil/spieler/4870,25,£810k  
10,Alaixys Romao,https://www.transfermarkt.co.uk/alaixys-romao/profil/spieler/40014,21, 
11,Moustapha Salifou,https://www.transfermarkt.co.uk/moustapha-salifou/profil/spieler/1778,22,£270k  
12,Emmanuel Adebayor,https://www.transfermarkt.co.uk/emmanuel-adebayor/profil/spieler/8883,21,£8.10m  
13,Mickaël Dodji Dogbé,https://www.transfermarkt.co.uk/mickael-dodji-dogbe/profil/spieler/17423,28,- 
14,Yao Junior Sènaya,https://www.transfermarkt.co.uk/yao-junior-senaya/profil/spieler/19280,21,- 
15,Robert Malm,https://www.transfermarkt.co.uk/robert-malm/profil/spieler/31373,31, 
16,Kodjovi Obilale,https://www.transfermarkt.co.uk/kodjovi-obilale/profil/spieler/40011,20, 
17,Salifou Safiou,https://www.transfermarkt.co.uk/salifou-safiou/profil/spieler/160356,22, 
18,Daré Nibombé,https://www.transfermarkt.co.uk/dare-nibombe/profil/spieler/12967,25,£315k  
19,Assimiou Touré,https://www.transfermarkt.co.uk/assimiou-toure/profil/spieler/39107,17, 
20,Massamasso Tchangai,https://www.transfermarkt.co.uk/massamasso-tchangai/profil/spieler/40016,26, 
21,Zanzan Atte-Oudeyi,https://www.transfermarkt.co.uk/zanzan-atte-oudeyi/profil/spieler/13003,24,£450k  
22,Abdoul Gafar Mamah,https://www.transfermarkt.co.uk/abdoul-gafar-mamah/profil/spieler/45346,19, 
23,Affo Erassa,https://www.transfermarkt.co.uk/affo-erassa/profil/spieler/23922,22,£68k  
24,Kassim Guyazou,https://www.transfermarkt.co.uk/kassim-guyazou/profil/spieler/74191,23, 
25,Kuami Agboh,https://www.transfermarkt.co.uk/kuami-agboh/profil/spieler/5426,27,£45k  
26,Richmond Forson,https://www.transfermarkt.co.uk/richmond-forson/profil/spieler/39999,25, 
27,Adékambi Olufadé,https://www.transfermarkt.co.uk/adekambi-olufade/profil/spieler/5655,25,£675k  
28,Mohamed Kader,https://www.transfermarkt.co.uk/mohamed-kader/profil/spieler/4823,26,£1.13m  
29,Sherif Touré,https://www.transfermarkt.co.uk/sherif-toure/profil/spieler/900,23,- 
30,Thomas Dossevi,https://www.transfermarkt.co.uk/thomas-dossevi/profil/spieler/29289,26, 
31,Justo Villar,https://www.transfermarkt.co.uk/justo-villar/profil/spieler/38811,28, 
32,Aldo Bobadilla,https://www.transfermarkt.co.uk/aldo-bobadilla/profil/spieler/30775,29, 
33,Carlos Gamarra,https://www.transfermarkt.co.uk/carlos-gamarra/profil/spieler/5779,34,£1.80m  
34,Julio Cáceres,https://www.transfermarkt.co.uk/julio-caceres/profil/spieler/18733,25,£1.58m  
35,Héctor Sosa,https://www.transfermarkt.co.uk/hector-sosa/profil/spieler/67833,26, 
36,Julio Manzur,https://www.transfermarkt.co.uk/julio-manzur/profil/spieler/39574,24, 
37,Jorge Núñez,https://www.transfermarkt.co.uk/jorge-nunez/profil/spieler/30887,27, 
38,Denis Caniza,https://www.transfermarkt.co.uk/denis-caniza/profil/spieler/38786,30, 
39,Carlos Paredes,https://www.transfermarkt.co.uk/carlos-paredes/profil/spieler/6068,28,£810k  
40,Édgar Barreto,https://www.transfermarkt.co.uk/edgar-barreto/profil/spieler/16120,20,£2.03m  
41,Julio dos Santos,https://www.transfermarkt.co.uk/julio-dos-santos/profil/spieler/28944,22,£1.35m  
42,Domingo Salcedo,https://www.transfermarkt.co.uk/domingo-salcedo/profil/spieler/55944,21, 
43,Wálter Fretes,https://www.transfermarkt.co.uk/walter-fretes/profil/spieler/53948,23, 
44,José Montiel,https://www.transfermarkt.co.uk/jose-montiel/profil/spieler/38803,17, 
45,Nelson Valdez,https://www.transfermarkt.co.uk/nelson-valdez/profil/spieler/2050,21,£4.50m  
46,Dante López,https://www.transfermarkt.co.uk/dante-lopez/profil/spieler/18535,21,- 
47,Julio Martínez,https://www.transfermarkt.co.uk/julio-martinez/profil/spieler/75536,23, 
48,Salvador Cabañas,https://www.transfermarkt.co.uk/salvador-cabanas/profil/spieler/38785,24, 
49,Derlis Gómez,https://www.transfermarkt.co.uk/derlis-gomez/profil/spieler/38791,32, 
50,Ignacio Paniagua,https://www.transfermarkt.co.uk/ignacio-paniagua/profil/spieler/73392,25, 
51,Pedro Benítez,https://www.transfermarkt.co.uk/pedro-benitez/profil/spieler/28877,24,£1.58m  
52,Juan Daniel Cáceres,https://www.transfermarkt.co.uk/juan-daniel-caceres/profil/spieler/27450,31, 
53,Paulo da Silva,https://www.transfermarkt.co.uk/paulo-da-silva/profil/spieler/38800,25, 
54,Delio Toledo,https://www.transfermarkt.co.uk/delio-toledo/profil/spieler/7969,28,£270k  
55,Carlos Bonet,https://www.transfermarkt.co.uk/carlos-bonet/profil/spieler/38783,27, 
56,Luis Núñez,https://www.transfermarkt.co.uk/luis-nunez/profil/spieler/73390,25, 
57,Cristian Riveros,https://www.transfermarkt.co.uk/cristian-riveros/profil/spieler/37713,22, 
